"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","성분 및 원료20","성분 및 원료21","비고20","비고21"
"1","번호91","품목보고번호19970464172242","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명황제","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","인삼농축액","영지농축액","산수유농축액","식물혼합농축액","복분자농축액","카라멜색소","액상과당","구연산","구연산삼나트륨","타우린","잔탄검","효소처리스테비아","비타민 B1염산염(고시형)","피리독신염산염(고시형)","니코틴산아미드","인삼향","허브향","액상차","정제수","","","","","","","","","","","","","","","","","","가시오가피농축액","",NA,NA,NA,NA,NA,NA
"2","번호90","품목보고번호2005007713116","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명황제","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KHP태반추출액","고과당","석류 추출물","구연산","과일향","홍삼엑스","잔탄검","안식향산나트륨","상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호89","품목보고번호19970464172310","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명황제골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","인삼농축액","복분자농축액","복령농축액","지황농축액","감초농축액","사양벌꿀","영지농축액","식물혼합농축액","카라멜색소","기타과당","구연산","구연산삼나트륨","타우린","잔탄검","효소처리스테비아","비타민 B1염산염(고시형)","비타민B6염산염","니코틴산아미드","인삼향","","","","숙지황농축액","","","","","","","","","","","","","","","","20","21","허브향","정제수","",""
"4","번호88","품목보고번호20020623009194","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명황제생강쌍화","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,"쌍화농축액","생강가루","대추농축액","숙지황농축액","참당귀농축액","계피농축액","기타과당","덱스트린","구연산","효소처리스테비아","정제소금","카라멜색소","잔탄검","허브향","허브향","생강엣센스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호87","품목보고번호19970464172167","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명황제쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌍화농축액","액상과당","흑설탕","구연산","구연산삼나트륨","카라멜색소","잔탄검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호86","품목보고번호2008056700999","업소명주식회사 엔씨(NC)","품목유형혼합음료","유통/소비기한24개월","제품명[황제의아침]미인톡톡석류","분류식품","업체명","주식회사 엔씨(NC)","소재지","경상북도 청도군 청도읍 덕암길 210-7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류과즙","감식초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호85","품목보고번호19890445014514","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명황제헛개","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","헛개식물혼합추출액","고형분","이상액상과당애","카르복시메틸셀룰로오스나트륨","비타민C","구연산","자몽종자추출물","비타민B1염산염","비타민B6염산염","니코틴산아미드","헛개","식물혼합추출액조성비","헛개나무열매","영지버섯","사철쑥","오가피","대추","참당귀","천궁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,"백작약",NA,NA,NA
"8","번호84","품목보고번호20020623009204","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명황제홍삼골드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,"홍삼농축액","칡농축액","당귀농축액","계피농축액","액상과당","구연산","차추출물","글리신","덱스트린","잔탄검","스테비올배당체","카라멜색소","시트로스","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호83","품목보고번호19920624042480","업소명(주)상일","품목유형혼합음료","유통/소비기한2년","제품명황제홍삼골드","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,"홍삼농축액","칡농축액","당귀농축액","계피농축액","액상과당","구연산","허브향(합성착향료,SF47230)","글리신","수크랄로스","차추출물","덱스트린","카라멜색소BA","시트러스","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호82","품목보고번호2010015607950","업소명황토농원","품목유형혼합음료","유통/소비기한제조일로 부터 24개월 까지","제품명황제흑염소진액","분류식품","업체명","황토농원","소재지","부산광역시 기장군 장안읍 길천길 65(101호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑염소혼합추출액","식물혼합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑염소(국산), 대추농축액(국산), 정제수 ;고형분 함량 2%","대추(국내산), 감초, 인진쑥, 갈근, 당귀, 천궁, 진피, 익모초, 숙지황, 계피, 생강(중국산), 정제수; 고형분 함량 2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
