"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고9","비고10","비고11","비고12","비고13"
"1","번호5502","품목보고번호201503329291","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한상온(45일), 냉장(12개월), 냉동(12개월)","제품명궁중전통식혜","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8","멥쌀","엿기름","생강","황금복합추출물","백설탕","DL-사과산","혼합제제","정제수","국산","엿기름추출액(20%)국산","생강추출액(고형분0.1%이상)국산","","","","가드엠-53(신)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5501","품목보고번호2002056303822","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 30일, 1년","제품명궁중전통식혜","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7",NA,"멥쌀","겉보리엿기름","백설탕","DL-사과산","안식향산나트륨","가드엠53-(신","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5500","품목보고번호2002056303833","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명궁중전통식혜F","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7",NA,"멥쌀","겉보리엿기름","설탕","DL-사과산","데스판-100","가드엠","정재수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5499","품목보고번호198904450141004","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명궁중침향골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","침향나무수지가침착된수간목추출액","식물혼합농축액","액상과당","이소말토올리고당","사양벌꿀","효소처리스테비아","카복시메틸셀룰로스나트륨","구연산","침향혼합추출액","","","","","","","","9","10","11","12","13","카라멜색소","비타민C","안식향산나트륨","천연향료(기타천연향료)","정제수","","","","침향향",""
"5","번호5498","품목보고번호2002056303835","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 30일","제품명궁중호박식혜","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7","8","멥쌀","엿기름","호박퓌레","맥아물엿","백설탕","정제수","DL-사과산","가드엠",NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,"안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5497","품목보고번호19890445014814","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명궁중홍삼쌍화","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","쌍화추출액","기타과당","정제수","홍삼농축액","효소처리스테비아","정제소금","카복시메틸셀룰로스나트륨","구연산","","","","","","","","","9","10","11","12",NA,"카라멜색소","안식향산나트륨","합성향료","합성향료",NA,"","","쌍화향","홍삼향",NA
"7","번호5496","품목보고번호2020028014715","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명귀리몬드액","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","정제수","아몬드","귀리","비타민E혼합제제","유산균","구연산칼륨","레시틴","정제소금","","미국산","캐나다","","락토바실러스 플랜타럼","","해바라기","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5495","품목보고번호20080395120397","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명귀리액","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2",NA,NA,NA,NA,NA,NA,"정제수","귀리페이스트",NA,NA,NA,NA,NA,NA,"","볶은귀리분말 40%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5494","품목보고번호20010515081481","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 2일 (냉장 10℃이하 보관)","제품명귀리추출액","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2",NA,NA,NA,NA,NA,NA,"정제수","귀리페이스트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5493","품목보고번호19760263004117","업소명(주)동원F&B수원공장","품목유형혼합음료","유통/소비기한제조일로부터 48시간","제품명귀리추출액","분류식품","업체명","(주)동원F&B수원공장","소재지","경기도 수원시 장안구 천천로210번길 21-15(이목동)","1","2",NA,NA,NA,NA,NA,NA,"정제수","귀리페이스트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
