"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","성분 및 원료19","비고19"
"1","번호5492","품목보고번호20190575042109","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로 딸기맛","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","딸기농축액","백설탕","효소처리스테비아","기타올리고당","젖산칼슘","두류가공품","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","폴리덱스트로스","밀크향","딸기향","딸기향","비타민B1염산염","글루콘산아연","정제수","","","","액상과당, 이소말토올리고당, 폴리글리시톨시럽","","대두다당류","","","","덱스트린, 글리세린지방산에스테르","비타민D3 분말, 아라비아검, 설탕, 옥수수전분, 식물성유지, 이산화규소, dl-？-토코페롤","","","","","","","",NA,NA,NA
"2","번호5491","품목보고번호2001038392374","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로 딸기맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","딸기농축액","백설탕","효소처리스테비아","기타올리고당","젖산칼슘","대두다당류","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","폴리덱스트로스","밀크향","딸기향","딸기향","비타민B1염산염","글루콘산아연","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5490","품목보고번호2001038392373","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로 밀크맛","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"백설탕","효소처리스테비아","기타올리고당","젖산칼슘","대두다당류","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","폴리덱스트로스","시트러스믹스향","시트러스믹스향","레몬향","비타민B1염산염","정제수","글루콘산아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5489","품목보고번호20190575042108","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로 밀크맛","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"백설탕","효소처리스테비아","기타올리고당","젖산칼슘","두류가공품","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","폴리덱스트로스","시트러스믹스향","시트러스믹스향","레몬향","비타민B1염산염","글루콘산아연","정제수",NA,"","","액상과당, 이소말토올리고당, 폴리글리시톨리럽","","대두다당류","","","","덱스트린, 글리세린지방산에스테르","비타민D3분말, 아라비아검, 옥수수전분, 식물성유지, 이산화규소, dl-a-토코페롤, 설탕","","시트러스믹스에센스","시트러스믹스량","레몬에센스","","","",NA,NA,NA,NA
"5","번호5488","품목보고번호20190575042115","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명귀여운 내친구 뽀로로 바나나맛","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"정제수","기타올리고당","백설탕","폴리덱스트로스","탈지분유","바나나농축액","구연산(무수)","두류가공품","젖산칼슘","효소처리스테비아","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3혼합제제분말","비타민 B1염산염(고시형)","바나나향","바나나향","바나나향",NA,"","액상과당, 이소말토올리고당, 폴리글리시톨시럽","","","","","","대두다당류","","","","덱스트린, 글리세린지방산에스테르","","","","","",NA,NA,NA,NA
"6","번호5487","품목보고번호20190575042116","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명귀여운 내친구 뽀로로 블루베리맛","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","포도농축액","블루베리농축액","백설탕","효소처리스테비아","기타올리고당","젖산칼슘","두류가공품","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3혼합제제분말","폴리덱스트로스","포도향","블루베리향","시트러스믹스향","비타민 B1염산염(고시형)","글루콘산아연","","","","","액상과당, 이소말토올리고당, 폴리글리시톨시럽","","대두다당류","","","","덱스트린, 글리세린지방산에스테으","비타민D3분말, 아라비아검, 설탕, 옥수수전분, 식물성유지, 이산화규소, dl-a-토코페롤","","","","","","","19","정제수",""
"7","번호5486","품목보고번호20190575042117","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명귀여운 내친구 뽀로로 사과맛","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","사과농축액","백설탕","효소처리스테비아","기타올리고당","젖산칼슘","두류가공품","탈지분유","구연산(무수)","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3혼합제제분말","폴리덱스트로스","밀크향","사과향","사과향","비타민 B1염산염(고시형)","글루콘산아연","정제수","","","","액상과당, 이소말토올리고당, 폴리글리시톨시럽","","대두다당류","","","","덱스트린, 글리세린지방산에스테르","비타민D3분말, 아라비아검, 설탕, 옥수수전분, 식물성유지, 이산하규소, dl-a-토코페롤","","","","","","","",NA,NA,NA
"8","번호5485","품목보고번호202206831259","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로딸기맛","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","설탕","효소처리스테비아","올리고당가공품","젖산칼슘","딸기농축액","두류가공품","탈지분유","구연산","구연산삼나트륨","혼합제제","폴리덱스트로스","비타민D3혼합제제","비타민B1염산염","향료제제","글루콘산아연","정제수","향료","향료","","","액상과당,이소말토올리고당,폴리글리시톨시럽","","","탈지대두","","","","덱스트린,글리세린지방산에스테르","","아라비아검,수크로오스,옥수수전분,중쇄중성지방,비타민D3,비타민E,이산화규소","","밀크향","","","딸기향","딸기향",NA,NA,NA
"9","번호5484","품목보고번호2022068312510","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로밀크맛","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"설탕","효소처리스테비아","올리고당가공품","두류가공품","젖산칼슘","탈지분유","구연산","구연산삼나트륨","혼합제제","비타민D3혼합제제","글루콘산아연","폴리덱스트로스","비타민B1염산염","향료제제","향료제제","향료제제","정제수",NA,"","","액상과당,이소말토올리고당,폴리글리시톨시럽","탈지대두","","","","","덱스트린,글리세린지방산에스테르","아라비아검,수크로오스,옥수수전분,중쇄중성지방,비타민D3,비타민E,이산화규소","","","","시트러스 믹스에센스","시트러스 믹스향","레몬에센스","",NA,NA,NA,NA
"10","번호5483","품목보고번호2022068312511","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명귀여운 내친구 뽀로로블루베리맛","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","설탕","효소처리스테비아","올리고당가공품","젖산칼슘","포도농축액","블루베리농축액","두류가공품","탈지분유","구연산","구연산삼나트륨","혼합제제","비타민D3혼합제제","폴리덱스트로스","비타민B1염산염","글루콘산아연","향료제제","혼합제제","향료제제","","","액상과당,이소말토올리고당,폴리글리시톨시럽","","","","탈지대두","","","","덱스트린,글리세린지방산에스테르","아라비아검,수크로오스,옥수수전분,중쇄중성지방,비타민D3,비타민E,이산화규소","","","","포도향","블루베리향","시트러스 믹스 에센스","19","정제수",""
