"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호5402","품목보고번호2013037221914","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터 실온 24개월","제품명기력복합 미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6","탄산칼륨(무수)","염화칼륨","탄산나트륨","규소수지","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5401","품목보고번호20000614238483","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명기분 좋게 스마일 캐모마일 캐모마일릴렉스","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","캐모마일추출물분말","레몬주스농축액","과.채가공품","과.채가공품","설탕","구연산","","","리치농축액","유기농타트체리농축액","","","7","8","9","10","11","12","13","14","15","16","17","비타민C","수크랄로스","아세설팜칼륨","혼합제제","천연리치향","천연향료(Elder flowers)","천연향료(Lemon grass)","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","","","","프로필렌글리콜,합성향료,천연향료,주정","","","","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글세린,정제가공유지,주정","","",""
"3","번호5400","품목보고번호20060396013185","업소명주식회사 대웅생명과학","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명기분 좋은 활력 비타민D","분류식품","업체명","주식회사 대웅생명과학","소재지","강원도 영월군 북면 밤재로 425","1","2","3","4","5","6","패션후르츠맛농축액","기타과당","비타민D3혼합제제","비타민C","비타민B2","마리골드색소","패션후르츠농축액","","","","","마리골드색소,변성전분(설탕),옥수수전분,비타민E,비타민C","7","8","9","10","11","12","13","14","15","16",NA,"구연산","구연산삼나트륨","재제소금(재제조소금)","효소처리스테비아","용성비타민P","펙틴","폴리글리세린지방산에스테르","오렌지향","패션후르츠향","정제수",NA,"","","","","","","","합성향료","합성향료","",NA
"4","번호5399","품목보고번호20000614238476","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명기분이 블루일땐, 레몬 블루레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","레몬주스농축액","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13",NA,NA,NA,NA,"아세설팜칼륨","혼합제제","혼합제제","혼합제제","혼합제제","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5398","품목보고번호2015041512571","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명기브미 데이즈 리듀서 키트","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4","5","6","효모추출물","L-시스테인염산염","토마토농축추출물분말","비타민C","엘라스틴","콜라겐","글루타치온효모추출물","시스테인 염산염","화이트토마토추출분말","","","","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"과.채가공품","청포도향","식품첨가물","정제수","기타발효음료",NA,NA,NA,NA,NA,NA,"청포도 농축액","","스테비아","","중앙미생물대사산물액상",NA,NA,NA,NA,NA,NA
"6","번호5397","품목보고번호2015041512574","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명기브미 데이즈 리듀서 키트 B","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4","5",NA,"정제수","압착올리브유","오렌지농축액","자몽농축액","비타민미네랄혼합제제",NA,"","","","","비타민미네랄믹스-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5396","품목보고번호2015041512572","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명기브미 데이즈 리듀서 키트 D","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4","5","6","효모추출물","L-시스테인염산염","토마토농축추출물분말","비타민C","엘라스틴","콜라겐","글루타치온효모추출물","시스테인 염산염","화이트토마토추출분말","","","피쉬콜라겐","7","8","9","10","11","12","13","14","15","16",NA,"아미노산혼합분말","클로렐라","히알루론산","β-카로틴","니코틴산아미드","과.채가공품","청포도향","식품첨가물","정제수","기타발효음료",NA,"아미노믹스-9","","","","","청포도 농축액","","스테비아","","중앙미생물대사산물액상",NA
"8","번호5395","품목보고번호19970515002123","업소명농업회사법인(주)고려전통식품","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명기순도  오미자 식혜","분류식품","업체명","농업회사법인(주)고려전통식품","소재지","전라남도 담양군 창평면 유천길 154-15","1","2","3","4","5","6","정제수","쌀","설탕","엿기름","건조오미자","감초","","무농약 쌀(국산)","","국산","오미자(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5394","품목보고번호19970515002161","업소명농업회사법인(주)고려전통식품","품목유형혼합음료","유통/소비기한1년","제품명기순도 댓잎식혜","분류식품","업체명","농업회사법인(주)고려전통식품","소재지","전라남도 담양군 창평면 유천길 154-15","1","2","3","4","5","6","정제수","쌀","설탕","엿기름","대나무잎가루","감초","","무농약쌀(국산)","","국산","댓잎(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5393","품목보고번호19970515002150","업소명농업회사법인(주)고려전통식품","품목유형혼합음료","유통/소비기한1년","제품명기순도 생강식혜","분류식품","업체명","농업회사법인(주)고려전통식품","소재지","전라남도 담양군 창평면 유천길 154-15","1","2","3","4","5","6","정제수","쌀","설탕","생강","엿기름","감초","","무농약쌀(국산)","","국산","국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
