"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17"
"1","번호5362","품목보고번호2016044902145","업소명건승티앤비","품목유형혼합음료","유통/소비기한실온보관에서 제조일로부터 24개월까지","제품명깔라만시 저스트주스","분류식품","업체명","건승티앤비","소재지","충청남도 천안시 동남구 성남면 성남로 230-21","1","2","3","4","5","6","7","8","칼라만시원액","프락토올리고당","비타민C","타우린","구연산","망고분말","치커리식이섬유","정제수","","","","","","망고추출분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5361","품목보고번호20020623009810","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명깔라만시&레몬 워터","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","레몬농축액","백설탕","구연산","구연산삼나트륨","비타민B1염산염","비타민B6염산염","염화마그네슘","염화칼륨","65Brix","","","","","","","","9","10","11","12","13","14","15","수크랄로스","아스파탐","합성향료","합성향료","정제수","칼라만시농축액","혼합제제","합성감미료","합성감미료","깔라만시향","레몬라임향","","깔라만시과즙추출물(72Brix)","아미노액티브 BCAA(L-발린, L-로이신, L-이소로이신)",NA,NA,NA,NA,NA,NA
"3","번호5360","품목보고번호20090368428511","업소명(주)스위트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명깔라만시with허니","분류식품","업체명","(주)스위트코리아","소재지","경기도 광주시 곤지암읍 내선길 210-35(1,2층)","1","2","3","4","5","6",NA,NA,"정제수","백설탕","벌꿀","과.채가공품","구연산","구연산삼나트륨",NA,NA,"","유기농","","깔라만시엑기스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5359","품목보고번호2021055909216","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명깔라만시액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,"필리핀레몬열매원액","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5358","품목보고번호20020623009793","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한18개월","제품명깨어라 천지개벽","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","정제수","발효식초","헛개나무열매추출농축액","배농축액","기타가공품","기타가공품","기타과당","구연산","","오이식초","고형분 60%","69Brix","복합황금추출물","울금농축분말(고형분30%)","","","9","10","11","12","13","14","15","DL-사과산","타우린","아미노산혼합분말","비타민B2","비타민B1염산염","L-알라닌","니코틴산아미드","","","아미노리버믹스 (L-루이신,L-이소루이신,L-발린,L-아르기닌,L-글루타민,L-메티오닌,L-알라닌)","","","","","16","17","합성향료","합성향료","혼합과일향","벌꿀향"
"6","번호5357","품목보고번호19970570162285","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한24월","제품명깨어라 천지개벽","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","정제수","액상과당","오이발효식초","헛개열매추출농축액","배농축액","타우린","구연산","울금농축분말","","","","","","","","","9","10","11","12","13","14","15","L-알라닌","DL-사과산","니코틴산아미드","합성착향료","비타민B1염산염","비타민B2","황금복합추출물","","","","","","","","16",NA,"아미노산혼합분말",NA,"아미노리버믹스 L-(루이신,이소루이신,발린,아르기닌,글루타민,메티오닌,알라닌)",NA
"7","번호5356","품목보고번호2013037221940","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명깨요깨요","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3",NA,NA,NA,NA,NA,"식물혼합발효추출액","해양심층수원수","콩나물추출물",NA,NA,NA,NA,NA,"E-one식물식물발효추출액","","초록 콩나물 추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5355","품목보고번호20020623009949","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명깨질듯한숙취 모닝케어H","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","기타가공품","혼합제제","기타가공품","타우린","기타가공품","고형차","말톨","글리신","RSE-a(쌀눈대두발효추출물)","비타민B혼합복합물","갈근추출분말","","녹차카테킨추출물","버드나무껍질추출분말","","","9","10","11","12","13","14","15","혼합제제","기타가공품","올리고당가공품","에리스리톨","스테비올배당체","혼합제제","구연산","아와컷CP","복합황금추출물","","","","드링크향(21905038)","구연산(무수)","16","17","구연산삼나트륨","정제수","",""
"9","번호5354","품목보고번호20090397178108","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한냉장 12개월","제품명꽃당식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4","5",NA,NA,NA,"설탕","엿기름","코코넛꽃액즙분말","멥쌀","정제수",NA,NA,NA,"유기농","유기농","꽃당","유기농","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5353","품목보고번호2016021925112","업소명이든식품","품목유형혼합음료","유통/소비기한1년","제품명꽃보다석류","분류식품","업체명","이든식품","소재지","광주광역시 광산구 평동산단5번좌로 87(다동 1, 2층 월전동)","1","2","3","4",NA,NA,NA,NA,"정제수","석류농축액","설탕","구연산",NA,NA,NA,NA,"","","유기농","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
