"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호5302","품목보고번호2011049214610","업소명(주)더조은워터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명나처럼","분류식품","업체명","(주)더조은워터","소재지","전라북도 남원시 주천면 장백산로 139","1","2","지하수","미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5301","품목보고번호2010054306620","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명나타드 코코","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","나타드코코","코코넛주스","","","3","4","5","6","7","8","9","10","11","액상과당","백설탕","구연산","구연산삼나트륨","젤란검","젖산칼슘","코코넛향(JY-080159)","정제수","자당지방산에스테르","","","","","","","합성향료","","모노에스테르P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5300","품목보고번호20040364807101","업소명네이처에프에스","품목유형혼합음료","유통/소비기한365일","제품명나타드코코","분류식품","업체명","네이처에프에스","소재지","경기도 화성시 송산면 송산포도로 184-2(주건축물제1동 1층,2층)","1","2","과.채가공품","당시럽","raw natadecoco","","3","4",NA,NA,NA,NA,NA,NA,NA,"정제수","DL-사과산",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5299","품목보고번호20000614238378","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명나타드코코 복숭아","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","복숭아농축액","설탕","","","3","4","5","6","7","8","9","10","11","액상과당","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","비타민C","복숭아향","복숭아향","안식향산나트륨","기타과당","","","","","","","","","12","13","14","혼합제제","과.채가공품","정제수","검믹스(카라기난,곤약분말,구연산삼나트륨,덱스트린,젤란검,잔탄검)","나타드코코(나타드코코,설탕,구연산)","",NA,NA,NA,NA,NA,NA
"5","번호5298","품목보고번호20120567001294","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명날水있어","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","정제수","액상과당","","","3","4","5","6","7",NA,NA,NA,NA,"발효식초","폴리덱스트로스","사과농축액","구연산","비타민C",NA,NA,NA,NA,"깔라만시발효식초","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5297","품목보고번호20020623009997","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명날으는 래빗우먼 딸기맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","딸기농축액","백설탕","65brix","","3","4","5","6","7","8","9","10","11","혼합분유","요거트분말","구연산","구연산삼나트륨","펙틴","아미노산혼합제제","젖산칼슘","수크랄로스","자당지방산에스테르","혼합탈지분유","","산도조절제","산도조절제","","아미노믹스","영양강화제","합성감미료","모노에스터-P","12","13","14","정제소금","합성향료","합성향료","","딸기향(S050805)","딸기향(KBR120656)","15","16","정제수","대두식이섬유","","대두화이바"
"7","번호5296","품목보고번호20020623009999","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명날으는 팬더대장 밀크맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","아세로라농축분말","백설탕","","","3","4","5","6","7","8","9","10","11","혼합분유","요거트분말","구연산","구연산삼나트륨","펙틴","아미노산혼합제제","젖산칼슘","수크랄로스","정제소금","","","산도조절제","","","아미노믹스","영양강화제","합성감미료","","12","13","14","자당지방산에스테르","합성향료","합성향료","모노에스터-P","블루레몬향","연유향","15","16","정제수","대두식이섬유","","대두화이바"
"8","번호5295","품목보고번호20110084489401","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명남男다른","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","발효홍삼농축액","기타가공품","","발효당귀혼합분말","3","4","5","6","7","8","9",NA,NA,"정제수","대추농축액","시클로덱스트린시럽","식물혼합농축액","오미자농축액","효소처리스테비아","기타가공품",NA,NA,"","","","식물혼합추출농축액B","","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5294","품목보고번호19920624042643","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명남양 밀키에몽","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","기타올리고당","폴리덱스트로스","","","3","4","5","6","7","8","9","10","11","백설탕","구연산","두류가공품","농후발효유","요구르트향","젖산칼슘","효소처리스테비아","오렌지향","구연산삼나트륨","","함수구연산","수용성대두다당류","불가리스발효유","K-150932","","","합성착향료 1101166","","12","13","14","요구르트향","레몬향","비타민B1염산염","합성착향료 WS 85-002","합성착향료 1311227","","15","16","정제수","탈지분유","",""
"10","번호5293","품목보고번호19920624042642","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명남양 사과에몽","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","기타올리고당","폴리덱스트로스","스위티스-비에프400","","3","4","5","6","7","8","9","10","11","백설탕","탈지분유","사과농축과즙","구연산","두류가공품","농후발효유","사과향","젖산칼슘","효소처리스테비아","","","","함수구연산","수용성대두다당류","불가리스발효유","합성착향료 1505021","","","12","13","14","사과향","사과향","구연산삼나트륨","합성착향료 FB0615-0003","합성착향료 YW-0678","","15","16","비타민B1염산염","정제수","",""
