"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고17","비고18","비고19"
"1","번호5282","품목보고번호2006039411245","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일로부터 실온 24개월","제품명내강 에스(S)","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3","4","식물혼합추출물분말","정제수","생선콜라겐분말","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5281","품목보고번호19970464172176","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명내고향꿀대추","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","벌꿀","대추농축액","사과농축액","액상과당",NA,NA,NA,NA,"5","6","7","8","9","10","구연산","L-아스파라긴","액상카라멜","잔탄검","대추향","허니향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5280","품목보고번호20110527046137","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 실온10개월","제품명내몸愛 나한과 식혜(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","엿기름","멥쌀","식품첨가물혼합제제","나한과농축액","국산(국산)","무농약(국산)","로한가(중국산)","나한과농축액3.5%(중국산)","5","6","7",NA,NA,NA,"나한과추출물분말","나한과추출물분말","정제수",NA,NA,NA,"나한과추출분말20%(중국산)","나한과추출분말40%(중국산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5279","품목보고번호19880442004906","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한12개월","제품명내몸다스림 식물발효혼합","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","난소화성말토덱스트린(고시형)","서양자두농축액","시트러스믹스농축과즙","과일혼합농축액","화이바솔-2L","푸룬농축액","시트러스혼합농축액","열대혼합과일농축액","5","6","7","8","9","10","정제수","인동추출액","기타발효음료","과.채가공품류","유산균배양건조물","유산균배양건조물","","금은화발효추출액","바이탈뷰티발효추출물","다종채소발효액","유산균배양분말(사균체PMO08)","유산균배양분말(사균체, EF2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5278","품목보고번호19860443015526","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명내몸다운 비채수","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","정제수","늙은호박추출액","올리고당","벌꿀","","늙은호박농축액","프락토올리고당","","5","6","7","8","9","10","천연향료","황금혼합추출물","선인장열매허브추출물","구연산","구연산칼륨","옥수수수염추출분말","천연허니향","복합황금추출물","선인장열매추출물","무수구연산","","","11","12","13","14","15","16","혼합비타민제제","혼합제제","병풀잎추출물분말","파인애플추출분말","이눌린/치커리추출물(고시형)","헛개나무과병추출분말","비타믹스 혼합제제","","병풀추출물분말","","치커리뿌리추출물분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5277","품목보고번호20020623009908","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명내몸맑음 해조8차","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","수산물가공품","알긴산나트륨","만니톨","기타 수산물가공품","후코이단","","","해조8종추출물","5","6","7","8","9","10","구연산","비타민C","구연산삼나트륨","자일리톨","기타설탕","사과농축액","","","","","자일로스슈가","72brix","11","12","13","14","15","16","레몬농축액","매실농축액","배농축액","도라지농축액","홍삼농축액","칼라만시향","65brix","68brix","72brix","","4년근","칼라만시향","17","18","19","페퍼민트향","치자청색소","정제수","페퍼민트향","치자청색소",""
"7","번호5276","품목보고번호20190575042193","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명내몸맑음 해조8차","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","해조류복합추출물","해조류추출분말","알긴산나트륨","만니톨","","","","","5","6","7","8","9","10","구연산","비타민C","구연산삼나트륨","자일리톨","기타설탕","사과농축액","","","","","자일로스 설탕","","11","12","13","14","15","16","레몬농축액","매실농축액","배농축액","도라지농축액","홍삼농축액","향료","","","","","","깔라만시향","17","18","19","향료","치자청색소","정제수","페퍼민트향","",""
"8","번호5275","품목보고번호19970378043576","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명내몸애(愛) 동충하초 담은 상황버섯 진액","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","액상차","기타과당","구연산(무수)","수크랄로스","상황버섯동충하초영지혼합추출액","","무수구연산","","5","6","7",NA,NA,NA,"타우린","혼합제제","혼합제제",NA,NA,NA,"","비타프로CEC","아미노믹스2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5274","품목보고번호19970378043575","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명내몸애(愛) 마카 담은 흑마늘 진액","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","액상차","기타과당","구연산(무수)","합성향료","흑마늘마카추출농축액","","무수구연산","흑마늘향","5","6","7","8",NA,NA,"카라멜색소","수크랄로스","혼합제제","혼합제제",NA,NA,"","","비타프로CEC","아미노믹스2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5273","품목보고번호19970378043547","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명내몸애(愛) 우슬 담은 녹용 진액","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","액상차","기타과당","구연산(무수)","수크랄로스","우슬녹용비수리혼합추출액","","무수구연산","","5","6","7",NA,NA,NA,"타우린","혼합제제","혼합제제",NA,NA,NA,"","비타프로CEC","아미노믹스2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
