"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호5242","품목보고번호20110084489371","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명네버다이 365","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","Red grape농축액","블루베리주스농축액","레몬농축액","효소처리스테비아","마카추출분말","비타민C","글루콘산아연","천연향료","혼합제제","기타가공품","니코틴산아미드","혼합제제","","","함수구연산","적포도주스농축액","","","","마카추출물분말","","","천연레몬향","","복합황금추출물","","아미노산혼합제제 / 아미노믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5241","품목보고번호2005007713122","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명네오드림프라센타골드","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"KHP피그태반액","올리고당","과라나추출물","감초엑기스","대두추출물분말","구연산","과일향","홍삼엑스","잔탄검","안식향산나트륨","상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5240","품목보고번호201502941105","업소명나노텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명네오뷰프라임수소수플러스(Neobeau Prime Hydrogen Water Plus)","분류식품","업체명","나노텍","소재지","경기도 부천시 송내대로 388(약대동, 202동 906호일부)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5239","품목보고번호20010445002683","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명네오에센드롭스 멀티비타민","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"정제수","알룰로오스","글리세린","비타민C","비타민 E 혼합제제분말","프로필렌글리콜","니코틴산아미드","비타민 A 아세테이트 분말","비타민 D 혼합제제","비타민B12","비타민B1염산염","비타민B2","비타민B6염산염",NA,NA,"","","","","비타민E혼합제제","","","비타민A아세테이트혼합제제","비타민D3혼합제제","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5238","품목보고번호20010445002583","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명네오에센드롭스철분","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","알룰로오스","글리세린","비타민C","젖산철","비타민E혼합제제","프로필렌글리콜","분말비타민A혼합제제","비타민D3혼합제제","비타민B12","니코틴산아미드","비타민B1염산염","비타민B2","비타민B6염산염",NA,"","알룰로스","식물성글리세린","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5237","품목보고번호20010445002584","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명네오에센드롭스철분플러스","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","알룰로오스","글리세린","젖산철","비타민C","비타민E혼합제제","프로필렌글리콜","니코틴산아미드","분말비타민A혼합제제","비타민D3혼합제제","비타민 B12 혼합제제분말","비타민B1염산염","비타민B2","비타민B6염산염",NA,"","","식물성","","","","","","비타민A아세테이트혼합제제","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5236","품목보고번호20180491044203","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명네이처드림 마시는 프로틴 밸런스","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","우유","덱스트린","분리대두단백","카제인칼슘","초유분말","채종유(유채유 또는 카놀라유)","백설탕","프락토올리고당","정제소금","제삼인산칼슘","탄산칼슘","산화아연","제이인산칼륨","인산철","수산화마그네슘","","말토덱스트린 DE1015","","","","","","","","","","","","","","16","17","18","19","20","21","22","23","24","25","26","27","28","비타민D3혼합제제","혼합제제","L-로이신","수용성비타민혼합제제","혼합제제","자당지방산에스테르","자당지방산에스테르","두류가공품","콜라겐","혼합제제","땅콩향","바닐라향","정제수","","비타프로CEC","","","아미노믹스","S-570","P-1670","검은콩농축액J","피쉬콜라겐펩타이드 ,품목번호:198506140552886","폼크린200(용도: 소포제)","#8(FC-128809)","#7(FC-80707)",""
"8","번호5235","품목보고번호19710570001609","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명네이처셀101","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","고로쇠나무수액","기타발효음료","차가버섯추출물분말","셀레늄(고시형)","합성향료","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,"","","네이처101","러시아산","셀레늄프리믹스","귀리향","보리향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5234","품목보고번호19710570001627","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한2년","제품명네이처셀딸기쌕음료","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"딸기과립","설탕","구연산","비타민C","카르민색소","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","딸기향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5233","품목보고번호20020623009580","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명네이쳐셀OHSA알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","백설탕","구연산","구연산삼나트륨","젤란검","비타민C","젖산칼슘","알로에향","포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
