"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호5172","품목보고번호20040275056934","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴로액티브 밸런스업 女","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","덱스트린","정제수","기타 농산가공품","식물혼합농축액","홍삼농축액","석류농축액","과.채가공품","생선콜라겐","혼합제제","구연산","기타가공품","히알루론산혼합제제","엘라스틴가수분해물","기타가공품","비타민D3혼합제제","회화나무열매추출분말","기타가공품","산화아연","","","api농축분말","식물혼합농축액HR-2646","","","타트체리농축액","","홍삼향","함수구연산","백수오추출분말","","","밀크세라마이드","","","병풀추출분말",""
"2","번호5171","품목보고번호1993062500642","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터15개월","제품명뉴미에로화이바(New Miero Fiber)","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"정제수","액상과당","폴리덱스트로스","구연산","구연산삼나트륨","오렌지향","오렌지향","비타민C","DL-알라닌","락색소","펙틴","감귤추출물",NA,NA,NA,NA,NA,NA,"","","","","","BD1-4022-5R","SF-19691","","","","","HD",NA,NA,NA,NA,NA,NA
"3","번호5170","품목보고번호20060392223136","업소명네오팜","품목유형혼합음료","유통/소비기한24월","제품명뉴상쾌한 변화","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"식물혼합추출물NP","다시마추출액","알로에추출물","석류농축과즙","푸룬과즙농축액","농축사과과즙","포도농축액","D-소르비톨액","폴리덱스트로스","구연산","구연산삼나트륨","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5169","품목보고번호2014061409439","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명뉴세븐데이(블루베리맛)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","식품첨가물혼합제제","블루베리농축액","포도농축액","구연산","DL-사과산","아스파탐","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","로커스트콩검35%,카라기난25%,구연산삼나트륨20%잔탄검10%.젖산칼슘10%","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5168","품목보고번호2014061409455","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴세븐데이(홍삼맛)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","식품첨가물혼합제제","홍삼향","홍삼농축액","구연산","DL-사과산","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","진세노사이드 7mg/g","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5167","품목보고번호19930571069514","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴스테비아 알로에플러스","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"스테비아잎농축액","알로에베라겔주스","덱스트린","구연산","구연산삼나트륨","젤란검","젖산칼슘","비타민C","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","함수","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5166","품목보고번호19930571069515","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴스테비아 에너제틱","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,"스테비아잎농축액","레몬농축액","포도당","염화칼륨","정제소금","구연산","구연산삼나트륨","염화마그네슘","타우린","젖산칼슘","비타민B2","자몽향","레몬향","정제수",NA,NA,NA,NA,"","","","","제재소금","함수","","","","","","","","",NA,NA,NA,NA
"8","번호5165","품목보고번호19930571069571","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴스테비아 진저","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스테비아잎농축액","구연산삼나트륨","비타민C","구연산","혼합제제","생강향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","함수","생강엣센스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5164","품목보고번호19930571069516","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴스테비아 프리티큐","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"스테비아잎농축액","프락토올리고당","갈락토올리고당","효소화콜라겐펩타이드","식이섬유(고시형)","비타민C","구연산","구연산삼나트륨","석류농축액","아로니아농축액","레몬농축액","다크체리향","석류향","레몬향","정제수",NA,NA,NA,"","","뷰티올리고당","피쉬콜라겐","아카시아화이바","","함수","","","","","","","","",NA,NA,NA
"10","번호5163","품목보고번호20190391582201","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뉴칸 아르갈랑","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"정제수","L-아르지닌","구연산(무수)","프로필렌글리콜","과.채가공품","효소처리스테비아","향료","오르니틴염산염","과.채가공품","기타가공품","기타가공품","수크랄로스","기타가공품","타우린","기타가공품","혼합제제","혼합제제",NA,"","","","","콩코드 포도농축액","","포도향","","갈랑가추출물","복합황금추출물","수박과피추출물분말","","복합허브추출물C","","현미배아발효추출물","아미노액티브BCAA","아미노리버믹스",NA
