"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","성분 및 원료7","비고7","번호8","성분 및 원료8","비고8","번호9","성분 및 원료9","비고9"
"1","번호5152","품목보고번호20080358277126","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한6개월","제품명느린수정과","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5","6","생강","계피","흑설탕","백설탕","곶감엑기스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5151","품목보고번호20080358277127","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한6개월","제품명느린식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4",NA,NA,"백설탕","엿기름","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5150","품목보고번호20080358277242","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월 까지","제품명느린식혜호박","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5","6","정제수","백설탕","엿기름","쌀","호박","호박","","","엿기름추출액","","단호박","늙은호박",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5149","품목보고번호20080358277235","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월 까지","제품명느린아밀유자생강쌀발효음료","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5","6","엿기름","누룩","쌀","정제수","생강추출액","유자절임","","전통누룩","","","","","7","알룰로오스","",NA,NA,NA,NA,NA,NA
"5","번호5148","품목보고번호20080358277236","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명느린아밀홍삼쌀발효음료","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5","6","엿기름","누룩","쌀","정제수","홍삼분말","스테비올배당체","","전통누룩","","","","","7","알룰로오스","",NA,NA,NA,NA,NA,NA
"6","번호5147","품목보고번호20140395066363","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장60일, 냉동1년","제품명느림의 米(미) 전통식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,NA,"정제수","멥쌀","엿기름","백설탕",NA,NA,"","쌀100%, 국내산","겉보리100%, 국내산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5146","품목보고번호2003054113815","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘 80 천년초선인장","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","천년초선인장","액상과당","DL-사과산","이소말토올리고당","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,"7","구연산",NA,"8","후르츠향",NA,NA,NA,NA
"8","번호5145","품목보고번호2003054113821","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘80 마늘","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","마늘","비트","액상과당","DL-사과산","이소말토올리고당","사과농축액",NA,NA,NA,NA,NA,NA,"7","비타민C",NA,"8","구연산",NA,"9","후르츠향",NA
"9","번호5144","품목보고번호200305411383","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘80구기자","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","구기자나무열매","액상과당","대추","느릅나무껍질","사과농축액","구연산",NA,NA,NA,NA,NA,NA,"7","대추향",NA,"8","DL-사과산",NA,NA,NA,NA
"10","번호5143","품목보고번호200305411389","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명늘푸른샘80백년초","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","손바닥선인장","액상과당","DL-사과산","이소말토올리고당","사과농축액","비타민",NA,NA,NA,NA,NA,NA,"7","구연산",NA,"8","딸기향",NA,NA,NA,NA
