"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호4692","품목보고번호19860443015174","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월  실온","제품명레스베라 미라클","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","땅콩새싹농축액","에리스리톨","시클로덱스트린시럽","대추농축액","맥아추출물","황금복합추출물","안식향산나트륨","알로에베라겔분말","L-라이신","L-아르기닌","테아닌","녹차추출물분말(고시형)","","","","","","","","","","","","L-테아닌","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4691","품목보고번호20130358242140","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레스큐라이트액","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","8","9","10","11","12",NA,"정제수","분말결정포도당","정제소금","구연산삼나트륨","염화칼륨","치자황색소","레몬농축액","자몽종자추출물","잔탄검","레드자몽농축액","자몽향","효소처리스테비아",NA,"","정제포도당","","","","","열매","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4690","품목보고번호20140443099463","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명레스큐라이트액","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","12",NA,"레몬농축액","레드자몽농축액","분말결정포도당","잔탄검","구연산삼나트륨","정제소금","염화칼륨","효소처리스테비아","자몽종자추출물","자몽향","치자황색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4689","품목보고번호20140443099472","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명레스큐라이트프로액","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","12","13","바나나농축액","분말결정포도당","향료","구연산삼나트륨","구연산","염화칼륨","DL-사과산","잔탄검","정제소금","기타가공품","수크랄로스","글루콘산아연","기타가공품","","","망고향","","","","","","","복합황금추출물","","","레스큐민","14","15","16","17","18","19","20","아스파탐","아세설팜칼륨","비타민B12","비타민B2","비타민B6염산염","비타민B1염산염","정제수","","","비타민B12혼합제제","","","",""
"5","번호4688","품목보고번호20130358242253","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명레스큐라이트플러스액","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","분말결정포도당","망고향","구연산삼나트륨","구연산","염화칼륨","DL-사과산","잔탄검","정제소금","기타가공품","글루콘산아연","수크랄로스","아스파탐","","정제포도당","망고향 #43","","함수구연산","","","","","복합황금추출물","","","","14","15","16","17","18",NA,NA,"아세설팜칼륨","비타민B12, 혼합제제","비타민B2인산에스테르나트륨","비타민B1염산염","비타민B6염산염",NA,NA,"","","리보플라빈 인산에스테르나트륨","","",NA,NA
"6","번호4687","품목보고번호20140443099451","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명레스큐라이트플러스액","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","분말결정포도당","합성향료","구연산삼나트륨","구연산","염화칼륨","DL-사과산","잔탄검","정제소금","기타가공품","글루콘산아연","수크랄로스","아스파탐","","","망고향","","함수구연산","","","","","복합황금추출물","","","","14","15","16","17","18",NA,NA,"아세설팜칼륨","분말비타민B12혼합제제","비타민B2","비타민B1염산염","비타민B6염산염",NA,NA,"","","","","",NA,NA
"7","번호4686","품목보고번호19780614001334","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명레쓰비초코라떼(수출용)","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"백 설 탕","코코아분말","탈지분유프리퍼레이션","Sunsoft","Super V-230","자당지방산에스테르","탄산수소나트륨","코코아향","천연착향료(Vanilla)","정 제 수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4685","품목보고번호20110149027282","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레알 청포도 콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"청포도농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,"스페인산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4684","품목보고번호20110149027153","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레알석류콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"석류농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","히비스커스추출분말",NA,NA,NA,"65 brix, 스페인산","GT","","","","","","","","20배 추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4683","품목보고번호20110149027203","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레알타트체리콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"체리농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,"타트체리농축액, 터키산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
