"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호5977","품목보고번호2017048750421","업소명(주)힘찬걸음","품목유형혼합음료","유통/소비기한제조일부터  12개월까지","제품명NADICA 프로링크","분류식품","업체명","(주)힘찬걸음","소재지","전라북도 익산시 왕궁면 동촌제길 110(국가식품클러스터 식품벤처동 3층 F341호)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","갈색거저리유충추출물","분리대두분말","비타민B1염산염","비타민B6염산염","엽산","비타민A초산염","비타민E혼합제제","비타민D3","L-아스코르브산나트륨","갈매보리수나무열매분말","곡류혼합","자몽종자추출물","당액","프락토올리고당","배농축액","아몬드페이스트","니코틴산아미드","잔탄검","합성향료","","","","","","","","","","","","국내산/고형분 2.3%, 현미, 보리, 쌀, 수수, 귀리, 검은콩","","","","","","","",""
"2","번호5976","품목보고번호2017048750427","업소명(주)힘찬걸음","품목유형혼합음료","유통/소비기한제조일부터  24개월까지","제품명NADICA 프로링크+업","분류식품","업체명","(주)힘찬걸음","소재지","전라북도 익산시 왕궁면 동촌제길 110(국가식품클러스터 식품벤처동 3층 F341호)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","탈지갈색거저리유충발효분말","분리대두분말","비타민B1염산염","비타민B6염산염","엽산","비타민A초산염","비타민E혼합제제","비타민D3","L-아스코르브산나트륨","갈매보리수나무열매분말","곡류혼합","자몽종자추출물","당액","프락토올리고당","배농축액","아몬드페이스트","니코틴산아미드","잔탄검","합성향료","","버섯균사발효단백질","","","","","","","","","","국내산/고형분 2.3%, 현미, 보리, 쌀, 수수, 귀리, 검은콩","","","","","","","",""
"3","번호5975","품목보고번호2014061409411","업소명세준","품목유형혼합음료","유통/소비기한1년","제품명NEW 7-DAY(뉴세븐데이((망고맛)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","망고향","망고농축액","DL-사과산","아스파탐","안식향산나트륨","정제수","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","로커스트콩검.카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5974","품목보고번호2014061409415","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명NEW 7-DAY(뉴세븐데이)(복숭아맛)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","식품첨가물혼합제제","복숭아향","복숭아농축액","구연산","아스파탐","안식향산나트륨","정제수","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","로커스트콩검.카라기난","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5973","품목보고번호2014061409413","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명NEW 7-DAY(뉴세븐데이)(사과맛)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","식품첨가물혼합제제","사과향","사과농축액","구연산","DL-사과산","아스파탐","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","로커스트콩검.카라기난","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5972","품목보고번호2014061409417","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명NEW 7-DAY(뉴세븐데이)(사이다향)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","식품첨가물혼합제제","사이다향","구연산","DL-사과산","아스파탐","안식향산나트륨","정제수","비타민혼합제제","아미노산혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","로커스트콩검.카라기난","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5971","품목보고번호2014061409416","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명NEW 7-DAY(뉴세븐데이)(콜라향)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","식품첨가물혼합제제","콜라향","구연산","DL-사과산","아스파탐","안식향산나트륨","정제수","비타민 혼합제제분말","아미노산혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","로커스트콩검.카라기난","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5970","품목보고번호2014061409414","업소명세준","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명NEW 7-DAY(뉴세븐데이)(포도맛)","분류식품","업체명","세준","소재지","경상남도 양산시 신명동2길 13(1층 명동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","식품첨가물혼합제제","포도향","포도농축액","구연산","DL-사과산","아스파탐","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","로커스트콩검.카라기난","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5969","품목보고번호20060512128352","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명NEW아르기닌6500","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,"L-아르지닌","정제수","구연산","올리고당","레몬농축액","세븐베리농축액","비타민믹스혼합제제","펙틴믹스","블루베리향","글루콘산아연","효소처리스테비아","기타가공품","비타민B12혼합제제분말","타우린","옥타코사놀(고시형)","대추농축액",NA,NA,NA,NA,"","","","","","","","펙틴혼합제제","혼합제제","","","복합황금추출물","","","","",NA,NA,NA,NA
"10","번호5968","품목보고번호2014021650635","업소명(주)물마루","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명NK미다수7.4","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
