"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호4554","품목보고번호20180491044149","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마시는 산양유 초유 단백질","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","우유","백설탕","분리대두단백","카제인칼슘","채종유(유채유 또는 카놀라유)","덱스트린","프락토올리고당","기타가공품","기타가공품","제삼인산칼슘","탄산칼슘","L-로이신","수용성비타민혼합제제","콜라겐","혼합제제","수산화마그네슘","산화아연","자당지방산에스테르","자당지방산에스테르","제이인산칼륨","정제소금","혼합제제","혼합제제","땅콩향","바닐라향","정제수","비타민D3혼합제제","","","","","","말토덱스트린 DE10-15","","미국산, 초유단백분말2080","네덜란드산,산양유단백분말","","","","수용성비타민프리믹스ID2","피시콜라겐","비타프로CEC","","","S-570","P-1670","","","아미노믹스","폼크린200 (소포제)","#8(FC-128809)","#7(FC-80707)","","주용도(영양강화제)"
"2","번호4553","품목보고번호19860443015428","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마시는 석류 저분자콜라겐","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","콜라겐","자일리톨","에리스리톨","석류농축액","석류향","구연산(무수)","히비스커스추출분말","DL-사과산","황금혼합추출물","히알루론산","효소처리스테비아","젖산칼슘","비타민D3혼합제제","비타민K1혼합제제","비타민A혼합분말","비타민C","비오틴 혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","피쉬콜라겐, 마린콜라겐","","","","합성향료","구연산","","","복합황금추출물","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4552","품목보고번호20060415215258","업소명주식회사 노바렉스 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마시는 스피드 마그네슘","분류식품","업체명","주식회사 노바렉스 2공장","소재지","충청북도 청주시 청원구 오창읍 각리1길 60(64)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","에리스리톨","구연산(무수)","마그네슘(고시형)","잔탄검","비타민 B6(고시형)","페퍼민트향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","비타민B6염산염","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4551","품목보고번호20070443110496","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명마시는 식사 비건 그레인","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","곡류가공품","레시틴","식품첨가물","식품첨가물","두류가공품","곡류가공품","난소화성말토덱스트린(고시형)","당류가공품","프락토올리고당","스테비올배당체","기타소금","기타가공품","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"아몬드페이스트","19곡분말","해바라기레시틴","젤란검","비타민E","-C9","쌀단백분말","","액상알룰로스","","-95","히말라야핑크소금","아쿠아민-","곡물향 -443","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4550","품목보고번호20070443110497","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명마시는 식사 비건 카카오","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","코코아분말","레시틴","식품첨가물","식품첨가물","두류가공품","곡류가공품","난소화성말토덱스트린(고시형)","당류가공품","프락토올리고당","스테비올배당체","기타소금","기타가공품","혼합제제","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"아몬드페이스트","코코아파우더","해바라기레시틴","젤란검","비타민E","-C9","쌀단백분말","","액상알룰로스","","-95","히말라야핑크소금","아쿠아민-","SK-","BJ-","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4549","품목보고번호20110084489298","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마시는 액상 정제된 코앤 구아바액","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","구아바농축액","사양벌꿀","배청징농축과즙","구아바잎추출분말","비타민C","도라지농축액","글루콘산아연","나한과추출물분말","혼합제제","과.채가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","화이트구아바퓨레농축액","","배농축액","","","","","나한과추출분말","비타민D3혼합제제","과일야채발효액99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4548","품목보고번호20070464034197","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명마시는 오늘 견과 쉐이크 오리지널","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","설탕","기타가공품","해바라기유","천일염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합견과8종","유기농밝은갈색설탕","해조분말","고올레산해바라기유","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4547","품목보고번호20070464034198","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명마시는 오늘 견과 쉐이크 코코아","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","설탕","코코아분말","기타가공품","해바라기유","천일염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합견과8종","유기농밝은갈색설탕","코코아파우더","해조분말","고올레산해바라기유","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4546","품목보고번호20090624059287","업소명농업회사법인(주)힐링팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 저분자 콜라겐","분류식품","업체명","농업회사법인(주)힐링팜","소재지","경상남도 거창군 남상면 밤티재로 1007(창고 : 남상면 수남로 1861-54)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","생선콜라겐펩타이드","석류농축액","올리고당","옥수수수염추출분말","석류향","대추농축액","구연산","효소처리스테비아","히알루론산","비타민미네랄혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","저분자피쉬콜라겐, 베트남산","고형분65%, 스페인산","","국산","","국산, 고형분 60%이상","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4545","품목보고번호19970464172302","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 콜라겐","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,NA,NA,NA,NA,NA,NA,"생선콜라겐분말","L-아르지닌","다시마농축분말","시클로덱스트린","DL-사과산","구연산","구연산삼나트륨","비타민 C(고시형)","결정과당","히알루론산","판토텐산칼슘","비오틴","니코틴산아미드","열대과일혼합농축액","석류농축액","믹스베리향","비타민 B2(고시형)","비타민B6염산염","정제소금","정제수",NA,NA,NA,NA,NA,NA,NA,"피쉬콜라겐","","","","","","","","","","","","","","","","","","정제염","",NA,NA,NA,NA,NA,NA,NA
