"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","성분 및 원료22","비고22"
"1","번호4314","품목보고번호2021055909226","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모로오렌지액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7","오렌지추출물분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수","모로블러드오렌지추출분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4313","품목보고번호2009055402082","업소명소백인삼영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명모링가파나세이아","분류식품","업체명","소백인삼영농조합법인","소재지","경상북도 영주시 풍기읍 소백로 2115","1","2","3","4","5",NA,NA,"드럼스틱추출물","프락토올리고당","과.채가공품","과.채가공품","합성향료",NA,NA,"사용부위:잎, 고형분 2%이상","올리고당","대추농축액, 고형분 66%이상","도라지농축액, 고형분 64%이상","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4312","품목보고번호202206837691","업소명원광제약(주) 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모아아미노","분류식품","업체명","원광제약(주) 제2공장","소재지","전라북도 익산시 삼기면 미륵사지로 795-20(1,2,3동)","1","2","3","4","5",NA,NA,"기타가공품","액상과당","구연산","헤이즐넛향","정제수",NA,NA,"파미노액(품목제조보고번호 : 202206836841)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4311","품목보고번호2008033218040","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 155일","제품명모애당 엄마손식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,"엿기름","쌀","설탕",NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4310","품목보고번호20010515081499","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명모앤비키즈 바나나맛","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","정제수","바나나농축액","옥수수기름(옥배유)","백설탕","수크랄로스","분리유단백분말","초유단백질","","","","","","","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","구연산삼나트륨","구연산칼륨","카라기난","정제소금","말토덱스트린혼합제제","EPA 및 DHA 함유 유지(고시형)","탄산칼슘혼합제제","비타민D3 분말","산화아연","황산제일철","글리세린지방산에스테르","혼합제제","혼합제제","혼합제제","구연산나트륨","","","","","조류추출DHA유지","","","","","","씨리얼향","밀크향","바나나향",NA,NA,NA
"6","번호4309","품목보고번호20010515081498","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명모앤비키즈 초코맛","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","정제수","코코아분말","옥수수기름(옥배유)","백설탕","수크랄로스","분리유단백분말","초유단백질","","","","","","","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","구연산삼나트륨","구연산칼륨","젤란검","정제소금","말토덱스트린혼합제제","EPA 및 DHA 함유 유지(고시형)","탄산칼슘혼합제제","비타민D3 분말","산화아연","황산제일철","글리세린지방산에스테르","셀룰로오스혼합제제","혼합제제","혼합제제","구연산나트륨","","","","","조류추출DHA유지","","","","","","","씨리얼향","밀크초코향",NA,NA,NA
"7","번호4308","품목보고번호20030415157482","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명모어네이처 에너지업 L-아르기닌 6000","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","정제수","L-아르지닌","결정과당","구연산","청포도농축액","DL-사과산","청포도향","","","","","샤인머스캣혼합농축액","","샤인머스캣향","8","9","10","11","12","13","14","15","16","17","18","19","20","21","효소처리스테비아","타우린","L-카르니틴","잔탄검","미르틸루스산앵도추출물분말","마카추출분말","γ-시클로덱스트린","황금혼합추출물","건조수박열매껍질","오르니틴염산염","카카오색소","수크랄로스","산화아연(고시형)","비타민 B2(고시형)","","","","","빌베리추출물분말","수용성마카추출분말","","복합황금추출물","수박과피추출물분말","L-오르니틴염산염","","","","","22","비타민 C(고시형)",""
"8","번호4307","품목보고번호19930571069581","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명모히또","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","레몬농축액","설탕","구연산","구연산삼나트륨","수크랄로스","시트러스향","메타인산나트륨","","","함수","","","","","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"식용색소청색제1호","식용색소황색제4호","합성향료","라임향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","모히또향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4306","품목보고번호20070464094219","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부타 12개월","제품명모히또 라임","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","백설탕","구연산","비타민C혼합제제","수크랄로스","라임농축액","잔탄검","베타카로틴혼합제제","","함수구연산","","","65brix","","수용성베타카로틴","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,"그린칼라","라임향","레몬향","애플민트향","시트러스믹스향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4305","품목보고번호20070464094519","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명모히또 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","레몬농축액","설탕","구연산","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소청색제1호","","","함수구연산","","","","","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"식용색소황색제4호","합성향료","라임향","시트러스향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
