"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","성분 및 원료10","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호...48","성분 및 원료","비고","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호4197","품목보고번호201504353021","업소명이디안재단(주)","품목유형혼합음료","유통/소비기한2","제품명미쉘라인브리스","분류식품","업체명","이디안재단(주)","소재지","충청북도 제천시 백운면 천등박달로 996-31","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4196","품목보고번호20110149027326","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명미스틱 양배추 젤리 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","양배추농축액","블루베리농축액","50 Brix, 국내산","","3","4","5","6","7","8","9","사과농축액","브로콜리농축액","비타민C","DL-사과산","액상과당","레몬향","혼합제제","","","","","","천연","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4195","품목보고번호2017037259052","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 실온에서 24개월","제품명미스핏상아석류젤리","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","정제수","석류착즙액","","15brix","3","4","5","6","7","8","9","프락토올리고당","포도당","혼합제제","레드비트농축액","석류향","구연산","생선콜라겐","","","푸드겔","","","","","10","수크랄로스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4194","품목보고번호19960571018462","업소명우일음료","품목유형혼합음료","유통/소비기한제조일부터  PET 12개월","제품명미에로 화이바","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","폴리덱스트로스","락색소","식이섬유 70%","","3","4","5","6","7","8","9","오렌지향","정제수","구연산","비타민C","감귤추출물","구연산삼나트륨","액상과당","합성착향료","","산도조절제","분말","감귤추출물HD","산도조절제","","10","결정과당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4193","품목보고번호1993062500640","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명미에로 화이바 진","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","정제수","액상과당",NA,NA,"3","4","5","6","7","8","9","폴리덱스트로스","결정과당","구연산","구연산삼나트륨","오렌지향(HKG-0431)","오렌지향","비타민C",NA,NA,NA,NA,NA,NA,NA,"10","DL-알라닌",NA,"11","12","씨트러스추출물","코치닐추출색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4192","품목보고번호199306250068","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년(병, 합성수지재)","제품명미에로 화이바 후레쉬","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4191","품목보고번호1993062500631","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미에로레드비타","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","액상과당","비타민C",NA,NA,"3","4","5","6","7","8","9","구연산","구연산삼나트륨","DL-사과산","씨트러스","출물","붉은양배추색소","자색고구마",NA,NA,NA,NA,NA,NA,NA,"10","색소",NA,"11","12","락색소","카시스향",NA,NA,NA,NA,NA,"13","14","아세로라향","정제수",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4190","품목보고번호199306250066","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년(병, 합성수지재)","제품명미에로베타","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","매실과즙","액상과당",NA,NA,"3","4","5","6","7","8","9","덱스트린","비타민C","수용성 베타카로틴","구연산","그레이프후르츠향베이스","구연산삼나트륨","잔탄검",NA,NA,NA,NA,NA,NA,NA,"10","드라이 비타민E 50%타입CWS/F",NA,"11","12","레몬향","허브향",NA,NA,NA,NA,NA,"13","14","오렌지향","애프리코트향",NA,NA,"15","16","체리향","정제수",NA,NA
"9","번호4189","품목보고번호2019057504268","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미에로화이바","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","액상과당","폴리덱스트로스","","","3","4","5","6","7","8","9","결정과당","구연산","구연산삼나트륨","오렌지향","오렌지향","비타민C","감귤추출물","","","","HKG-0431","HK-1819/1","","","10","락색소","JS-15997","11",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4188","품목보고번호20070443110484","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명미에로화이바","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","액상과당","폴리덱스트로스","","","3","4","5","6","7","8","9","결정과당","구연산","구연산삼나트륨","향료","향료","비타민C","기타가공품","","","","오렌지향( - 0431)","오렌지향( - 1819)","","감귤추출물에이치디","10","식품첨가물","락색소","11",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
