"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15"
"1","번호4097","품목보고번호1997061706282","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명바이오업","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","오렌지농축액","화분추출물분말","사양벌꿀","밀배아유","동결건조로얄젤리","파라옥시안식향산메틸","정제수","60 Brix","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4096","품목보고번호19970617062154","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 36월","제품명바이오업3","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","정제수","오렌지농축액","사양벌꿀","화분추출물분말","밀배아유","동결건조로얄젤리","파라옥시안식향산메틸","","60 Brix","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4095","품목보고번호19970617062174","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 36월","제품명바이오업5","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","정제수","오렌지농축액","사양벌꿀","화분추출물분말","밀배아유","로열젤리","파라옥시안식향산메틸","","60 Brix","","","","동결건조로열젤리","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4094","품목보고번호2014021650632","업소명(주)물마루","품목유형혼합음료","유통/소비기한1년","제품명바이오워터","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,NA,NA,NA,NA,"지하수","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4093","품목보고번호2019041307926","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바이오티 그레이프그린","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","정제수","에리스리톨","갈락토올리고당","올리고당가공품","청포도농축액","당류가공품","합성향료","","","","뷰티올리고","","팔라티노스-IS","머스킷향(Muscat Flavor SK-JO166)","8","9","10","11","12","13","14","DL-사과산","구연산(무수)","정제소금","효소처리스테비아","아세설팜칼륨","비타민 C(고시형)","말토덱스트린혼합제제","","","","레바텐프리미엄","","","",NA,NA,NA
"6","번호4092","품목보고번호20190413079133","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바이오티 자몽허니블랙티","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","정제수","에리스리톨","갈락토올리고당","올리고당가공품","사양벌꿀","레드자몽농축액","홍차추출분말","","","","뷰티올리고","","","","8","9","10","11","12","13","14","혼합제제","DL-사과산","당류가공품","구연산(무수)","정제소금","효소처리스테비아","아세설팜칼륨","자몽허니블랙티향","","팔라티노스-IS","","","레바텐프리미엄","","15","말토덱스트린혼합제제","MSX-1MF"
"7","번호4091","품목보고번호2019041307927","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바이오티 피치핑크","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","정제수","에리스리톨","갈락토올리고당","올리고당가공품","복숭아농축액","복숭아향","DL-사과산","","","","뷰티올리고","","","","8","9","10","11","12","13","14","당류가공품","구연산(무수)","정제소금","효소처리스테비아","아세설팜칼륨","비타민 C(고시형)","말토덱스트린혼합제제","팔라티노스-IS","","","레바텐프리미엄","","","",NA,NA,NA
"8","번호4090","품목보고번호2005007713135","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명바이오프라센탑","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","VS-PL태반추출물","L-아르기닌","올리고당","아미노믹스","클로렐라 추출물","CGF","구연산",NA,NA,NA,NA,NA,NA,NA,"8","9",NA,NA,NA,NA,NA,"과일향","안식향산 나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4089","품목보고번호2016038644451","업소명엔비씨앤에프주식회사","품목유형혼합음료","유통/소비기한24개월","제품명바이옴&써큘아르","분류식품","업체명","엔비씨앤에프주식회사","소재지","강원도 강릉시 사임당로 641-22(223호 대전동, 해양바이오센터)","1","2","3","4","5","6","7","정제수","L-아르지닌","포도당","석류농축액","Lactococcus lactis(고시형)","타우린","솔잎 증류 농축액(기능성원료인정제2012-30호)",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,"비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4088","품목보고번호19890445014285","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명바이칼차가엑스골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2",NA,NA,NA,NA,NA,"차가버섯추출액","올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
