"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","성분 및 원료8","성분 및 원료9","비고8","비고9","번호10","번호11","번호12","번호13","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호3947","품목보고번호19970464172202","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고블루베리","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","블루베리농축액","백설탕","구연산","구연산삼나트륨","비타민C","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3946","품목보고번호19970464172190","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고석류","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","석류농축액","백설탕","구연산","글리신","식용색소","구연산삼나트륨","폴리덱스트로스",NA,NA,NA,NA,NA,NA,NA,"8","9","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3945","품목보고번호19970464172186","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고쌍화홍삼","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","쌍화농축액","감초농축액","홍삼농축액","액상과당","덱스트린","맥아당","구연산",NA,NA,NA,NA,NA,NA,NA,"8","9","구연산삼나트륨","타우린",NA,NA,"10","11","12","13","니코틴산아미드","액상카라멜","홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3944","품목보고번호19970464172193","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고알로에","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","알로에베라분말","백설탕","효소처리스테비아","구연산","구연산삼나트륨","글리신","알로에향",NA,NA,NA,NA,NA,NA,NA,"8",NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3943","품목보고번호19970464172329","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고진쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","쌍화농축액","기타과당","카라멜색소","구연산","구연산삼나트륨","대추농축액","생강농축액",NA,NA,NA,NA,NA,NA,NA,"8","9","주정","효소처리스테비아",NA,NA,"10","11","12","13","정제소금","생강향","쌍화향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3942","품목보고번호19970464172151","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고키즈짱","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","베타인","이노시톨","L-라이신염산염","L-아스파르트산","구연산","L-아르기닌","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,"8","9","딸기향","니코틴산아미드",NA,NA,"10","11","12","13","효소처리스테비아","안식향산나트륨","산화아연","구연산삼나트륨",NA,NA,NA,NA,"14","15","16","17","18","19","수크랄로스","비타민B2","비타민B1염산염","비타미뉴","염산염","정제수",NA,NA,NA,NA,NA,NA
"7","번호3941","품목보고번호19970464172200","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고키즈칼슘킹-딸기","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","젖산칼슘","농축사과과즙","백설탕","구연산","구연산삼나트륨","타우린","비타민B2",NA,NA,NA,NA,NA,NA,NA,"8","9","비타민C","딸기향",NA,NA,"10",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3940","품목보고번호19970464172199","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고키즈칼슘킹-블루베리","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","젖산칼슘","농축사과과즙","백설탕","구연산","구연산삼나트륨","타우린","비타민B2",NA,NA,NA,NA,NA,NA,NA,"8","9","비타민C","블루베리향",NA,NA,"10",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3939","품목보고번호19970464172197","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고키즈칼슘킹-오렌지","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","젖산칼슘","농축사과과즙","백설탕","구연산","구연산삼나트륨","타우린","비타민B2",NA,NA,NA,NA,NA,NA,NA,"8","9","비타민C","오렌지향",NA,NA,"10",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3938","품목보고번호19970464172204","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고키즈홍삼킹","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","홍삼농축액","농축사과과즙","백설탕","구연산","구연산삼나트륨","타우린","비타민C",NA,NA,NA,NA,NA,NA,NA,"8","9","액상카라멜","홍삼향",NA,NA,"10",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
