"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호3937","품목보고번호19970464172198","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고헛개","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","헛개열매농축액","백설탕","구연산","구연산삼나트륨","비타민C","액상카라멜","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3936","품목보고번호19970464172115","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고황제","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","홍삼농축액","복분자농축액","산수유농축액","오미자농축액","계피농축액","숙성흑마늘농축액","밀크씨슬엑기스","과라나추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12","13","14","15","16","17","18","19","20","21","22","액상카라멜","액상과당","구연산","비타민C","구연산삼나트륨","타우린","잔탄검","효소처리스테비아","비타민B6염산염","비타민B1염산염","이노시톨","황금복합추출물","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3935","품목보고번호20020383603611","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보나수아 아우라 스킨부스터 5500","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","생선콜라겐","프락토올리고당","사과농축액","포도농축액","덱스트린","비타민C","리치향","세븐베리농축액","","","","적포도농축액","말토덱스트린","","합성향료","","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,"DL-사과산","기타가공품","효모추출물","수크랄로스","자몽종자추출물","비타민B2","비타민B6염산염","엘라스틴가수분해물","히알루론산혼합제제","정제수",NA,NA,NA,NA,"","실크펩타이드","글루타치온 효모추출물","감미료","","","","","","",NA,NA,NA,NA
"4","번호3934","품목보고번호20040275056641","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보다나 개미취추출진액","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","정제수","기타가공품","기타 농산가공품","프락토올리고당","생강농축액","황금혼합추출물","프로폴리스추출액","자몽종자추출물","","개미취추출농축액(고형국20%)","식물혼합농축액HR-2646","","생강혼합농축액(BRIX:75)","","","","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"효소처리스테비아","l-멘톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3933","품목보고번호202204938432","업소명애자식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명보드람식혜","분류식품","업체명","애자식품","소재지","경기도 파주시 하우고개길 470(1동 상지석동)","1","2","3","4",NA,NA,NA,NA,"정제수","곡류가공품","설탕","찹쌀",NA,NA,NA,NA,"","엿기름","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3932","품목보고번호19890445014250","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명보령 영지골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","영지추출액","액상과당","백설탕","농축사과과즙","구기자농축액","구연산","벌꿀","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산삼나트륨","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3931","품목보고번호20190326100144","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보령 짜먹는 엘(L) 아르기닌 6000 부스터","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","정제수","L-아르지닌","구연산","과.채가공품","시클로덱스트린시럽","블루베리농축액","비타민C","타우린","","","","풋사과농축액","","","","","9","10","11","12","13","14","15","16","17","18","19","20","21","22","혼합제제","구연산삼나트륨","글루콘산아연","펙틴","과라나추출물분말","기타가공품","기타가공품","혼합제제","L-카르니틴","수크랄로스","비타민B6염산염","비타민B1염산염","비타민B2","식품첨가물","풋사과향","","","","","수박과피추출분말","복합황금추출물","BCAA","","","","","","대두레시틴분말"
"8","번호3930","품목보고번호19890445014252","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명보령비타플러스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","비타민C","액상과당","백설탕","농축사과과즙","저감미당","글리신","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"안식향산나트륨","니코틴산아미드","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3929","품목보고번호200306143071135","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명보석바 에이드 핑크소다","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","정제수","기타과당","설탕","덱스트린","혼합분유","식품첨가물혼합제제","구연산","식품첨가물혼합제제","","고과당","","","혼합탈지분유(SMP8812)","소다향 K-194108","","요거트향 JAF80655S","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"두류가공품","식품첨가물","식품첨가물","식품첨가물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수용성대두다당류","효소처리스테비아-알에이","자주색고구마색소-피","효소처리루틴-엠",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3928","품목보고번호2019041307914","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명보성 말차 라떼","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","우유","설탕","탈지분유","덱스트린","고형차","가당연유","그린색소","자당지방산에스테르","","","","","차광재배말차","","","P-1670","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"자당지방산에스테르","탄산수소나트륨","카라기난","녹차향","기타소금","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"S-570","","D-12A","SK-19-08373","히말라야 암염","",NA,NA,NA,NA,NA,NA,NA,NA
