"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호3797","품목보고번호19860443015511","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뷰티콜라겐 5000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","콜라겐","용설란시럽","콜라겐","자일리톨","석류농축액","구연산","혼합제제","세븐베리농축액","히알루론산","비타민C","글루콘산아연","엘라스틴가수분해물","합성향료","혼합제제","혼합제제","대나무수액","비오틴","","피쉬콜라겐","유기농아가베시럽, 아가베시럽","저분자피쉬콜라겐","","","","석류향","세븐베리혼합농축액","","","","","복숭아향","비타민E혼합제제분말","베타카로틴혼합제제","대나무수액추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3796","품목보고번호20100543066982","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명뷰티콜라겐 제로슈가","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","폴리덱스트로스","에리스리톨","기타가공품","구연산","합성향료","알로에겔분말","스테비올배당체","혼합제제","적양배추색소","코치닐추출색소","천연향료","유화제","혼합제제","히알루론산","니코틴산아미드","비타민E혼합제제","판토텐산칼슘","","","","피쉬콜라겐/프랑스산","","석류향","유기농알로에베라겔분말/멕시코산, 유기농알로에로 환산시 20%","","BCAA혼합제제(L-이소로이신, L-발린, L-로이신)","","","석류향","","규소수지, 유화제, CMC","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","","19","20","21","22","23","24","비타민D3혼합제제","글루콘산아연","글루콘산마그네슘","구연산칼륨","비타민B6염산염","비타민B12","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","","","","",""
"3","번호3795","품목보고번호2021060692841","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명뷰티팩","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","체리농축액","사과농축액","올리고당가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","타트체리농축액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3794","품목보고번호20050355533118","업소명디웰푸드(DWell Food)","품목유형혼합음료","유통/소비기한3년","제품명뷰티풀석류","분류식품","업체명","디웰푸드(DWell Food)","소재지","경기도 파주시 평화로342번길 96(검산동,10동,11동,12동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류추출액","액상과당","구연산","비타민C","비타민B1라우릴황산염","석류향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3793","품목보고번호19970464172181","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뷰티화이바","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"폴리덱스트로스","백설탕","프락토올리고당","비타민C","구연산","구연산삼나트륨","레드색소K","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3792","품목보고번호20180491044102","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명브라운라이스오트","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"귀리페이스트","유채유","곡류가공품","해조칼슘","곡류가공품","정제소금","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분40%,필리핀산","카놀라유","볶음귀리가루(캐나다산)","해조ca/영양강화제","볶은 발아현미가루(국내산)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3791","품목보고번호20190575042190","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명브레드 이발소 오렌지망고","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"오렌지농축액","망고농축퓌레","설탕","효소처리스테비아","구연산(결정)","구연산삼나트륨","비타민C","폴리덱스트로스","펙틴","향료","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","혼합과일향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3790","품목보고번호2016052105346","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명브레드이발소 밀크맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","액상과당","탈지분유","구연산(무수)","두류가공품","시트러스향","요구르트향","밀크향","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","대두다당류","합성향료","합성향료","합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3789","품목보고번호200201832821120","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명브레드이발소 오렌지ㆍ망고","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"오렌지농축액","망고농축퓌레","설탕","효소처리스테비아","구연산","구연산삼나트륨","비타민C","폴리덱스트로스","펙틴","향료","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","혼합과일향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3788","품목보고번호2016052105345","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명브레드이발소 오렌지맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"정제수","설탕","오렌지농축액","구연산(무수)","자일리톨","젖산칼슘","합성향료","합성향료","비타민C","홍삼농축액","수크랄로스","비타민 B2(고시형)","폴리덱스트로스",NA,NA,NA,NA,NA,"","","65bx","","","","오렌지향1","오렌지향2","","고형분60%이상","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
