"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12"
"1","번호5897","품목보고번호20020623009866","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 레몬진저","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","레몬농축액","생강추출농축액","사양벌꿀","당시럽","구연산","구연산삼나트륨","효소처리루틴","수크랄로스","기타엿","생강향","레몬향","정제수","65 ˚Bx 이스라엘","20 ˚Bx 국산","78.5 ˚Bx","67 ˚Bx","결정","","스테비텐루틴","","맥아당","천연생강향","합성향료",""
"2","번호5896","품목보고번호20100543066654","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN: 제조일로부터 12개월","제품명Sunkist 망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","당시럽","망고농축퓌레","설탕","구연산","합성향료","젖산칼슘","천연카로틴","비타민C","젤란검","수크랄로스","아세설팜칼륨","","","콜롬비아산,배합함량:망고100%,망고퓨레로 환원기준 3%","","","망고향","","","","","감미료","감미료"
"3","번호5895","품목보고번호20010515081338","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 망고","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","망고농축액","당류가공품","설탕","구연산(결정)","젖산칼슘","비타민C","아세설팜칼륨","수크랄로스","젤란검","천연카로틴","합성향료","정제수","망고퓨레농축액","당시럽","","","","","Sunett","","LT-100","카로틴-엘(에이치)","망고향",""
"4","번호5894","품목보고번호20010515081326","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Sunkist 매실","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10",NA,NA,"매실농축과즙","당류가공품","구연산(결정)","카라멜색소","수크랄로스","아세설팜칼륨","합성향료","합성향료","합성향료","정제수",NA,NA,"","당시럽","","카라멜색소P212","","Sunett","매실향","매실향","매실향","",NA,NA
"5","번호5893","품목보고번호19980449002476","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터  24개월까지","제품명Sunkist 매실","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"매실농축과즙","당시럽","구연산","카라멜색소","수크랄로스","아세설팜칼륨","매실향","정제수",NA,NA,NA,NA,"","","","분말","","","","",NA,NA,NA,NA
"6","번호5892","품목보고번호20100543066298","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명Sunkist 매실","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"정제수","당시럽","구연산","합성향료","매실농축액","카라멜색소","아세설팜칼륨","수크랄로스",NA,NA,NA,NA,"","","","매실향","국산, 배합함량 : 매실100%, 매실과즙으로 환원기준 0.5%","","감미료","감미료",NA,NA,NA,NA
"7","번호5891","품목보고번호2015041501377","업소명(주)바른음료","품목유형혼합음료","유통/소비기한24개월","제품명Sunkist 매실","분류식품","업체명","(주)바른음료","소재지","충청북도 청주시 서원구 현도면 선동2길 220","1","2","3","4","5","6","7","8","9","10",NA,NA,"매실농축과즙","당시럽","구연산(결정)","카라멜색소","수크랄로스","아세설팜칼륨","매실향","매실향","매실향","정제수",NA,NA,"65 brix","67 brix","","","","","SK-78800","TF-21802","11127","",NA,NA
"8","번호5890","품목보고번호20100543066243","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 머스캣","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","당시럽","구연산","과.채가공품","합성향료","합성향료","DL-사과산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨",NA,"","","","청포도과즙농축액,호주산,배합함량:청포도100%,청포도과즙으로 환원기준 1%","청포도향","시트러스향","","","","감미료","감미료",NA
"9","번호5889","품목보고번호20010515081323","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 머스캣","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","청포도농축액","당류가공품","구연산(결정)","DL-사과산","비타민 C(고시형)","구연산삼나트륨","수크랄로스","아세설팜칼륨","합성향료","합성향료","합성향료","정제수","청포도과즙농축액","당시럽","","","","","","Sunett","시트러스향","청포도향","청포도향",""
"10","번호5888","품목보고번호2015041501376","업소명(주)바른음료","품목유형혼합음료","유통/소비기한12개월","제품명Sunkist 머스캣","분류식품","업체명","(주)바른음료","소재지","충청북도 청주시 서원구 현도면 선동2길 220","1","2","3","4","5","6","7","8","9","10","11","12","청포도농축액","당시럽","구연산(결정)","DL-사과산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","시트러스향","청포도향","청포도향","정제수","청포도과즙농축액, 69 brix","67brix","","","","","","","sk-1000","MF-061156","WBC-514, WBC-514/C",""
