"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호3420","품목보고번호19860443015349","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명새빨간 비밀","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","정제수","기타가공품","알룰로오스","자일리톨","올리고당","왕느릅나무껍질추출물","베리혼합농축액","합성향료","황금혼합추출물","구연산(무수)","녹차추출물","","적포도발효농축액","알룰로스","","","유백피추출분말","세븐베리농축액","포도향","복합황금추출물","구연산","녹차추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3419","품목보고번호20040275056521","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명새싹보리 곤약젤리","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","혼합제제","혼합제제","혼합제제","구연산(무수)","구연산삼나트륨","글루코만난","보리순분말","생선콜라겐펩타이드","히알루론산혼합제제","","","","깔라만시향 #7","라임향 #8","","","곤약분말","보리새싹가루","피쉬콜라겐펩타이드","","12","13","14","효소처리스테비아","혼합제제","수크랄로스","스테비텐후레쉬","","",NA,NA,NA,NA,NA,NA
"3","번호3418","품목보고번호20070464034167","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명새싹이든 밀","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"땅콩어린싹","백설탕","해조칼슘","정제소금",NA,NA,NA,NA,NA,NA,NA,"새싹땅콩액","","해조분말","정제염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3417","품목보고번호20070464034220","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명새싹이든(땅콩새싹· 단호박)","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6",NA,NA,NA,NA,NA,"땅콩어린싹","정제수","설탕","과.채가공품","천일염","해조칼슘",NA,NA,NA,NA,NA,"새싹땅콩유(고형분 5%이상)","","유기농밝은갈색설탕","단호박분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3416","품목보고번호2010055614311","업소명새아침영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 40일까지","제품명새아침 동총하초식혜","분류식품","업체명","새아침영농조합법인","소재지","경상북도 상주시 공검면 율곡4길 20","1","2","3","4","5","6",NA,NA,NA,NA,NA,"설탕","엿기름","밀리타리스","쌀","생강농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3415","품목보고번호20020623009934","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명새콤달콤 복분자","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","복분자농축액","아세로라농축분말","사양벌꿀","기타과당","구연산","DL-사과산","비타민C","정제소금","펙틴","구연산삼나트륨","효소처리스테비아","","","","","","","","","","","스테비안50","12","13","14","레드칼라","카라멜색소","복분자향","","","합성향료","15","16","복분자향","정제수","합성향료",""
"7","번호3414","품목보고번호20040275056483","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명샐로맥스 셀럽","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","포도농축액","올리고당","과일채소혼합농축액","당류가공품","구연산(무수)","포도향","효모식품","서류가공품","비타민믹스혼합제제","","","적포도농축액","네오고스-엘57","37종 과일야채 발효농축액","듀올리고","","포도향#46","이트레스","정제곤약-엘(L)","비타믹스","12","13","14","효소처리스테비아","구연산삼나트륨","잔탄검","레바텐 프리미엄","","","15",NA,"카라기난",NA,"",NA
"8","번호3413","품목보고번호200403641997","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명샘 미네랄","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3412","품목보고번호200403641994","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명샘C","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3411","품목보고번호2011049204028","업소명드림인영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명생강수드림","분류식품","업체명","드림인영농조합법인","소재지","전라북도 남원시 인월면 천왕봉로 54","1","2","3","4","5","6","7","8","9",NA,NA,"생강즙","고로쇠농축액","생강농축액","배농축액","백설탕","복합허브추출물","생강향","홍화황색소","정제수",NA,NA,"","","","","","복합허브추출물G","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
