"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","성분 및 원료18","비고18"
"1","번호3400","품목보고번호19970464172214","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명생기엔 생산삼배양근","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","산삼배양근","홍삼추출액","당귀추출액","구기자추출액","주정","백설탕","구연산","폴리소르베이트80","정제소금","구연산삼나트륨","니코틴산아미드","카라멜색소","비타민B6염산염","홍삼향","정제수","안식향산나트륨","식용색소황색제4호","","고형분 18%","고형분 18%","고형분 18%","발효주정","","","","","","","","","천연홍삼향","","","",NA,NA,NA
"2","번호3399","품목보고번호19970464172266","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명생기엔 활력진","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"베타인","L-아르기닌","구연산","구연산삼나트륨","수크랄로스","액상과당","시클로덱스트린시럽","아로니아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3398","품목보고번호20180504025158","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한24개월","제품명생기천마 발효 천마진액 골드","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"천마추출액","프락토올리고당","식물혼합농축액","당류가공품","잔탄검","도라지농축액","참당귀농축액","구연산","효소처리스테비아","유산균",NA,NA,NA,NA,NA,NA,NA,"국내산","국내산","고형분60%(국내산)","슈가시럽(독일산)","","고형분 60%(국내산)","고형분 50%(국내산)","","","프리미엄 생유산균 19종 분말(국내산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3397","품목보고번호19920624042735","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명생기파워-F","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"설탕","타우린","과.채가공품","구연산","합성향료","비타민C","니코틴산아미드","이노시톨","비타민B1질산염","효소처리스테비아","수크랄로스","비타민B6염산염","비타민B2","정제수",NA,NA,NA,"원당100%","","사과농축과즙(72Brix)","","드링크향 SW-17295","","","","","","","","","",NA,NA,NA,NA,NA,NA
"5","번호3396","품목보고번호201605433711","업소명(주)컴앤컴(Com&Com) 임하지점","품목유형혼합음료","유통/소비기한1년","제품명생명샘","분류식품","업체명","(주)컴앤컴(Com&Com) 임하지점","소재지","경상북도 안동시 임하면 임하길 171","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3395","품목보고번호2019008436412","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명생생 해바 칼슘 1000","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3394","품목보고번호20020612459157","업소명거제사슴영농조합법인","품목유형혼합음료","유통/소비기한15개월","제품명생생비타","분류식품","업체명","거제사슴영농조합법인","소재지","경상남도 거제시 거제면 옥산금성길 23","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","파인애플과즙","레몬과즙","사과즙","매실발효액","비타민 C(고시형)","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","유기농","파인애플(국산)100%","레몬100%","사과(국산)100%","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3393","품목보고번호202104510965","업소명농업회사법인 주식회사 자연이 정답이다","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명생생비타","분류식품","업체명","농업회사법인 주식회사 자연이 정답이다","소재지","충청북도 괴산군 칠성면 자연드림길 245-10","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","파인애플과즙","레몬과즙","사과즙","매실발효액","비타민 C(고시형)","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","유기농","파인애플(국산)100%","레몬100%","사과(국산)100%","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3392","품목보고번호20080181270145","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명생생역시","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","액상과당","감식초","헛개나무열매농축액","고등어추출분말","배농축액","타우린","울금추출물분말","구연산(무수)","홍삼농축액","DL-알라닌","DL-사과산","니코틴산아미드","황금혼합추출물","비타민B1혼합제제","비타민B2혼합제제","혼합과일향","벌꿀향","","","","어육단백질추출농축분말","","","","","","","","","복합황금추출물","비타민B1질산염","비타민B2","","","18","정제수",""
"10","번호3391","품목보고번호2008033218032","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명생생쭈꾸미가 만든 달콤한 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
