"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15"
"1","번호3150","품목보고번호202004190382","업소명농업회사법인(주)삼광에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명순오트밀크","분류식품","업체명","농업회사법인(주)삼광에프앤비","소재지","강원도 양구군 남면 정중앙로 548","1","2","3","4","5","6","정제수","귀리","볶음대두분말","가공소금","볶음보리분말","α-아밀라아제(세균성)","","","국산콩분말","죽엄","보리분말","스페지임프레드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3149","품목보고번호19890445014427","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명순우리동충하초","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","동충하초혼합추출액","소나무잎농축액","액상과당","구연산","글리신","카르복시메틸셀룰로오스나트륨",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","안식향산나트륨","카라멜색소","정제염","드링크향","매실향","솔향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3148","품목보고번호2019057102519","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명순희희순 새싹보리식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","5",NA,"엿기름","설탕","멥쌀","건조보리순","정제수",NA,"","","","새싹보리분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3147","품목보고번호2019057102520","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명순희희순 커피식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","5",NA,"엿기름","설탕","멥쌀","볶은커피분말","정제수",NA,"","","","원두커피분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3146","품목보고번호20060392223293","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명술고래 김과장의 비밀 골드","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","정제수","식물혼합추출물","액상과당","미네랄혼합제제","구연산(결정)","허브향","","식물혼합추출물NP-60","","HMCL-C","","","7","8","9","10",NA,NA,NA,"안식향산나트륨","비타민C","비타민B2","효소처리스테비아",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3145","품목보고번호1997046417236","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명술고래 김과정의 비밀","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","히솝엑기스","오리나무농축액","액상과당","구연산삼나트륨","비타민B2","허브향",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","헛개나무열매","농축액","감초엑기스","구연산","효소처리스테비아","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3144","품목보고번호20110149027398","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명술깨고 파워업","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","청포도농축액","혼합추출농축액","L-아르지닌","오르니틴염산염","로커스트콩검","잔탄검","","주당화추출농축액","","","","","7","8","9","10",NA,NA,NA,"분말한천(고시형)","타마린드검","카라기난","청포도향",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3143","품목보고번호20120567001296","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명술깨용 워터씽","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","정제수","액상과당","프락토올리고당","헛개나무농축액","타우린","녹용추출액","","","","","","","7","8","9","10","11","12","13","사과농축액","구연산(무수)","울금추출물분말","밀크씨슬추출물분말","벌꿀향","황금추출물","구연산삼나트륨","","","","","","복합황금추출물","",NA,NA,NA,NA,NA,NA
"9","번호3142","품목보고번호201305730533","업소명울진군산림조합","품목유형혼합음료","유통/소비기한1년","제품명술술풀어","분류식품","업체명","울진군산림조합","소재지","경상북도 울진군 울진읍 울진북로 779-23","1","2","3","4","5","6","정제수","구주소나무잎","칡뿌리","헛개나무열매","헛개나무줄기","건조대추",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,NA,"효소처리스테비아","배농축액","타우린","구연산","자일리톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3141","품목보고번호19970378043650","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명숨클린","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","5","6","액상차","자일리톨","액상차","타우린","홍삼농축액","액상차","발효3종복합농축액","","신초본혼합농축액","","","진생베리농축액","7","8","9","10","11","12","13","구연산(무수)","효소처리스테비아","l-멘톨","글루콘산아연","녹차추출물","비타민B1염산염","니코틴산아미드","무수구연산","","","","녹차추출물분말","","","14","15","비타민B6염산염","비타민B2","",""
