"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19"
"1","번호3123","품목보고번호20130628019106","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스누피워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3122","품목보고번호19920624042760","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명스마일 골드키위","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","백설탕","과.채가공품","","골드키위퓨레","3","4","5","6","7","8","9","골드키위향","구연산","비타민C","천연카로틴","펙틴","수크랄로스","정제수","HF-AF17348","","","#2 YC-180001","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3121","품목보고번호201005430661033","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스마일 블랙자두","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","구연산","자두농축액","구연산삼나트륨","녹차농축액","적양배추색소","덱스트린","치자청색소","","미국산, 배합함량 : 자두100%","","국산, 고형분 60% 이상","","","","10","11","12","13","14","코치닐추출색소","수크랄로스","메타인산나트륨","효소처리루틴","향료","","감미료","","","자두향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3120","품목보고번호20110445029135","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명스마일 블랙자두","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","정제수","백설탕","","","3","4","5","6","7","8","9","구연산","자두농축액","구연산삼나트륨","녹차농축액","혼합제제","혼합제제","수크랄로스","함수구연산","미국산 70bx'","","국산 68bx'","퍼플칼라 AF6","블랙칼라 AF1","","10","11","12","13",NA,"메타인산나트륨","루틴","향료","향료",NA,"","알파지 루틴 피에스","자두향 HF-BA60347","자두향 HF-BA67818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3119","품목보고번호19920624042759","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명스마일 애플망고","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","백설탕","과.채가공품","","애플망고퓨레","3","4","5","6","7","8","9","구연산","애플망고향","구연산삼나트륨","비타민C","천연카로틴","수크랄로스","아세설팜칼륨","","HF-AG14228","","","#2 YC-180001","","","10",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3118","품목보고번호20100543066912","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스마일애플망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","과.채가공품","구연산","구연산삼나트륨","비타민C","카로틴","수크랄로스","아세설팜칼륨","애플망고퓨레/애플망고100%/대만산","","","","","감미료","감미료","10",NA,NA,NA,NA,"합성향료",NA,NA,NA,NA,"애플망고향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3117","품목보고번호20100543066287","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한pet,병 : 24개월, 캔 : 36개월","제품명스마트알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라잎(껍질제외)","액상과당",NA,NA,"3","4","5","6","7","8","9","구연산","구연산삼나트륨","수크랄로스","효소처리스테비아","젤란검","젖산칼슘","알로에향",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3116","품목보고번호20130415052150","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명스몰윈도우 마시는 엘라스틴콜라겐","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","자작나무수액","생선콜라겐","유기농자작나무수액","피쉬콜라겐","3","4","5","6","7","8","9","석류농축액","용설란시럽","이소말토올리고당","레몬농축액","레드비트농축액","구연산","석류향","","유기농아가베시럽","","","","","합성향료","10","11","12","13","14","가수분해가다랑어단백질","구연산삼나트륨","황금혼합추출물","효소처리스테비아","히알루론산(고시형)","가다랑어엘라스틴펩타이드","","","","","15","비타민C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3115","품목보고번호20100543066490","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET, CAN : 24개월","제품명스무디 레드","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","액상과당","","","3","4","5","6","7","8","9","백설탕","딸기농축액","레드자몽농축액","망고퓌레","샤베트믹스","탈지분유","두류가공품","","딸기과즙으로 4%","자몽과즙으로 5%","망고과즙으로 1%","요구르트베이스","","대두다당류","10","11","12","13","14","카르복시메틸셀룰로오스나트륨","구연산","구연산삼나트륨","정제소금","효소처리루틴","CMC","","","","","15","혼합제제류","비타프로 CEC","16","17","18","19","자당지방산에스테르","식용색소적색제40호","식용색소황색제5호","합성착향료","모노에스테르P","합성착색료","합성착색료",""
"10","번호3114","품목보고번호20100543066495","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET, CAN : 24개월","제품명스무디 옐로우","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","액상과당","","","3","4","5","6","7","8","9","백설탕","파인애플농축액","백포도농축액","망고퓌레","샤베트믹스","탈지분유","두류가공품","","파인애플과즙으로 6%","포도과즙으로 8%","망고과즙으로 1%","요구르트베이스","","대두다당류","10","11","12","13","14","카르복시메틸셀룰로오스나트륨","구연산","구연산삼나트륨","정제소금","효소처리루틴","CMC","","","","","15","혼합제제류","비타프로CEC","16","17","18","19","자당지방산에스테르","식용색소적색제40호","식용색소황색제4호","합성착향료","모노에스테르P","합성칙색료","합성착색료",""
