"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16"
"1","번호3043","품목보고번호19890445014879","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명시원차","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","대나무잎추출물","난소화성말토덱스트린(고시형)","합성향료","천연향료","정제수","대나무동결건조물","","대나무향","천연대나무향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3042","품목보고번호20060392223148","업소명네오팜","품목유형혼합음료","유통/소비기한24월","제품명시원한 쾌앤변","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","식물혼합추출물","석류농축액","농축사과과즙","포도농축액","D-소르비톨액",NA,NA,NA,NA,NA,"6","7","8","9","10","11","락툴로스","구연산","폴리덱스트로스","난소화성말토덱스트린(고시형)","청사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3041","품목보고번호200904400684","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월(실온)","제품명시원한친구","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","정제수","기타과당","설탕","포도당","카라기난",NA,NA,NA,NA,NA,"6","7","8","9","10",NA,"사과향","DL-사과산","농축사과과즙","안식향산나트륨","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3040","품목보고번호20100614388560","업소명(주)천호엔케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명시원함을 가득 담은 수박스무디","분류식품","업체명","(주)천호엔케어","소재지","경상남도 양산시 그린공단1길 27(매곡동)","1","2","3","4","5","정제수","설탕","덱스트린","기타과당","수박농축액","","","네오화이바","","","6","7","8","9","10","11","수박향","구연산","혼합제제","잔탄검","홍국색소","수크랄로스","","","엠아이에스(MIS)-56350","","홍국적색소","","12","13","비타민C","혼합제제","","비타민B믹스DS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3039","품목보고번호19860443015350","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명시카콜라겐","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","정제수","자일리톨","생선콜라겐","올리고당","블루베리농축액","","","피쉬콜라겐, 피쉬콜라겐펩타이드","프락토올리고당","","6","7","8","9","10","11","병풀추출","합성향료","구연산","히알루론산혼합제제","구연산삼나트륨","황금혼합추출물","병풀추출물분말, 병풀추출분말","블루베리향","무수구연산","","","","12","13","잔탄검","합성향료","","사과향","14","15","16","효소처리스테비아","비타민C","알로에베라겔농축분말","","","알로에베라겔 200:1 분말, 알로에베라겔분말"
"6","번호3038","품목보고번호20060445110571","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명시크릿 아르지닌 3300","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","정제수","L-아르지닌","구연산","프락토올리고당","망고농축액","","","","","","6","7","8","9","10","11","애플망고향","세부원재료","옥수수수염추출분말","효소처리스테비아","과.채가공품","사과농축액","","패션후르츠농축액","옥수수수염추출물분말","","베지주스","","12","13","믹스후르츠향","마카추출분말","","마카추출물분말","14","15","16","서양호박농축분말","산화아연","황금혼합추출물","단호박농축분말","",""
"7","번호3037","품목보고번호20110618121182","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터1년까지","제품명시크릿 워터","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","정제수","배농축액","오미자농축액","레몬농축액","구기자농축액","","","","","","6","7","8","9",NA,NA,"기타소금","히비스커스추출농축액","자색고구마색소","산삼배양근농축액",NA,NA,"죽염","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3036","품목보고번호19860443015351","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월","제품명시크릿 콜라겐 3000(Secret Collagen 3000)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","정제수","자일리톨","생선콜라겐","기타과당","에리스리톨","","","피쉬콜라겐, 피쉬콜라겐리치분말","액상과당","","6","7","8","9","10","11","세븐베리농축액","블루베리농축액","구연산","믹스베리향","황금혼합추출물","구연산삼나트륨","","","무수구연산","함성향료","복합황금추출물","","12","13","히알루론산혼합제제","비타민C","","","14",NA,NA,"비오틴 혼합분말",NA,NA,"혼합제제",NA,NA
"9","번호3035","품목보고번호20150403012162","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명시크릿쥬쥬 사과","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","사과농축액","홍삼농축액","백설탕","구연산","젖산칼슘","","","","","","6","7","8","9","10","11","수크랄로스","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","사과향","정제수","","","","","사과향엠에프","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3034","품목보고번호198506140552944","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 15개월 까지","제품명시크릿쥬쥬 사과","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","과.채가공품","홍삼농축액","백설탕","구연산","젖산칼슘","사과농축액","","","","","6","7","8","9","10","11","수크랄로스","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","혼합제제","정제수","","","","","사과향엠에프-120446","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
