"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","성분 및 원료5","비고5"
"1","번호3013","품목보고번호201904103991","업소명설악만복식혜","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 6개월","제품명식혜","분류식품","업체명","설악만복식혜","소재지","강원도 속초시 청호로 113(청호동)","1","2","3","4","설탕","엿기름","찹쌀","정제수",NA,NA,NA,NA,NA,NA,NA
"2","번호3012","품목보고번호201506251042","업소명영농조합법인 새싹","품목유형혼합음료","유통/소비기한3개월","제품명식혜","분류식품","업체명","영농조합법인 새싹","소재지","경상남도 합천군 삼가면 하판1길 9-18","1","2","3","4","엿기름","쌀","설탕","정제수","자가생산 엿기름","국산","","",NA,NA,NA
"3","번호3011","품목보고번호20020512164265","업소명(주)예다손 나주공장","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명식혜","분류식품","업체명","(주)예다손 나주공장","소재지","전라남도 나주시 세지면 동창로 37(113-1,3,4,5,  362-21,2층)","1","2","3","4","정제수","멥쌀","생강","설탕","","국산","","","5","엿기름","{대맥70%(국산), 소맥30%(미국산)"
"4","번호3010","품목보고번호2014039506615","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장 60일, 냉동 1년","제품명식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","멥쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA
"5","번호3009","품목보고번호201805270591","업소명맛뜨락 영농조합법인","품목유형혼합음료","유통/소비기한100일","제품명식혜","분류식품","업체명","맛뜨락 영농조합법인","소재지","전라남도 해남군 옥천면 해강로 306","1","2","3","4","쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA
"6","번호3008","품목보고번호19960375213168","업소명우수농산식품","품목유형혼합음료","유통/소비기한제조일로부터 150일","제품명식혜","분류식품","업체명","우수농산식품","소재지","경기도 여주시 흥천면 신율로 319-15","1","2","3",NA,"건조쌀","엿기름","정제수",NA,"백미","","",NA,NA,NA,NA
"7","번호3007","품목보고번호2010020800694","업소명경복식품","품목유형혼합음료","유통/소비기한제조일로부터 15일(0~10℃ 냉장보관)","제품명식혜","분류식품","업체명","경복식품","소재지","인천광역시 서구 소담로 37(1층 금곡동)","1","2","3","4","정제수","설탕","멥쌀","엿기름",NA,NA,NA,NA,NA,NA,NA
"8","번호3006","품목보고번호2021023066961","업소명정가손 미쓰라반찬","품목유형혼합음료","유통/소비기한제조일로부터 14일","제품명식혜","분류식품","업체명","정가손 미쓰라반찬","소재지","광주광역시 광산구 풍영로145번길 106(2층 흑석동)","1","2","3","4","엿기름","정제수","설탕","멥쌀",NA,NA,NA,NA,NA,NA,NA
"9","번호3005","품목보고번호202208601641","업소명사천당","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명식혜","분류식품","업체명","사천당","소재지","경상남도 사천시 사남면 진삼로 1222(102호)","1","2","3","4","엿기름","설탕","쌀","정제수",NA,NA,NA,NA,NA,NA,NA
"10","번호3004","품목보고번호2019037817863","업소명농업회사법인엘리트농부(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명식혜","분류식품","업체명","농업회사법인엘리트농부(주)","소재지","경기도 김포시 월곶면 김포대로2970번길 41(1층)","1","2","3","4","정제수","설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA
