"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호2963","품목보고번호20190413079113","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명십이품초","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","발효식초","에리스리톨","포도농축액","올리고당","구연산","합성향료","수크랄로스","정제수","","","칠레산","","","포도향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2962","품목보고번호19890445014385","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한3월","제품명십장생혼합추출액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","십장생혼합추출액대추","참당귀","지황포제가공한뿌리","천궁","감초","계피","황기","영지버섯",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","창출","작약","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2961","품목보고번호20180389742147","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명십전보양대보진액","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","5","6","7","8","대보추출액","액상과당","이소말토올리고당","카라멜색소","카복시메틸셀룰로스나트륨","구연산","익모초농축액","허브향","대보추출진액 (고형분 3.2%)","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2960","품목보고번호19710570001411","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명싱그러운 생 식혜","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5",NA,NA,NA,"엿기름추출액","멥쌀","정제수","백설탕","생강엑기스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2959","품목보고번호198506140551793","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월(실온보관)","제품명싱그러운 햅쌀","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","쌀추출액","백설탕","식물성크림","자몽종자추출물","구연산","글리신","폼크린 200","비타민C","","","","","","","","","9","10","11","정세수","덱스트린","식품첨가물혼합제제","","","볶은쌀향 #1","12","13","곡류가공품","식품첨가물혼합제제","현미농축액","에프에이에이(FAA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2958","품목보고번호20020383603600","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명싱싱모닝","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","밀크씨슬추출물","배농축액","도라지농축액","갈락토올리고당","헛개나무열매추출농축액","사양벌꿀","L-아르지닌","타우린","","","","","","","","","9","10","11","비타민C","마카추출분말","DL-사과산","","","","12","13","니코틴산아미드","황금혼합추출물","","복합황금추출물","14","15","16","17","18","19","20","수크랄로스","L-아스파트산","화분추출물분말","비타민B2인산에스테르나트륨","비타민B1염산염","기타가공품","정제수","","","화분추출분말","","","실크펩타이드",""
"7","번호2957","품목보고번호20140512224581","업소명주)짱죽","품목유형혼합음료","유통/소비기한12개월","제품명쌀눈식혜","분류식품","업체명","주)짱죽","소재지","전라남도 나주시 동수농공단지길 62-215(운곡동)","1","2","3","4","5","6",NA,NA,"정제수","백설탕","엿기름","쌀","현미","쌀눈",NA,NA,"","","","유기농","유기농녹토미","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2956","품목보고번호20140512224723","업소명주)짱죽","품목유형혼합음료","유통/소비기한12개월","제품명쌀눈식혜(냉동)","분류식품","업체명","주)짱죽","소재지","전라남도 나주시 동수농공단지길 62-215(운곡동)","1","2","3","4","5","6",NA,NA,"정제수","백설탕","엿기름","쌀","현미","쌀눈",NA,NA,"","","","유기농","유기농녹토미","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2955","품목보고번호20140512224661","업소명주)짱죽","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쌀눈식혜(실온)","분류식품","업체명","주)짱죽","소재지","전라남도 나주시 동수농공단지길 62-215(운곡동)","1","2","3","4","5","6",NA,NA,"정제수","백설탕","엿기름","쌀","현미","쌀눈",NA,NA,"","","","유기농","유기농녹토미","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2954","품목보고번호20140512224728","업소명주)짱죽","품목유형혼합음료","유통/소비기한10개월","제품명쌀눈톡톡 단호박식혜","분류식품","업체명","주)짱죽","소재지","전라남도 나주시 동수농공단지길 62-215(운곡동)","1","2","3","4","5","6","7",NA,"정제수","서양호박","백설탕","엿기름","쌀","녹미","쌀눈",NA,"","무농약 단호박","","유기농엿기름가루","유기농 백미","유기농 녹토미","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
