"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고17","비고18","비고19","번호20","성분 및 원료20","비고20"
"1","번호2903","품목보고번호1993062500611","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명씨없는 수박","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","액상과당","수박과즙","딸기농축과즙","비나민C","산타로이드","구연산","구연산삼나트륨","DL-사과산","녹차추출물 고형물","레드칼라-씨에이","혼합과일향","수박향","체리향","레몬향","메론향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2902","품목보고번호2004036419915","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명씨에이수","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"산화칼슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2901","품목보고번호20030467180141","업소명(주)대화바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명씨엔 슬리미(CN SLIMI)","분류식품","업체명","(주)대화바이오","소재지","충청남도 금산군 진산면 진산로 569","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","발효식초","산호분말","구연산(무수)","비타민 D3 혼합제제분말","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","산호칼슘","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2900","품목보고번호2018062221536","업소명(재)제주테크노파크용암해수센터","품목유형혼합음료","유통/소비기한12개월","제품명씬바이옴 제주 콜라겐 워터 300","분류식품","업체명","(재)제주테크노파크용암해수센터","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","생선콜라겐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"염지하수(용암해수)","피쉬콜라겐(프랑스)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2899","품목보고번호1989044501495","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명아가리쿠스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"아가리쿠스버섯추출액","영지추출액","당귀추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2898","품목보고번호20020623009909","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아기공룡둘리 딸기","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","딸기농축액","기타과당","설탕","혼합분유","대두식이섬유","구연산","구연산삼나트륨","비타민B1염산염","비타민D3혼합제제","펙틴","젖산칼슘","효소처리스테비아","수크랄로스","정제소금","자당지방산에스테르","딸기향","65Brix","","","혼합탈지분유","대두화이바","산도조절제","산도조절제","영양강화제","영양강화제","","영양강화제","스테비안50","합성감미료","","모노에스터-P(유화제)","합성향료(S050805)","17","18","19","딸기향","시트러스믹스향","정제수","합성향료(KBR120656)","합성향료(SF-28836)","",NA,NA,NA
"7","번호2897","품목보고번호20020623009911","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아기공룡둘리 블루베리","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","블루베리농축액","포도농축액","기타과당","설탕","혼합분유","대두식이섬유","구연산","구연산삼나트륨","비타민B1염산염","비타민D3혼합제제","펙틴","젖산칼슘","효소처리스테비아","수크랄로스","정제소금","자당지방산에스테르","65Brix","65Brix","","","혼합탈지분유","대두화이바","산도조절제","산도조절제","영양강화제","영양강화제","","영양강화제","스테비안50","합성감미료","","모노에스터-P(유화제)","17","18","19","블루베리향","포도향","시트러스믹스향","합성향료","합성향료","합성향료","20","정제수",""
"8","번호2896","품목보고번호20020623009910","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아기공룡둘리 사과","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","과.채가공품","기타과당","설탕","혼합분유","대두식이섬유","구연산","비타민B1염산염","비타민D3혼합제제","구연산삼나트륨","펙틴","젖산칼슘","효소처리스테비아","수크랄로스","정제소금","자당지방산에스테르","사과향","사과농축과즙(72Brix)","","","혼합탈지분유","대두화이바","산도조절제","영양강화제","영양강화제","산도조절제","","영양강화제","스테비안50","합성감미료","","모노에스터-P(유화제)","합성향료(1810487)","17",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA
"9","번호2895","품목보고번호20100358426157","업소명(주)그린바이오","품목유형혼합음료","유통/소비기한24개월","제품명아담과 이브 석류콜라겐 골드","분류식품","업체명","(주)그린바이오","소재지","경기도 이천시 부발중앙로 201-19(외 1필지)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"정제수","기타과당","석류농축액","덱스트린","구연산","비타민C","사과농축액","합성향료","기타가공품","콜라겐",NA,NA,NA,NA,NA,NA,"","","","액상","","","","석류향","복합허브추출물C","피쉬콜라겐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2894","품목보고번호20080395120411","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아데스 아몬드 오리지널","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"정제수","설탕","땅콩 또는 견과류가공품","혼합제제","혼합제제","혼합제제","스테비올배당체","혼합제제","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,"","","아몬드 페이스트(아몬드 100%)","아데스 아몬드 원제 제1A부","아데스 아몬드 원제 제1C부","아데스 아몬드 원제 제1D부","","드라이비타민E 아세테이트 50% 함유제제","아데스 아몬드 오리지널 원제 제2A부","아데스 아몬드 오리지널 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
