"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14"
"1","번호2833","품목보고번호1985044900195","업소명삼육식품","품목유형혼합음료","유통/소비기한제조일로부터 6 개월","제품명36 아몬드 (오리지널)","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2","3","4","5","6","7","8","9","10","11","혼합음료","자당지방산에스테르","설탕","탄산칼슘","정제소금","카라기난","식품첨가물","향료","향료","향료","정제수","아몬드액","","","","","","겔코겔 LT-100(젤란검)","아몬드향 FAC-31637","아몬드향 FAC-30871","아몬드향 FAC-30832","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2832","품목보고번호20070464094466","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드 라떼","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","우유","설탕","혼합분유","에스프레소커피추출액","아몬드페이스트","당류가공품","탄산수소나트륨","아몬드향","밀크향","커피향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","가공유크림",NA,NA,NA,NA,NA,NA,NA
"3","번호2831","품목보고번호202002801476","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명아몬드 말차라떼","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","아몬드","캐슈견과","설탕","정제소금","젤란검","로커스트빈검","구연산칼륨","레시틴","녹차가루","유산균","","미국산","미얀마,베트남","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2830","품목보고번호202002801474","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명아몬드 쇼콜라","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","아몬드","캐슈견과","설탕","코코아분말","레시틴","정제소금","구연산칼륨","젤란검","로커스트빈검","유산균","","미국산","미얀마,베트남","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2829","품목보고번호202002801472","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명아몬드 슈가프리","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","아몬드","캐슈견과","에리스리톨","정제소금","레시틴","구연산칼륨","젤란검","로커스트빈검","유산균","바닐라빈","","미국산","미얀마,베트남","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2828","품목보고번호202002801477","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명아몬드 쑥","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","아몬드","캐슈견과","설탕","정제소금","젤란검","로커스트빈검","구연산칼륨","레시틴","쑥가루","유산균","","미국산","미얀마,베트남","","","","","","","국내산100%","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2827","품목보고번호202002801473","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명아몬드 오리지널","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","캐슈견과","아몬드","설탕","바닐라빈","유산균","구연산칼륨","로커스트빈검","젤란검","레시틴","정제소금","","베트남,미얀마","미국산","","","","","","","해바라기","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2826","품목보고번호19930461022277","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명아몬드 음료","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7",NA,NA,NA,NA,"혼합음료","정제수","설탕","탄산칼슘혼합제제","정제소금","비타민E혼합제제분말","합성향료",NA,NA,NA,NA,"아몬드액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2825","품목보고번호2020028014727","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명아몬드 제로슈가","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","아몬드","캐슈견과","유산균","기타가공품","현미유","바닐라빈","구연산칼륨","로커스트빈검","젤란검","레시틴","","미국산","베트남,미얀마","","비타믹스D[덱스트린,유산균발효분말,산도조절제,영양강화제,혼합제제{비타민C,비타민E혼합제제(DL-a-토코페릴아세테이트,변성전분,덱스트린,이산화규소","국산","","","","","해바라기","12","정제소금","","13","14","알룰로오스","효소처리스테비아","중국산",""
"10","번호2824","품목보고번호202002801478","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명아몬드 흑임자","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11","정제수","아몬드","캐슈견과","설탕","정제소금","젤란검","로커스트빈검","구연산칼륨","레시틴","검정깨(흑임자)","유산균","","미국산","미얀마,베트남","","","","","","","중국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA
