"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고17","비고18","비고19","비고20","비고21","비고22","번호23","성분 및 원료23","비고23"
"1","번호2783","품목보고번호20040275056904","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명아미노썬업(AMINO SUN UP)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","혼합제제","유자농축액","구연산","레몬농축액","라즈베리농축액","식품첨가물혼합제제","효소처리스테비아","비타민C","글루콘산아연","혼합제제","구연산삼나트륨","γ-시클로덱스트린","수크랄로스","L-카르니틴","식품첨가물혼합제제","","","","","","","드링크향","","","","비타민B복합물","","","","","비타민미네랄믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2782","품목보고번호20000614238329","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아미노에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","과.채가공품","설탕","포도당","구연산","비타민C","구연산삼나트륨","DL-사과산","정제소금","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","자몽향","자몽향","식용색소황색제4호","정제수","열대혼합과일농축액","","함수결정포도당","함수구연산","","","","","","","아미노믹스","화이트크라우디제이","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2781","품목보고번호20080181270125","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월(2년)","제품명아미노에이드","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","실크펩타이드","자일리톨","아로니아농축액","구연산(무수)","인산","젤란검","수크랄로스","골든시럽","결정과당","에리스리톨","규소수지혼합제제","폴리덱스트로스","황금복합추출물","합성착향료","합성착향료","정제수","농축액","","","","","","","","","","폼크린200","2040","","애플오렌지향","석류향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2780","품목보고번호20100543066983","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명아미노화이버 제로슈가","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","난소화성말토덱스트린(고시형)","에리스리톨","비타민C","합성향료","구연산","L-아르지닌","L-알라닌","스테비올배당체","구연산삼나트륨","혼합제제","카로틴","니코틴산아미드","감귤추출물","비타민E혼합제제","염화마그네슘","","국산/식이섬유85%","","","오렌지향","","","","","","BCAA혼합제제(L-이소로이신, L-발린, L-로이신)","","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","","17","18","19","20","21","22","판토텐산칼슘","비타민B6염산염","비타민D3혼합제제","글루콘산아연","구연산칼륨","비타민B12","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","","","",NA,NA,NA
"5","번호2779","품목보고번호20100543066902","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아미노화이버드링크","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"정제수","난소화성말토덱스트린(고시형)","합성향료","비타민C","L-아르지닌","L-알라닌","구연산","DL-사과산","스테비올배당체","구연산삼나트륨","카로틴","감귤추출물","L-글루타민",NA,NA,NA,"","식이섬유85%, 국산","오렌지향","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2778","품목보고번호201103585302","업소명고려제약(주)","품목유형혼합음료","유통/소비기한24개월","제품명아미비타액","분류식품","업체명","고려제약(주)","소재지","경기도 이천시 신둔면 원적로 69-10(C동 2~3층, D동, H동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","비타민B12","엽산","만니톨","스테아린산마그네슘","이산화규소","L-글루타민","L-트레오닌","L-페닐알라닌","L-발린","L-메티오닌","L-로이신","L-이소로이신","L-라이신염산염","설탕","D-소비톨액","효소처리스테비아","","","","","고결방지제로써 사용","","","","","","","","","","","","17","18","19","20","21","22","수크랄로스","구연산","구연산삼나트륨","안식향산나트륨","바나나향","파인애플향","","함수구연산","","안식향산나트륨의 분자량(144.11g/mol)과 안식향산(122.12g/mol)의 분자량을 통해 계산했을때안식향산으로서 0.05698% (0.5","B-12015","77-BH","23","정제수",""
"7","번호2777","품목보고번호202004915411","업소명(주)이노웨이 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아미카도 프로","분류식품","업체명","(주)이노웨이 익산공장","소재지","전라북도 익산시 왕궁면 동촌제길 110(식품벤처센터 F156)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"정제수","단백질(고시형)","에리스리톨","아보카도오일","분말유크림","구연산","STEVIOSIDE 스테비오사이드","레시틴","잔탄검","자몽종자추출물","바나나향","바닐라향","수크랄로스",NA,NA,NA,"","닭가슴살초고압가수분해물","감미료","","","산도조절제","감미료","유화제","점도조절제","","","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2776","품목보고번호19970464172170","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아미큐-B","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"아미노믹스","액상과당","백설탕","구연산","구연산삼나트륨","코치닐추출색소","효소처리스테비아","천연착향료(Lime)","정제수","포도당","니코틴산아미드","비타민B1염산염","비타민B6염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2775","품목보고번호19990555093410","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명아미큐-B","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"정제수","기타과당","백설탕","아미노산혼합제제","구연산","구연산삼나트륨","코치닐추출색소","효소처리스테비아","천연향료","포도당","니코틴산아미드","혼합허브추출물","비타민B1염산염","비타민B6염산염",NA,NA,"","고과당","","10종","","구연산나트륨","","","라임향","함수결정포도당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2774","품목보고번호2008056300424","업소명의성내고향흑마늘","품목유형혼합음료","유통/소비기한제조일부터 2년","제품명아사이베리","분류식품","업체명","의성내고향흑마늘","소재지","경상북도 의성군 봉양면 경북대로 4901-4","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"아사이베리혼합농축액","블루베리향","비타민C","백설탕","구연산","정제수","과.채가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,"아사이베리진액, 아사이팜열매농축액, 아로니아열매농축액, 포도열매농축액, 딸기열매농축액","","","","","","사과농축과즙 국산 72Brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
