"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호2603","품목보고번호20100543066802","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명알로에망고맛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","알로에베라겔즙","백설탕","과.채가공품","구연산","젖산칼슘","합성향료","비타민C","젤란검","혼합제제","구연산삼나트륨","수크랄로스","기타과당","적양배추색소","","태국산/알로에베라주스 54.9%, 알로에베라 45%, 구연산 0.1%","","알로에베라겔파우더, 멕시코산, 알로에로 환산시 15%","","","망고향","","","글리세린, 글리세린지방산에스테르, 정제수, 베타카로틴, 비타민 E","","감미료","",""
"2","번호2602","품목보고번호20070464094155","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에바인 구아바맛(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"알로에베라겔크러쉬","백설탕","액상과당","구연산","구연산삼나트륨","비타민C","젖산칼슘","젤란검","레드칼라","수용성 베타카로틴","구아바향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2601","품목보고번호20070464094145","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에바인 망고맛(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"알로에베라겔크러쉬","백설탕","액상과당","구연산","구연산삼나트륨","비타민C","젖산칼슘","젤란검","시크러스향","망고향1","정제수","베타카로틴혼합제제",NA,NA,"","","","","","","","","","","","수용성베타카로틴",NA,NA
"4","번호2600","품목보고번호20070464094147","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에바인 오리지날(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"알로에베라겔크러쉬","백설탕","액상과당","구연산","구연산삼나트륨","비타민C","젖산칼슘","젤란검","알로에향1","알로에향2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2599","품목보고번호20070464094149","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에바인 코코넛맛(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"알로에베라겔크러쉬","백설탕","구연산","구연산삼나트륨","비타민C","젖산칼슘","젤란검","코코넛향","정제수","나한과추출물","코코넛향",NA,NA,NA,"","","","","","","","","","","코코넛향2",NA,NA,NA
"6","번호2598","품목보고번호1986044301556","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에베라 에너지 드링크(ALOE VERA ENERGY DRINK)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"알로에베라겔추출물","알로에잎","잔탄검","수크랄로스","나한과추출물분말","아스파탐","구연산","안식향산나트륨","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2597","품목보고번호1986044301593","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명알로에베라겔","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"알로에베라겔분말","사과청징농축액","프락토올리고당","나한과농축액","잔탄검","한천분말","식물성유산균","황금복합추출물","구연산","비타민C","리치향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2596","품목보고번호1986044301592","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명알로에베라겔플러스","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"아로에베라겔분말","사과청징농축액","프락토올리고당","나한과농축액","잔탄검","한천분말","식물성유산균","소르빈산칼륨","구연산","비타민C","리치향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2595","품목보고번호19860443015120","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한2년,실온","제품명알로에베라겔플러스뷰티(Aloe vera gel plus+ beauty)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라겔분말","석류통축액","자일리톨","시클로덱스트린","히알루론산","나노콜라겐","엘라스틴펩타이드","프락토올리고당 10","잔탄검","소르빈산칼륨","석류향","구연산","홍사탕무분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2594","품목보고번호19860443015121","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한2년,실온","제품명알로에베라겔플러스비타(Aloe vera gel plus+ vita)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"알로에베라겔분말","비타민B2","비타민 B6(고시형)","비타민C","카페인","타우린","결정과당","자일리톨","아라비아검","소르빈산칼륨","천연혼합과일향","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
