"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호2474","품목보고번호19810227007369","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월 (실온보관)","제품명어메이징 오트 바리스타","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","곡류가공품","정제수","프락토올리고당","폴리덱스트로스","채종유(유채유 또는 카놀라유)","탄산칼슘","제이인산칼륨","식염","레시틴","오트원액(오트 고형분 10% 이상)","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2473","품목보고번호19810227007511","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명어메이징 오트 언스위트","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8",NA,"곡류가공품","정제수","탄산칼슘","고올레산해바라기유","식염","제이인산칼륨","레시틴","합성향료",NA,"오트원액","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2472","품목보고번호19810227007510","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명어메이징 오트 오리지널","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","곡류가공품","정제수","프락토올리고당","고올레산해바라기유","탄산칼슘","식염","제이인산칼륨","레시틴","합성향료","오트원액","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2471","품목보고번호201801541014","업소명함께크는식품협동조합","품목유형혼합음료","유통/소비기한제조일로부터 90일","제품명어제 달렸으니까 꿀꺽","분류식품","업체명","함께크는식품협동조합","소재지","부산광역시 북구 만덕3로16번길 1(부산이노비즈센터 2층 204호 만덕동)","1","2",NA,NA,NA,NA,NA,NA,NA,"벌꿀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2470","품목보고번호2019055911425","업소명농업회사법인 주식회사 내츄럴엔","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명어차피바나나주웁","분류식품","업체명","농업회사법인 주식회사 내츄럴엔","소재지","경상북도 영천시 금호읍 금창로 208-60","1","2","3","4","5","6","7","8","9","혼합음료","당류가공품","타우린","바나나향","L-아르지닌","비타민C","차전자피식이섬유(고시형)","마카농축액","옥타코사놀(고시형)","바나나농축과즙액","아우노슈가","","","","","차전자피분말","","","10","11","12","13","14","15","오자농축분말","마늘추출물분말","산화아연","기타가공품","남가새추출분말","다미아나잎추출분말","","","","효소처리아르지닌분말","트리뷸러스추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2469","품목보고번호20000614238283","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명얼그레이홍차","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8",NA,"식물성추출액","홍차분말","덱스트린","비타민C","식품첨가물혼합제제","홍차향","베르가못향","정제수",NA,"얼그레이홍차추출액","홍차100%, 칠레산","말토덱스트린","","실리콘소포제(혼합제제식품첨가물)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2468","품목보고번호20060396013114","업소명주식회사 대웅생명과학","품목유형혼합음료","유통/소비기한15개월","제품명얼려먹는 비타 500","분류식품","업체명","주식회사 대웅생명과학","소재지","강원도 영월군 북면 밤재로 425","1","2","3","4","5","6","7","8","9","정제수","덱스트린","기타과당","농축사과과즙","비타민C","기타가공품","자일리톨","구연산","드링크향","","말토덱스트린","","당도 72brix 이상","","케이디SW[말토덱스트린, 펙틴, 잔탄검, 로스트콩검,카라기난  합계 100 %]","","","","10","11","12","13","14","15","재제소금(재제조소금)","효소처리스테비아","니코틴산아미드","판토텐산칼슘","용성비타민P","구연산삼나트륨","","","","","","","16","17","18","19","20","21","22","23","젖산","타우린","DL-사과산","기타가공품","히알루론산혼합제제","비타민B2","감초추출물","기타올리고당","","","","오렌지추출물[오렌지농축과즙액, 시트로후레쉬농축액 합계 100%]","히알루론산-KD[히알루론산, 덱스트린 합계 100%]","","","아이스올리고"
"8","번호2467","품목보고번호20020183282977","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명얼려먹는 아이스꿀배","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","배청징농축과즙","벌꿀시럽","기타과당","구연산","구연산삼나트륨","덱스트린","혼합제제","효소처리루틴","혼합제제","","","","","","","","","","10","11","12",NA,NA,NA,"합성향료","합성향료","정제수",NA,NA,NA,"배향1","배향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2466","품목보고번호20060464002346","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명얼박","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","8","9","사과농축액","과라나추출물분말","황금추출물","설탕","기타과당","구연산(무수)","타우린","이노시톨","니코틴산아미드","","","복합황금추출물","","","","","","","10","11","12","13","14","15","비타민 B1질산염(고시형)","비타민B2인산에스테르나트륨","비타민B6염산염","효소처리스테비아","정제소금","드링크향","","","","","","22101143","16","17","18",NA,NA,NA,NA,NA,"정제수","DL-사과산","드링크향",NA,NA,NA,NA,NA,"","","22101131",NA,NA,NA,NA,NA
"10","번호2465","품목보고번호19890445014438","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명얼음꽁공","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","액상과당","구연산","정제염","글리신","아스파탐","니코틴산","염화마그네슘","비타민B6염산염","비타민B1염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11",NA,NA,NA,NA,"복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
