"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고26","비고27","비고28","비고29","비고30","비고31"
"1","번호2364","품목보고번호20110084489388","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엑스트라 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","L-아르지닌","구연산","Red grape농축액","레몬농축액","블루베리주스농축액","효소처리스테비아","비타민C","혼합제제","타우린","천연향료","혼합제제","기타가공품","혼합제제","글루콘산아연","엽산","","","함수구연산","적포도주스농축액","","","","","","","천연레몬향","","복합황금추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2363","품목보고번호1986044301545","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명엑스트라 팩(X-tra Packet)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","크렌베리농축쥬스","체리농축쥬스","포도농축쥬스","블루베리농축쥬스","D-소르비톨","녹차추출물분말(고시형)","티베탄진생","유니베스틴","오르니틴알파케토글루타레이트","동충하초추출분말","액티브알로에","나한과추출물분말","은행잎추출물분말","멕셀","수크랄로스","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","18","19","20","21","22","23","24","25","비타민b3","니코틴산아미드","비타민 B6(고시형)","안식향산나트륨","소르빈산칼륨","알파리포익엑기스","홍사탕무농축액","갈산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2362","품목보고번호19860443015119","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한2년,실온","제품명엑스트라미이니(Xtra mini)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","크랜베리농축쥬스","체리농축쥬스","포도농축쥬스","블루베리농축쥬스","수크랄로스","구연산","솔비톨70","홍사탕무농축쥬스","안식향산나트륨","소르빈산칼륨","아쉬와간다","녹차추출물-내수용","유니베스틴","은행잎추출물분말","비타민b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","18","19","20","21",NA,NA,NA,NA,"니코틴산아미드","비타민 B6(고시형)","알파리포익에시드","가시오갈피추출물","인삼추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2361","품목보고번호19860443015135","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한25개월 실온","제품명엑스트리아 100엠엘(Xtria 100mL)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","알파","리포익","애시드","알로에베라분말","구연산","안식향산나트륨","소르빈산칼륨","은행잎추출물분말","니코틴산아미드","녹차추출물분말(고시형)","멕셀","피","상","포스페이트","블루베리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","18","19","20","21","22","23","24","25","덩굴월귤농축액","체리농축액","포도농축액","유니베스틴","니코틴산","티베탄진생","오리니틴알파케토글루타레이트","옥수수","출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","27","28","29","30","31","홍사탕무농축액","D-소르비톨","동충하초추출물분말","나한과추출물분말","수크랄로스","갈산",NA,NA,NA,NA,NA,NA
"5","번호2360","품목보고번호19860443015134","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한25개월 실온","제품명엑스트리아 887엠엘(Xtria 887mL)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","알파","리포익","애시드","은행잎추출물분말","옥수수","출물","멕셀","녹차추출물분말(고시형)","티베탄진생","유니베스틴","오리니틴알파케토글루타레이트","나한과추출물분말","동충하초추출물분말","알로에베라분말","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","18","19","20","21","22","23","24","25","구연산","안식향산나트륨","소르빈산칼륨","D-소르비톨","포도농축액","체리농축액","덩굴월귤농축액","블루베리농축액","니코틴산",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","27","28","29",NA,NA,"니코틴산아미드","피리독살-5-포스페이트","홍사탕무농축액","갈산",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2359","품목보고번호19890528010121","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명엑시트","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","설탕","올리고당","배농축과즙","구연산","기타가공품","밀크씨슬추출물","울금추출물분말","단풍당시럽","효모추출분말","심황색소","벌꿀향","드링크향","효소처리스테비아","비타민 C(고시형)","오리나무농축액","","","","Brix 72%","","미배아발효추출액(Brix 30%)","밀크씨슬추출물에스","","Brix 65%","글루타치온 8% 함유","커큐민","","","","","Brix 60%","17","18",NA,NA,NA,NA,NA,NA,NA,"헛개나무열매농축액","비타민B6염산염혼합제제",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2358","품목보고번호19890445014265","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명엑틴V","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"마늘농축액","복분자농축액","액상과당","구연산","참당귀","감초","사철쑥","카라멜","영지버섯","과라나추출물분말","안식향산나트륨","비타민C","구연산삼나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2357","품목보고번호20110084489466","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엔닷바이오 슈링톡","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"정제수","자일리톨","배청징농축과즙","프락토올리고당","호박농축액","레몬농축액","대추야자농축액","구연산","식물혼합농축액","호박농축분말","생선콜라겐펩타이드","병풀잎추출물분말","기타가공품","효소처리스테비아","히비스커스추출물분말",NA,"","","","","유기농호박쥬스농축액","","","함수구연산","","","저분자피쉬콜라겐펩타이드","병풀추출분말","복합황금추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2356","품목보고번호19890445014628","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명3엔드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"레몬농축액","정제수","복령","출물","액상과당","백설탕","합성감미료","구연산","합성착색소","합성착향료","합성보존료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2355","품목보고번호2013061247330","업소명주식회사 엔알바이오텍","품목유형혼합음료","유통/소비기한1년 4개월","제품명엔알-디(NR-D)","분류식품","업체명","주식회사 엔알바이오텍","소재지","경상남도 거제시 둔덕면 죽전길 310-1(1층)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,"지황추출물","백작약추출액","천궁추출액","참당귀뿌리추출물","발효식초","자일리톨","화학적합성품","태움용융소금",NA,NA,NA,NA,NA,NA,NA,NA,"정제수99.75%, 지황0.25%","정제수99.75%, 백작약0.25%","정제수99.75%,천궁0.25%","정제수99.75%, 참당귀뿌리0.25%","아로니아 발효식초","","CT-CCP50(산호칼슘파우더)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
