"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고18","비고19","비고20","비고21","비고22"
"1","번호2184","품목보고번호20110441029127","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 녹용활력보","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","녹용농축액","구기자농축액","천궁농축액","참당귀농축액","감초농축액","헛개나무농축액","기타과당","구연산","구연산삼나트륨","타우린","효소처리스테비아","비타민B2","니코틴산아미드","카라멜색소","허브향","안식향산나트륨","정제수","고형분35%이상(40Brix이상)","수입산","수입산","수입산","수입산","수입산","","","","","","","","","합성착향료","합성보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2183","품목보고번호20110441029132","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 대추골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"대추농축액","사과농축액","기타과당","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","카라멜색소","안식향산나트륨","비타민B2","글리신","L-글루탐산나트륨","대추향","정제수",NA,NA,NA,"고형분50%,국내산","72Brix,국산","","","","","","","합성보존료","","","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2182","품목보고번호20110441029116","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 복분자골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"사과농축액","복분자농축액","액상과당","구연산","구연산삼나트륨","수크랄로스","사카린나트륨","안식향산나트륨","레드칼라","복분자향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2181","품목보고번호20110441029117","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 불루베리","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"사과농축액","블루베리농축액","액상과당","구연산","구연산삼나트륨","수크랄로스","사카린나트륨","안식향산나트륨","레드칼라","블루베리향","타우린","비타민B1염산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2180","품목보고번호20110441029118","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 비타C골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"사과농축액","타우린","액상과당","구연산","구연산삼나트륨","비타민B2","수크랄로스","안식향산나트륨","비타민C","비타민B1염산염","비타민B6염산염","사카린나트륨","정제수","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2179","품목보고번호20110441029119","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 산삼배양근","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","홍삼엑기스","산삼배양근농축액","대추농축액","영지버섯추출농축액","도라지농축액","천궁농축액","구기자농축액","더덕농축액","사과농축액","계피농축액","액상과당","구연산","구연산삼나트륨","백설탕","니코틴산아미드","식염","카르복시메틸셀룰로오스","국산","국산","국산","수입산","국산","수입산","수입산","수입산","국산","수입산","","","","","","","","18","19","20","21","22","말토덱스트린혼합제제","카라멜색소","안식향산나트륨","허브향","정제수","","","합성보존료","합성착향료",""
"7","번호2178","품목보고번호20110441029126","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 생강 쌍화","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","쌍화농축액","천궁농축액","생강농축액","홍삼농축액","참당귀농축액","계피농축액","기타과당","효소처리스테비아","구연산삼나트륨","구연산","사양벌꿀","카라멜색소","정제소금","안식향산나트륨","니코틴산아미드","정제수","쌍화향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2177","품목보고번호20110441029120","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 쌍화","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"쌍화농축액","천궁농축액","대추농축액","액상과당","안식향산나트륨","구연산삼나트륨","구연산","수크랄로스","사카린나트륨","카라멜색소","쌍화향","생강향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2176","품목보고번호201104410299","업소명명성제약식품","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명오스틴 쌍화골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"쌍화농축액","액상과당","천궁엑기스","구연산","구연산삼나트륨","카라멜색소","안식향산나트륨","쌍화향","식염","사카린나트륨","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2175","품목보고번호20110441029122","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명오스틴 제황골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","벌꿀","대추농축액","숙지황등혼합농축액","구기자농축액","계피농축액","도라지농축액","천궁농축액","영지농축액","인삼농축액","액상과당","구연산삼나트륨","구연산","효소처리스테비아","비타민B2","카라멜색소","니코틴산아미드","글리신","국산","수입산","수입산","수입산","수입산","국산","수입산","수입산","국산","","","","","","","","","18","19","20","21",NA,"카르복시메틸셀룰로오스","안식향산나트륨","파인향","정제수",NA,"","합성보존료","합성착향료","",NA
