"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17"
"1","번호1913","품목보고번호2012057308047","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명유리안","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1912","품목보고번호20140443099416","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명유산균 에이드","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","11","12","탈지분유","기타가공품","구연산","혼합제제","덱스트린","구연산삼나트륨","두류가공품","혼합제제","수크랄로스","글루콘산아연","","요구르트베이스","함수구연산","요구르트향","말토덱스트린","","수용성대두다당류","요구르트향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1911","품목보고번호20170614111244","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명유산균발효노니","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","노니원액","프락토올리고당(고시형)","발효노니원액(고형분4%,노니원액,유산균)","","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"사양벌꿀","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1910","품목보고번호2014047801718","업소명이고장식품","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명유산균으로 숙성한 밥알건진 복분자식혜","분류식품","업체명","이고장식품","소재지","전라북도 전주시 완산구 고사평7길 17(서신동)","1","2","정제수","Lactobacillus plantarum분말","","0.1g","3","4","5","6",NA,NA,NA,NA,NA,NA,"쌀","엿기름","설탕","복분자추출액",NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1909","품목보고번호2014047801717","업소명이고장식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명유산균으로 숙성한 밥알건진 약도라지식혜","분류식품","업체명","이고장식품","소재지","전라북도 전주시 완산구 고사평7길 17(서신동)","1","2","엿기름","도라지","","","3","4","5","6","7",NA,NA,NA,NA,NA,"설탕","생강","정제수","쌀","Lactobacillus plantarum",NA,NA,NA,NA,NA,"","","","","0.1g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1908","품목보고번호19960375213183","업소명우수농산식품","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명유산균흑임자블랙푸드 혼합음료","분류식품","업체명","우수농산식품","소재지","경기도 여주시 흥천면 신율로 319-15","1","2","기타가공품","자일리톨",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1907","품목보고번호2013037221954","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명유씨에스피미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","천연첨가물","탄산칼륨(무수)","아마란스,차가버섯자실체추출물,보검선인장추출액,쇠뜨기추출물","","3","4","5","6","7",NA,NA,NA,NA,NA,"염화칼륨","탄산나트륨","이산화규소","백설탕","정제수",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1906","품목보고번호20000614238345","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유어스 골드키위에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","과.채가공품","기타가공품","골드키위농축액","크리스탈펄","3","4","5","6","7","8","9","10","11","12","기타과당","설탕","DL-사과산","비타민C","잔탄검","수크랄로스","아세설팜칼륨","안식향산나트륨","혼합제제","골드키위향","","","","","","","","","정제수,규소수지,유화제1,유화제2,CMC","SK-1907024","13","14","15","16","청포도향","식용색소황색제4호","식용색소황색제5호","정제수","J9695","","","",NA,NA,NA
"9","번호1905","품목보고번호20000614238344","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유어스 망고머스캣에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","망고농축액","과.채가공품","","머스캣포도주스농축액","3","4","5","6","7","8","9","10","11","12","기타가공품","기타과당","설탕","DL-사과산","비타민C","잔탄검","수크랄로스","아세설팜칼륨","안식향산나트륨","혼합제제","크리스탈펄","","","","","","","","","정제수,규소수지,글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","13","14","15","16","망고향","청포도향","식용색소황색제4호","식용색소황색제5호","SK-B4992","J9695","","","17","정제수",""
"10","번호1904","품목보고번호1987055800390","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한해당없음.","제품명유어스 복숭아 망고 콤부차","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","정제수","합성향료","","망고향 SF-31791","3","4","5","6","7","8","9","10","11","12","혼합제제","효소처리스테비아","혼합제제","수크랄로스","식품첨가물","구연산삼나트륨","과.채가공품류","과.채가공품류","식품첨가물","에리스리톨","복숭아향 HF-317565","레바텐프리미엄","레드파우더 YC-180006","감미료","아세설팜칼륨 (감미료)","","복숭아농축액(68'BX) 이스라엘산","망고농축액(60'BX) 이스라엘산","함수구연산","","13",NA,NA,NA,"기타발효음료",NA,NA,NA,"콤부차발효액(1.5'BX)",NA,NA,NA,NA,NA,NA
