"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고16","비고17","비고18","비고19","비고20"
"1","번호1693","품목보고번호19970464172144","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명일화비타씨","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","비타민C","비타민B1염산염","비타민B2","니코틴산아미드","비타민B6염산염","판토텐산칼슘","타우린","농축사과과즙","벌꿀","백설탕","구연산","구연산삼나트륨","믹스후루츠향","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1692","품목보고번호19970464172208","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명일화비타씨 프리미엄","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"비타민C","비타민B2","니코틴산아미드","비타민B6염산염","타우린","농축사과과즙","백설탕","구연산","구연산삼나트륨","효소처리스테비아","정제수","파인애플향","사과향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1691","품목보고번호19970464172120","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명일화진황보","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","홍삼농축액","구기자농축액","가시오갈피농축액","산수유농축액","복분자농축액","오미자농축액","매실농축액","액상과당","구연산","구연산삼나트륨","타우린","효소처리스테비아","황금복합추출물","잔탄검","이노시톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","17","18","19","20","카라멜색소","인삼가수분해물","가시오가피향","인삼향","정제수",NA,NA,NA,NA,NA
"4","번호1690","품목보고번호19970464172166","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명일화헛개울금","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","액상과당","헛개나무농축액","대추농축액","감초농축액","칡꽃농축액","울금추출분말","사철쑥농축액","구연산","구연산삼나트륨","비타민C","사양벌꿀","L-아스파라긴","타우린","카라멜색소","허브향","기타과당","","","","","","","","","","","","","","","16",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"5","번호1689","품목보고번호19800415004112","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 1년 6개월.","제품명일화활력비타","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","비타민C","비타민B1염산염","비타민B2","니코틴산아미드","비타민B6염산염","판토텐산칼슘","타우린0","사과즙","벌꿀","백설탕","구연산","구연산삼나트륨","믹스후르츠향","오렌지향","정제수","","","","","","","","사과농축과즙1.112","","","","","","","정제수84.8472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1688","품목보고번호19970368029377","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명임금님표 전통식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타 농산가공품","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","엿기름추출액","","이천쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1687","품목보고번호201905710253","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터120일","제품명임순희식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","멥쌀","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1686","품목보고번호201905710256","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한영하18도이하 냉동보관","제품명임순희전통식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1685","품목보고번호20110618121277","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명입맛도는 매실차","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"정제수","매실농축액","프락토올리고당","백설탕","사과농축액","구연산(무수)","비타민C","천연사과향","청사과향",NA,NA,NA,NA,NA,NA,"","유기농매실농축액[60Brix]","유기농프락토올리고당","유기농백설탕","유기농사과농축액[72Brix]","","","","천연청사과향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1684","품목보고번호2002056303834","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명입안가득행복한식혜","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","겉보리엿기름","설탕","DL-사과산","데스판-100","가드엠53-(신","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
