"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호1663","품목보고번호19950433026548","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명자몽 블렌디드티","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","홍차분말","자몽농축액","백설탕","구연산","비타민C혼합제제","자몽향","홍차향","정제수","","","","구연산함수","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1662","품목보고번호201005430661015","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자몽 아이스티 제로","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","정제수","에리스리톨","구연산","레드자몽농축액","홍차추출분말","혼합제제","혼합제제","구연산삼나트륨","","","","이스라엘산/배합함량:레드자몽100%","칠레산/고형분 함량 97.7%","합성향료,천연향료","주정,천연향료,합성향료,글리세린","","9","10","11","비타민C","수크랄로스","스테비올배당체","","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1661","품목보고번호20070464094390","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자몽 허니 블랙티","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","정제수","설탕","구연산","홍차추출분말","자몽농축액","곡류가공품","합성향료","벌꿀","","","무수구연산","","","맥아추출물","자몽향","","9",NA,NA,"비타민C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1660","품목보고번호20020623009695","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자몽꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","자몽농축과즙","사양벌꿀","백설탕","구연산","혼합제제","수크랄로스","효소처리루틴","허니향","64brix","","","함수, 산도조절제","레드파우더(적양배추색소, 코치닐색소, 덱스트린)","합성감미료","","합성착향료","9","10",NA,"자몽향","정제수",NA,"합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1659","품목보고번호20000614238331","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자몽머스캣에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","포도주스농축액","자몽농축액","과.채가공품","포도당","설탕","수크랄로스","아세설팜칼륨","구연산","머스캣포도주스농축액","자몽과즙농축액","나타드코코","함수결정포도당","","","","함수구연산","9","10","11","구연산삼나트륨","비타민C","자몽향","","","","12","13","14","15","16","17","자몽향","청포도향","식용색소적색제40호","식용색소황색제4호","안식향산나트륨","정제수","","","","","",""
"6","번호1658","품목보고번호2010018127977","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18 개월","제품명자몽블랙티 제로","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","정제수","홍차추출분말","자몽농축액","에리스리톨","구연산","수크랄로스","아세설팜칼륨","정제소금","","","","","함수","","","","9","10","11","자몽향","자몽향","홍차향","22084126","F-22834","22088052","12",NA,NA,NA,NA,NA,"식용색소적색제40호",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"7","번호1657","품목보고번호20090473152591","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명자몽블랙티제로","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","정제수","에리스리톨","자몽농축액","구연산","향료","향료","향료","홍차추출분말","","","","함수구연산","자몽향 (F-22834)","자몽향 (22084126)","홍차향 (22088052)","","9","10","11","수크랄로스","아세설팜칼륨","정제소금","","","","12",NA,NA,NA,NA,NA,"식용색소적색제40호",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"8","번호1656","품목보고번호2022078026613","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자몽블랙티제로","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4","5","6","7","8","자몽농축액","홍차추출분말","구연산","에리스리톨","정제소금","수크랄로스","아세설팜칼륨","자몽향","","","","","","","","자몽향1","9","10","11","자몽향","홍차향","식용색소적색제40호","자몽향2","","","12",NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"9","번호1655","품목보고번호2017055519578","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자몽블랙티제로","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","정제수","에리스리톨","구연산","자몽향","자몽향","홍차향","홍차추출분말","수크랄로스","","","함수구연산","합성향료A","합성향료B","합성향료C","칠레산","","9","10","11","아세설팜칼륨","자몽농축액","정제소금","","이스라엘산","","12",NA,NA,NA,NA,NA,"식용색소적색제40호",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"10","번호1654","품목보고번호19930571069403","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자몽아이스티","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","레드자몽농축액","홍차추출분말","설탕","구연산","비타민C","자몽향","자몽향","홍차향","","","","함수","","","","","9",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
