"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호...12","성분 및 원료","비고","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호1443","품목보고번호19890445014140","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명제일기력천","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","눈꽃동충하초추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1442","품목보고번호19890445014257","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명제일비타민C","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21",NA,NA,NA,"1","2","3","4","5","6","7","8","비타민C","액상과당","농축사과과즙","드링크향","안식향산나트륨","스테비올배당체","타우린","글리신",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1441","품목보고번호19890445014276","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명제일쌍화","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21",NA,NA,NA,"1","2","3","4","5","6",NA,NA,"인동추출액","액상과당","정제염","구연산","글리신","카라멜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1440","품목보고번호20030415157535","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명제일포텐 6000 아르기닌","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)",NA,NA,NA,"1","2","3","4","5","6","7","8","정제수","L-아르지닌","구연산(무수)","프락토올리고당","파인애플농축액","용설란시럽","자일리톨혼합제제","열대과일향","","","","","","아가베시럽","","트로피칼믹스향","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","타우린","효소처리스테비아","산화아연(고시형)","잔탄검","황금혼합추출물","카라멜색소 Ⅳ","수크랄로스","비오틴(고시형)","비타민 C(고시형)","비타민 D2(고시형)","비타민 B6(고시형)","비타민 B1(고시형)","비타민 B2(고시형)","아미노산혼합분말","건조수박열매껍질","","","","","복합황금추출물","","","비오틴혼합제제","","건조효모(비타민D2)","비타민B6염산염","비타민B1질산염","","","수박과피추출물분말"
"5","번호1439","품목보고번호20090242118207","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주 감귤 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)",NA,NA,NA,"1","2","3","4","5","6",NA,NA,"정제수","설탕","엿기름","쌀","과.채가공품","건생강",NA,NA,"","","","","감귤농축과즙액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1438","품목보고번호20130415052227","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명제주 감귤 콜라겐","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216",NA,NA,NA,"1","2","3","4","5","6","7","8","정제수","감귤농축액","생선콜라겐가수분해분말","프락토올리고당","비타민C","천연감귤향","히알루론산","엘라스틴가수분해물","","유기농감귤농축액","가수분해피쉬콜라겐","헬로네이처 유기농프락토올리고당","ASCORBIC ACID","F21-0721","","PROLASTIN","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"토마토농축추출물분말","한라봉농축액","콜라비농축액","당근농축액","우유단백질",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"화이트 토마토 농축 추출 분말","제주한라봉농축액","제주콜라비농축액","제주당근농축액HR","우유단백질농축(밀크세라마이드)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1437","품목보고번호2018062221555","업소명(재)제주테크노파크용암해수센터","품목유형혼합음료","유통/소비기한12개월","제품명제주 마시는 당밸런스","분류식품","업체명","(재)제주테크노파크용암해수센터","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19",NA,NA,NA,"1","2","3",NA,NA,NA,NA,NA,"정제수","난소화성말토덱스트린(고시형)","홍삼농축액(고시형)",NA,NA,NA,NA,NA,"염지하수: 용암해수","","발효홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1436","품목보고번호20090242118208","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주 말밥 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)",NA,NA,NA,"1","2","3","4","5","6","7",NA,"정제수","설탕","엿기름","쌀","과.채가공품","건생강","당근",NA,"","","","","당근혼탁농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1435","품목보고번호2013062801984","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주 청광수","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)",NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1434","품목보고번호2013062801977","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주 트루워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)",NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,"정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
