"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15","번호16","성분 및 원료16","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호1353","품목보고번호20180491044182","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명죠스바 에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","오렌지농축액","구연산","구연산삼나트륨","비타민C","잔탄검","수크랄로스","치자청색소","자주색고구마색소","시트러스향","오렌지향","딸기향","","","","구연산(결정)/산도조절제","용도:산도조절제","","","용도:감미료","용도:착색료","용도:착색료","#1","#6","#1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1352","품목보고번호2022068312563","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명죠스쿨","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9","10","11","12","13","설탕","탈지분유","두류가공품","발효유분말","펙틴","구연산삼나트륨","수크랄로스","구연산","복숭아농축액","혼합제제","식용색소황색제4호","식용색소적색제40호","향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1351","품목보고번호200706062948","업소명주식회사올유사천와룡수","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명(주)올유사천와룡수","분류식품","업체명","주식회사올유사천와룡수","소재지","경상남도 사천시 용현면 진삼로 864-34","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1350","품목보고번호19930571069544","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명(주)코리아 헬스) 코리아헬스 인삼수","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인삼농축액","인삼열매추출농축액","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분 60%이상","고형분 30% 이상","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1349","품목보고번호2019040221418","업소명성이바이오(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명주당간편(酒當簡便)","분류식품","업체명","성이바이오(주)","소재지","강원도 원주시 지정면 지래울로 184(성이바이오주)","1","2","3","4","5","6","7","8","9","10","11","12","13","멀꿀열매","홍삼농축액","헛개나무열매농축액","칡농축액","비타민미네랄혼합제제","오렌지농축액","사과농축액","자일리톨","구연산(무수)","맥아추출액","효소처리스테비아","감귤농축액","정제수","멀꿀열매추출농축액","","","","","","","","","","","","","14","15","잔탄검","프락토올리고당","","","16","천연오렌지향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1348","품목보고번호2022049500138","업소명(주)한미양행 선유공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명주당간편(酒當簡便)","분류식품","업체명","(주)한미양행 선유공장","소재지","경기도 파주시 파주읍 돈유2로 100","1","2","3","4","5","6","7","8","9","10","11","12","13","기타 농산가공품","올리고당","과.채가공품","과.채가공품","자일리톨","과.채가공품","향료","효소처리스테비아","구아검","기타가공품","홍삼농축액(고시형)","기타가공품","자몽종자추출물","멀꿀열매농축액","프락토올리고당","사과농축액","감귤농축액","","오렌지농축액","오렌지향분말","","","보리농축액","","헛개나무열매추출분말","","14","15","혼합제제","구연산(무수)","비타민무기질혼합제제","","16","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1347","품목보고번호19970464172555","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명주당비책","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","기타과당","사양벌꿀","말토덱스트린혼합제제","배농축액","칡뿌리농축액","사철쑥농축액","헛개나무열매농축액","구기자농축액","녹차추출물분말가루","심황색소","삽주농축액","귤껍질농축액","복령농축액","","","난소화성말토덱스트린","","갈근농축액","","","","","수용성커큐민","","","","14","15","생강농축액","감초농축액","","","16","과라나추출물분말","","17","18","19","20","21","22","23","24","25","타우린","L-아스파트산","L-아르지닌","구연산","구연산삼나트륨","효소처리스테비아","수크랄로스","레몬라임향","정제수","","","","","","","","",""
"8","번호1346","품목보고번호20040275056565","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명주대리","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","액상차","정제수","액상과당","백설탕","자일리톨","레몬농축액","구연산(무수)","오렌지향","파인애플향","구연산삼나트륨","기타가공품","시클로덱스트린","망고농축퓌레","제이비비20농축액","","고과당","정백당","","","","","","","복합황금추출물","네오덱스-G","망고농축퓨레",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1345","품목보고번호2013055814414","업소명농업회사법인 문경미소 주식회사","품목유형혼합음료","유통/소비기한1년","제품명주스토피아젤리키키포포","분류식품","업체명","농업회사법인 문경미소 주식회사","소재지","경상북도 문경시 산양면 산동로 597","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","청포도농축액","액상과당","키위농축액","에리스리톨","혼합제제","청포도향","키위향","비타민C","수크랄로스",NA,NA,NA,"","","","","","검믹스","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1344","품목보고번호2013055814415","업소명농업회사법인 문경미소 주식회사","품목유형혼합음료","유통/소비기한1년","제품명주스토피아젤리포블포블","분류식품","업체명","농업회사법인 문경미소 주식회사","소재지","경상북도 문경시 산양면 산동로 597","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"정제수","포도농축액","액상과당","에리스리톨","블루베리농축액","혼합제제","비타민C","블루베리향","수크랄로스",NA,NA,NA,NA,"","적포도","","","","검믹스","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
