"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호1333","품목보고번호20130358242371","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명즐거움에 관하여_활력","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","정제수","L-아르지닌","구연산(무수)","과.채가공품","시클로덱스트린시럽","블루베리향","효소처리스테비아","","","","세븐베리혼합농축액","","천연향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1332","품목보고번호2016049217213","업소명주식회사 네츄럴그린","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명지리산 진 흑염소","분류식품","업체명","주식회사 네츄럴그린","소재지","전라북도 남원시 시묘길 89-17(노암동)","1","2","3","4",NA,NA,NA,"흑염소혼합추출액","프락토올리고당","구연산","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1331","품목보고번호20170614111434","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월이내","제품명지리산 토종 흑염소진액","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","흑염소추출액","소나무잎추출액","대추추출액","호박추출액","사철쑥","흑마늘","홍삼","","솔잎추출액","","","인진쑥","","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","작약뿌리","복분자","헛개나무열매","지황","계피","감초","익모초지상부","생강","황기","참당귀","천궁뿌리줄기","프락토올리고당","물엿","카라멜색소","카복시메틸셀룰로스나트륨","구연산","작약","","지구자","숙지황","","","익모초","","","당귀","천궁","","저당","","",""
"4","번호1330","품목보고번호2020044271643","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명지세븐(Ge7)","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5","6","7","기타가공품","기타가공품","과.채가공품","과.채가공품","결정과당","트레할로스","구연산","피쉬스케일콜라겐","오가피혼합농축액(50brix)","농축백포도주스","다크스위트체리농축액","","","","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산삼나트륨","비타민C","혼합과일향","카로틴색소","덱스트린","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산나트륨","","합성향료","","","보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1329","품목보고번호201101820852","업소명나노라이프","품목유형혼합음료","유통/소비기한1년(실온)","제품명지키미","분류식품","업체명","나노라이프","소재지","대구광역시 달서구 비슬로542길 46(1층 대곡동)","1","2",NA,NA,NA,NA,NA,"정제수","융융염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1328","품목보고번호201303684541","업소명주식회사 와이앤킴","품목유형혼합음료","유통/소비기한1년(실온) 소비기한 1개월","제품명지파워","분류식품","업체명","주식회사 와이앤킴","소재지","경기도 광주시 초월읍 동막골길 243-9","1","2","3",NA,NA,NA,NA,"먹는샘물","비타민C","음료류",NA,NA,NA,NA,"","","미네랄솔루션(MINERAL WATER 95% 구연산 3.5% DL-사과산 1.5%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1327","품목보고번호1999061119335","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명진간보","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","헛개나무열매추출물","맥문동추출물","감초추출액","대추추출액","구연산삼나트륨","타우린","니코틴산아미드","5.8브릭스, 국산","5.8브릭스, 국산","5.8브릭스, 우즈베키스탄산","5.8브릭스, 국산","산도조절제","향미증진제","산도조절제","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,"DL-사과산","비타민C","허브향","안식향산나트륨","카라멜액","정제수","백설탕","구연산",NA,NA,NA,NA,NA,NA,NA,NA,"","","착향료","합성보존료","","","","산도조절제",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1326","품목보고번호19890445014220","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명진기원","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2",NA,NA,NA,NA,NA,"노루궁뎅이버섯추출액","차가버섯추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1325","품목보고번호202105210654","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명진당초","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2","3","4","5","6","7","정제수","감초","뚱딴지분말","쇠비름농축액","셀레늄(고시형)","야콘분말","뽕나무어린가지",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1324","품목보고번호199704641722","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진매실","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","액상과당","매실농축액","효소처리스테비아","매실향","농축사과과즙","구연산","카라멜색소",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
