"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호1283","품목보고번호1971061800192","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명착한 생강청 수정과","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5","정제수","통계피","생강청","생강","갈색설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1282","품목보고번호1971061800193","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명착한 생강청 찰식혜","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5","정제수","엿기름","생강청","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1281","품목보고번호1971061800194","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명착한 찹쌀 단호박식혜","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5","정제수","서양호박","엿기름","설탕","찹쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1280","품목보고번호19960443047102","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명착한습관 문경오미자","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4","5","오미자추출액","프락토올리고당","구연산(무수)","비타민 C 분말","콜라겐","","","","","저분자피쉬콜라겐","6","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1279","품목보고번호200604671145","업소명주식회사 현가","품목유형혼합음료","유통/소비기한냉장보관 15일","제품명착한식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5","엿기름","쌀","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1278","품목보고번호2001052700333","업소명옥당골장류사업단영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 3개월(냉장)","제품명찰보리 단호박 감주차","분류식품","업체명","옥당골장류사업단영농조합법인","소재지","전라남도 영광군 영대로5길 41-17","1","2","3","4","5","찰보리","호박","엿기름","정제수","설탕","","단호박","찰보리엿기름","","황설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1277","품목보고번호20110527046153","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명찰보리 전통식혜(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,"설탕","엿기름","찰보리쌀","정제수",NA,"","엿기름분말,국산","국산(영광산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1276","품목보고번호2011052704622","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명찰보리쌀 냉식혜(냉동)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,"백설탕","엿기름","찰보리쌀","정제수",NA,"","국산","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1275","품목보고번호20170614111410","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명참 좋은 홍삼석류스틱","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4",NA,"석류착즙액","식물혼합농축액","홍삼농축액","당류가공품",NA,"석류100%","대추(국내산),갈근(국내산),구절초(국내산),감초,사철쑥,익모초,당귀,숙지황,약쑥,천궁,작약,삽주,황기,복령,영지)","고형분60%,사포닌함량 70mg/g, 홍삼(국산)","저감미당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1274","품목보고번호19860443015336","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명참 콜라겐 프리미엄","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","히알루론산","비타민B6염산염","정제수","생선콜라겐","자일리톨","","","","피쉬콜라겐, 피쉬콜라겐펩타이드, 마린콜라겐 펩타이드","","6","레몬농축액","","7","8","9","10","11","12","13","14","15","16","17","18","19","합성향료","구연산","석류농축액","황금혼합추출물","효소처리스테비아","N-아세틸글루코사민","엘라스틴가수분해물","알로에베라겔농축분말","히비스커스추출물","야채혼합농축분말","프로테아제(식물성)","병풀추출","비타민C","레몬향","","","","","","","알로에베라겔분말, 알로에베라겔 200:1분말","","","브로멜린, 브로멜라인","병풀추출물분말",""
