"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호1273","품목보고번호20110149027245","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명참가네 ABC콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","과채주스","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","사과당근비트혼합과즙액[63brix, 사과농축액(국산) 70%, 당근농축액(국산) 20%, 레드비트농축액(베트남산) 10%","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1272","품목보고번호1995061107385","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한24개월","제품명참꿀만난칡","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9","칡추출액","생강추출액","대추추출액","액상과당","벌꿀","구연산","비타민C","칡향","말토덱스트린",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","카라멜","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1271","품목보고번호19990555185100","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한3년","제품명참녹용보위골드","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3","4","5","6","7","8","9","녹용추출액","진피","칡뿌리","감초","참당귀","천궁","쑥","황기","지황","국산, 고형분0.2%","국산","","","","","인진쑥","","","10","11","용안육","오가피","","나무,국산","12","13","14","15","16","17","과당","작약","헛개나무열매","계피","정제수","올리고당","","","","","",""
"4","번호1270","품목보고번호20110493072275","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명참다래 입안후레쉬","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","정제수","자일리톨","레몬농축액","과.채가공품","비타민 C(고시형)","기타가공품","레몬향","구연산","정제소금","","","이스라엘산","참다래분말","","황금추출분말","합성향료","","","10","11","구연산삼나트륨","효소처리스테비아","","","12","13",NA,NA,NA,NA,"프로폴리스","천연향료(Menthol)",NA,NA,NA,NA,"","L-멘톨",NA,NA,NA,NA
"5","번호1269","품목보고번호20110149027259","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명참다운 석류콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","65 brix, 스페인산","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1268","품목보고번호20050355533195","업소명디웰푸드(DWell Food)","품목유형혼합음료","유통/소비기한36개월","제품명참다운석류","분류식품","업체명","디웰푸드(DWell Food)","소재지","경기도 파주시 평화로342번길 96(검산동,10동,11동,12동)","1","2","3","4","5",NA,NA,NA,NA,"석류농축액","백설탕","구연산","아로니아농축액","정제수",NA,NA,NA,NA,"65%이상 2.25brix","정백당","","6.5brix","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1267","품목보고번호20110149027228","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명참도래 퀸타트체리 저분자콜라겐 4000","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","체리농축액","생선콜라겐","레몬머틀잎추출액","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","타트체리농축액, 터키산","베트남산","레몬머틀혼합추출액(레몬머틀 20%, 맥문동 50%, 당귀 30%)","","","","","","","10",NA,"히알루론산",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1266","품목보고번호20040445073320","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 레몬녹차","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","백설탕","구연산","레몬농축액","녹차농축액","구연산삼나트륨","비타민C","정제소금","수크랄로스","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","레몬향","녹차향",NA,NA,"12",NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1265","품목보고번호20040445073226","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 망고","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","망고농축퓌레","액상과당","백설탕","덱스트린","효소처리스테비아","잔탄검","구연산","비타민C","치자황색소","","","정백당","제네덱스","","","","","","10","11","락색소","구연산삼나트륨","락색소 LA","구연산나트륨","12","13",NA,NA,NA,NA,"망고향","정제수",NA,NA,NA,NA,"","",NA,NA,NA,NA
"10","번호1264","품목보고번호201005430661096","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명참맑은 망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","설탕","망고농축퓌레","기타과당","덱스트린","향료","구연산","효소처리스테비아","잔탄검","","","망고퓨레 6%, 멕시코산","","","망고향","","","","10","11","비타민C","치자황색소","","","12","13",NA,NA,NA,NA,"구연산삼나트륨","락색소",NA,NA,NA,NA,"","",NA,NA,NA,NA
