"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호1213","품목보고번호200903303601","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한제조일로 부터 20일","제품명천마산식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 구리시 수택천로 62(수택동,주공상가 지하1층)","1","2","3","4","엿기름용액","쌀","설탕","아스파탐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1212","품목보고번호200903303603","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한155일","제품명천마산식혜 5L","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 구리시 수택천로 62(수택동,주공상가 지하1층)","1","2","3","4","엿기름","건조쌀","백설탕","수크랄로스","용해액(고형분3%,정제수97%)","","","합성감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1211","품목보고번호2007049601020","업소명무주군약초영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명천마콜린100","분류식품","업체명","무주군약초영농조합법인","소재지","전라북도 무주군 안성면 안성로 438","1","2","3","4","천마","오가피","참당귀","영지버섯","","","","","5","6","7","8","천궁","감초","잔탄검","말토덱스트린혼합제제","","","","말토덱스트린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1210","품목보고번호20180389742101","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명천마홍녹보","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","식물혼합추출액","홍삼추출액","천마추출액","녹용추출액","고형분 2.5%","홍삼성분 0.35, 고형분 0.3%","고형분 0.1%이상","고형분 0.025이상","5","6","7","8","액상과당","이소말토올리고당","카라멜색소","카복시메틸셀룰로스나트륨","","","","","9","10","11","12","익모초농축액","구연산","비타민C","합성향료","고형분 60%","","","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1209","품목보고번호2019048889131","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명천마홍녹보","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","식물혼합추출액","홍삼추출액","천마추출액","녹용추출액","고형분 2.5%","홍삼성분0.35,고형분0.3%","고형분0.1%이상","고형분0.025% 이상","5","6","7","8","액상과당","이소말토올리고당","카라멜색소","익모초농축액","","","","고형분60%","9","10","11","12","카복시메틸셀룰로스나트륨","구연산","비타민C","합성향료","","","","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1208","품목보고번호20080383904106","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명천보인 디(D)","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","인삼","액상과당","D-소르비톨","구연산","산양산삼","","","","5","6","7","8","DL-사과산","구연산삼나트륨","비타민B2","글리신","","","","","9","10","11",NA,"안식향산나트륨","백설탕","정제수",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1207","품목보고번호2020055928318","업소명농업회사법인(주)동서건강","품목유형혼합음료","유통/소비기한12개월","제품명천사수","분류식품","업체명","농업회사법인(주)동서건강","소재지","경상북도 영천시 한방로 269(주1동 작산동)","1","2",NA,NA,"정제수","발효인삼추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1206","품목보고번호19970464172341","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명천상보","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","기타과당","쌍화농축액","사철쑥농축액","감초농축액","","","인진쑥농축액","","5","6","7","8","지황농축액","복령농축액","인삼농축액","카라멜색소","숙지황농축액","","","","9","10","11","12","구연산","구연산삼나트륨","주정","효소처리스테비아","","","","","13","14","15","16","17","18","19","20","잔탄검","덱스트린","사양벌꿀","니코틴산아미드","타우린","비타민B1염산염","쌍화향","정제수","","말토덱스트린","","","","","",""
"9","번호1205","품목보고번호20140607614118","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명천종산삼배양근","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","산삼배양근추출액","홍삼농축액","대추농축액","영지농축액","(고형분 0.1%이상 국산)","(사포닌함량 70mg/g 이상 고형분60% 국산)","(고형분 60% 국산)","(고형분 60% 중국산)","5","6","7","8","숙지황등혼합농축액","감초농축액","계피농축액","참당귀농축액","(고형분60% 중국산)","(고형분60% 우즈베키스탄)","고형분 60% 베트남)","(고형분60% 중국산)","9","10","11","12","캬라멜색소","백설탕","구연산","합성착향료용액","","","","(허브향)","13","14",NA,NA,NA,NA,NA,NA,"안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA
"10","번호1204","품목보고번호2006046726516","업소명향토농산홍삼사업부","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명천종산삼배양근골드","분류식품","업체명","향토농산홍삼사업부","소재지","충청남도 금산군 제원면 송림길 166","1","2","3","4","산삼배양근추출액","산삼배양근생체","명품산삼배양근액정","상황버섯농축액",NA,NA,NA,NA,"5","6","7","8","영지농축액","비타민C","허브향","구연산",NA,NA,NA,NA,"9","10",NA,NA,"자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
