"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호...27","성분 및 원료","비고","번호6","번호7","번호8","번호9","번호10","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14"
"1","번호1127","품목보고번호2018049104436","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명총각네 카카오닙스 아몬드유","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","아몬드","당류가공품","해조칼슘","기타가공품","정제수","아몬드액","마스코바도","","카카오닙스분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1126","품목보고번호201205280134","업소명(주)우리물","품목유형혼합음료","유통/소비기한24개월","제품명축령산소수","분류식품","업체명","(주)우리물","소재지","전라남도 장성군 장성읍 단풍로 30","1","2",NA,NA,NA,"정제수","염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1125","품목보고번호201506021042","업소명용산농원","품목유형혼합음료","유통/소비기한24개월","제품명춘금 천연발효추출액","분류식품","업체명","용산농원","소재지","경상남도 진주시 대곡면 진의로 1053(대화맨숀동 상가 1층 2호)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","혼합음료","천연발효추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1124","품목보고번호19810308046224","업소명매일유업(주)평택공장","품목유형혼합음료","유통/소비기한제조일로부터 10주","제품명춘식이 청포도","분류식품","업체명","매일유업(주)평택공장","소재지","경기도 평택시 진위면 진위서로 63","1","2","3","4","5","정제수","백설탕","백포도농축액","펙틴","구연산","","정백당","","","",NA,NA,NA,"6","7","8","9","10","탈지분유","구연산삼나트륨","혼합제제","합성향료","합성향료","혼합탈지분유","구연산나트륨","토마틴, 효소처리스테비아, 덱스트린","청포도향","사과향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1123","품목보고번호2009049203044","업소명농업회사법인(주)꿈엔들잊힐리야","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명춘향골  식혜","분류식품","업체명","농업회사법인(주)꿈엔들잊힐리야","소재지","전라북도 남원시 덕과면 덕오로 265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","쌀","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1122","품목보고번호2009049203045","업소명농업회사법인(주)꿈엔들잊힐리야","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명춘향골  전통식혜","분류식품","업체명","농업회사법인(주)꿈엔들잊힐리야","소재지","전라북도 남원시 덕과면 덕오로 265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","쌀","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1121","품목보고번호2009049203042","업소명농업회사법인(주)꿈엔들잊힐리야","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명춘향골 얼음식혜","분류식품","업체명","농업회사법인(주)꿈엔들잊힐리야","소재지","전라북도 남원시 덕과면 덕오로 265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","쌀","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1120","품목보고번호19880442004111","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한12개월","제품명취감원","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","정제수","프락토올리고당","트로피칼후르츠농축액","대추엑기스","난소화성말토덱스트린(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,"6","7","8","9","10","아가베시럽","미배아대두발효추출액-낫또균","매실농축액","맥문동","허브농축액",NA,NA,NA,NA,NA,"11","12","13","14","수용성커큐민","표고버섯균사체배양물분말","칡농축엑기스","천연레몬라임향",NA,NA,NA,NA
"9","번호1119","품목보고번호2018049104498","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명치즈라떼","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","정제수","우유","백설탕","치즈분말베이스","치즈향","","","","","#2",NA,NA,NA,"6","7","8","9","10","자당지방산에스테르","자당지방산에스테르","정제소금","탄산수소나트륨","카라기난","S-570 / 자당에스테르 /유화제","P-1670 / 자당에스테르 / 유화제","","탄산수소Na(산도조절제)","유화제","11","12",NA,NA,"밀크향","식품첨가물혼합제제",NA,NA,"#1","소포제",NA,NA
"10","번호1118","품목보고번호2007044311067","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명치키 피치티","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","홍차추출액","복숭아농축액","백설탕","구연산","펙틴(YM-100H)","다즐링홍차추출액(고형부 0.58%이상, 인도산)","이스라엘산","","무수구연산","",NA,NA,NA,"6","7","8","9","10","구연산삼나트륨","카라멜색소","비타민C","홍차향","복숭아향","","(SLBO 750)","","(SK-89469)","(HF-313360)","11","12",NA,NA,"복숭아향","정제수",NA,NA,"(SWP-3733)","",NA,NA
