"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","성분 및 원료18","비고18","번호19","번호20","번호21","번호22","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고19","비고20","비고21","비고22"
"1","번호957","품목보고번호19950227050146","업소명(주)동원F&B","품목유형혼합음료","유통/소비기한1년(실온)","제품명쿨피스 복숭아맛","분류식품","업체명","(주)동원F&B","소재지","광주광역시 광산구 하남산단9번로 21(안청동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","액상과당","복숭아농축액","유산균배양액","카르복시메틸셀룰로오스나트륨","시트러스향","구연산(결정)","DL-사과산","복숭아향","복숭아향","비타민C","구연산삼나트륨","홍화황색소tn","혼합제제류","수크랄로스","혼합제제류","정제수","아세설팜칼륨","","","유산균시럽","","","","","1509030","160269","","","","적양배추색소","","폼제로","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호956","품목보고번호19890528010128","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한12개월","제품명쿨피스 복숭아맛","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","기타과당","복숭아농축액","유산균배양액","카르복시메틸셀룰로오스","시트러스향","DL-사과산","구연산","복숭아향","복숭아향","구연산삼나트륨","비타민C","홍화황색소","적양배추색소","식품첨가물혼합제제","수크랄로스","아세설팜칼륨","정제수","","","유산균시럽","","SKB-1115","","","1509030","160269","","","SY-25081","RC100L","폼제로 600F","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호955","품목보고번호19950227050147","업소명(주)동원F&B","품목유형혼합음료","유통/소비기한1년(실온)","제품명쿨피스 파인애플맛","분류식품","업체명","(주)동원F&B","소재지","광주광역시 광산구 하남산단9번로 21(안청동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"액상과당","파인애플농축액","유산균배양액","카르복시메틸셀룰로오스나트륨","DL-사과산","구연산","시트러스향","홍화황색소tn","파인애플향","아세설팜칼륨","비타민C","혼합제제류","수크랄로스","정제수",NA,NA,NA,"","","유산균시럽","","","함수구연산","","","","","","폼제로600F","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호954","품목보고번호19890528010140","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한12개월","제품명쿨피스 파인애플맛","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,"기타과당","파인애플농축액","유산균배양액","카복시메틸셀룰로스나트륨","시트러스향","DL-사과산","구연산","파인애플향","파인애플향","비타민C","홍화황색소","식품첨가물혼합제제","수크랄로스","아세설팜칼륨","정제수",NA,NA,"","","유산균시럽","","SKB-1115","","","1509026","D930349","","SY-25081","폼제로 600F","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호953","품목보고번호2019041307962","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쿨피스복숭아맛","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","기타과당","복숭아농축액","유산균배양액","카르복시메틸셀룰로오스","시트러스향","DL-사과산","구연산","복숭아향","복숭아향","구연산삼나트륨","비타민C","딸기색소","적양배추색소","식품첨가물혼합제제","수크랄로스","아세설팜칼륨","과.채가공품","","","유산균시럽","","","","","15","16","","","SY-33101","","폼제로600F","","","몽크후르츠농축과즙","18","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호952","품목보고번호20040445073288","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명퀸빈홍삼골드","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"백설탕","액상과당","덱스트린","칡농축액","카라멜색소비에이","홍삼향","구연산","홍삼농축액","잔탄검","글리신","효소처리스테비아","자몽종자추출물","정제수",NA,NA,NA,NA,"","","제네덱스","","","","함수 구연산","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호951","품목보고번호20130415052224","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명큐라에스 리-펩","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","결정과당","구연산","블루베리농축액","L-아르지닌","포도당","블루베리향","과.채가공품","β-시클로덱스트린","효소처리스테비아","타우린","천연포도향","과라나추출물분말","L-테아닌(고시형)","비타민C","비타민B1질산염","비타민B2","","","","","","무수결정포도당","FG2013-1118, 혼합제제","베지주스 R","베타시클로덱스트린","","","","","","","","","18","니코틴산아미드","","19","20","21","22","비타민B6염산염","판토텐산칼슘","엽산","비타민 B12 혼합제제분말","","","",""
"8","번호950","품목보고번호20180504025109","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명큐로삼","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"정제수","식물혼합농축액","프락토올리고당","사양벌꿀","구연산","산삼배양근농축액","홍삼농축액","타우린","천궁농축액","흑마늘농축액","차가버섯농축액","구기자농축액","프로폴리스","로얄젤리분말","L-아르지닌","L-트립토판",NA,"","","","","함수구연산","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호949","품목보고번호202005191522","업소명주식회사 순수스마트워터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명큐워터","분류식품","업체명","주식회사 순수스마트워터","소재지","전라남도 담양군 담양읍 에코산단3로 1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호948","품목보고번호20070358224536","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한18개월","제품명크니트니 딸기맛","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","폴리덱스트로스","베타인","이노시톨","L-라이신염산염","딸기향","L-아스파르트산","구연산","L-아르기닌","젖산칼륨","니코틴산아미드","효소처리스테비아","글루콘산아연","안식향산나트륨","수크랄로스","비타민B2","비타민B1염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","비타민B6염산염",NA,"19","20",NA,NA,"비타민 B12 혼합분말","딸기농축액",NA,NA,NA,NA,NA,NA
