"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","번호...78","성분 및 원료","비고","번호23","번호24","번호25","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고23","비고24","비고25"
"1","번호851","품목보고번호20110149027220","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명탱글콜라겐 몽모랑시타트체리 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","체리농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","타트체리농축액, 폴란드산","피쉬콜라겐, 베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호850","품목보고번호20110149027176","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명탱글콜라겐ABC주스스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","사과농축액","당근농축액","레드비트농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","국내산 70%","국내산 20%","베트남산 10%","베트남산","","","","","","10","11","염화칼륨","히알루론산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호849","품목보고번호20170614111408","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명탱글타트체리석류콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8",NA,"체리농축액","석류착즙액","생선콜라겐분말","혼합제제","정제수","에리스리톨","수크랄로스","석류향",NA,"타트체리농축액(65Brix)(","","피쉬콜라겐","(로커스트콩검,잔탄검,한천타마린드검,카라기난,염화칼륨","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호848","품목보고번호20110149027337","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명탱글탱글 유자콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7",NA,NA,"유자과즙","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호847","품목보고번호2019026365045","업소명주식회사 메가바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명탱탱탱자식물성콜라겐","분류식품","업체명","주식회사 메가바이오","소재지","세종특별자치시 연동면 노송강당길 24-1","1","2","3","4","5","6","7","8","9","정제수","닥풀잎","흰목이버섯추출액","기타설탕","용설란시럽","D-말티톨","대나무농축액","석류농축액","비트루트농축액","","금화규농축액","","재거리,비정제설탕","아가베시럽","","대나무잎농축액","","","10","11","사과농축액","배농축액","","","12","13","14","15","16","17","18","19","20","21","22","대추농축액","매실추출액","타우린","곤약분말","이산화규소","체리추출물","구연산","잔탄검","자몽종차추출물","효소처리스테비아","아세설팜칼륨","","","","","고결방지제","타트체리","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호846","품목보고번호201605210538","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명터닝메카드 사과&배, 홍삼","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","사과농축액","72bx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호845","품목보고번호19970464172350","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명턴-업!(Turn-Up!)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","보검선인장열매농축","β-시클로덱스트린","타우린","베타인","칡꽃추출농축액","L-글루타민","L-페닐알라닌","아사이베리혼합농축액","망고스틴열매농축액","백년초농축액","","","","갈화농축액","","","아사이베리농축액","망고스틴농축액","10","11","구기자농축액","녹차농축액","","","12","13","14","15","16","17","18","19","20","21","22","구연산","DL-사과산","수크랄로스","천연체리향","과라나추출물분말","헛개나무열매농축액","마테추출물","가시오갈피추출물분말","L-티로신","잔탄검","자몽종차추출물","","","","","","","","","","","",NA,NA,NA,"23","24","25","버드나무가지껍질","효소처리스테비아","정제수","사용부위:가지껍질","",""
"8","번호844","품목보고번호198604350131271","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명턴업샷","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","정제수","프락토올리고당","효모추출분말","블루베리농축액","블루베리향","구연산","수크랄로스","유산균혼합분말","D-알파-토코페릴초산염혼합제제","","","(글루타치온 50%)","(고형분 63%)","(향료)","","","","(비타민E 50% 함유)","10","11","엘라스틴","건조효모","엘라스틴추출물혼합분말","(셀렌 0.1%)","12","13","14","15","16","17",NA,NA,NA,NA,NA,"생선콜라겐","히알루론산혼합제제","니코틴산아미드","비타민C","비타민B6염산염","비타민B2",NA,NA,NA,NA,NA,"","","","","(비타민B6 82%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호843","품목보고번호2019041307987","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명테이크 얼라이브 쿨 망고","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","기타과당","망고농축액","유산균배양액","카르복시메틸셀룰로오스","DL-사과산","망고향","구연산삼나트륨","비타민C","카로틴","","","유산균시럽","","","망고향AF","","","JS","10","11","수크랄로스","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호842","품목보고번호20190413079102","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명테이크 얼라이브 쿨 블러드오렌지","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","기타과당","과.채가공품","유산균배양액","카르복시메틸셀룰로오스","DL-사과산","합성향료","구연산삼나트륨","비타민C","적무색소","","블러드오렌지농축액,이스라엘산","유산균시럽","","","블러드오렌지향","","","","10","11","수크랄로스","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
