"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고17","비고18","비고19","비고20","비고21"
"1","번호741","품목보고번호19880607021336","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명파워에너지 아르지닌 6500","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","5","6","7","8","9","10","11","12","13","L-아르지닌","정제수","구연산(무수)","에리스리톨","포도농축액","블루베리농축액","포도향분말","프락토올리고당","기타가공품","아스파탐","비타민 C(고시형)","건조효모(셀렌함유)","비타민미네랄혼합제제","","","","","","","","","복합황금추출물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호740","품목보고번호20020623009658","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에너지 자몽","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","자몽농축액","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","젖산칼슘","에리스리톨","아미노산혼합","비타민B6염산염","타우린","수크랄로스","64brix, 10brix 기준 1.2%","","산도조절제","산도조절제","","","","영양강화제","","BCAA(발린, 류신, 아이소류신)","영양강화제","영양강화제","합성감미료","14","15","16","시트러스향","자몽향","정제수","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호739","품목보고번호19800375002223","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한관(알루미늄)/합성수지제(PET) 12개월","제품명파워에이드 골드 러쉬","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","음료베이스","음료베이스","음료베이스",NA,NA,NA,"","(액상, 고형분 77%)","파워에이드 골드 러쉬 원제 제1A부 (의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1D부","파워에이드 마운틴 블라스트 이온4 원제 제 1C부","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제3부(의왕시청 품목보고)","파워에이드 골드 러쉬 원제 제2A부(의왕시청 품목보고)","파워에이드 골드 러쉬 원제 제2C부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제2B부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호738","품목보고번호20070443110263","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 마운틴 블라스트","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","액상과당","혼합제제류","혼합제제류","혼합제제류","혼합제제류","타르색소제제","혼합제제",NA,NA,NA,NA,NA,"","기타과당(액상,고형분 77%)","파워에이드 마운틴 블라스트 이온4 원제 제1A부","파워에이드 마운틴 블라스트 이온4 원제 제1F부","파워에이드 마운틴 블라스트 이온4 원제 제1G부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 마운틴 블라스트 원제 제2A부","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호737","품목보고번호1980037500257","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한관 또는 병 포장제품 : 24개월 합성수지제 포장제품 : 12개월","제품명파워에이드 마운틴 블라스트","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,"","(액상, 고형분 77%)","파워에이드 마운틴 블라스트 이온4 원제 제1A부 (의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1F부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1G부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제2A부(의왕시청 품목보고)","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호736","품목보고번호20100543066355","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET:12개월, CAN:24개월","제품명파워에이드 마운틴 블라스트","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","액상과당","구연산","소금","합성착향료","구연산삼나트륨","구연산칼륨","아라비아검","수크랄로스","염화마그네슘","염화칼슘","아세설팜칼륨","제삼인산칼륨","","","","","","","","","감미료","","","감미료","","14","15","16","유화제","가공유지","천연향료","","","","17","18","19","20","21","판토텐산칼슘","니코틴산아미드","d-토코페롤(혼합형)","식용색소청색1호","비타민B6염산염","","","","착색료",""
"7","번호735","품목보고번호2019041307923","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 마운틴 블라스트","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","기타과당","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제",NA,NA,NA,NA,NA,"","(액상, 고형분 77%)","파워에이드 마운틴 블라스트 이온4 원제 제1A부","파워에이드 마운틴 블라스트 이온4 원제 제1F부","파워에이드 마운틴 블라스트 이온4 원제 제1G부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 마운틴 블라스트 원제 제2A부","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호734","품목보고번호19920562023337","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한PET: 제조일로부터 12개월, CAN: 제조일로부터 24개월","제품명파워에이드 마운틴 블라스트","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","정제수","타르색소제제","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,"","파워에이드 마운틴 블라스트 이온4 원제 제1A부","파워에이드 마운틴 블라스트 이온4 원제 제1F부","파워에이드 마운틴 블라스트 이온4 원제 제1G부","","파워에이드 마운틴 블라스트 원제 제2A부","파워에이드 마운틴 블라스트 원제 제1E부","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호733","품목보고번호19980449002391","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한금속캔 : 제조일로부터 24개월까지, 합성수지제 : 제조일로부터 12개월까지","제품명파워에이드 마운틴 블라스트","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"기타과당","파워에이드 마운틴 블라스트 이온 4 원제 제1A부","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","정제수",NA,NA,NA,NA,NA,"","","파워에이드 마운틴 블라스트 이온4 원제 제1F부","파워에이드 마운틴 블라스트 이온4 원제 제1G부","혼합제제V2 원제 제2B부","파워에이드 마운틴 블라스트 원제 제2A부","파워에이드 마운틴 블라스트 원제 제1E부","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호732","품목보고번호199706140838","업소명코카콜라음료주식회사","품목유형혼합음료","유통/소비기한관 포장제품: 제조일로부터 24개월, 합성수지제 포장제품: 제조일로부터 12개월","제품명파워에이드 마운틴 블라스트","분류식품","업체명","코카콜라음료주식회사","소재지","경상남도 양산시 충렬로 269(유산동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,"","액상, 고형분 77%","파워에이드 마운틴 블라스트 이온4 원제 제1A부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1F부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1G부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제2A부(의왕시청 품목보고)","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
