"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고19","비고20","비고21","비고22"
"1","번호711","품목보고번호20020492106515","업소명주식회사 한국음료","품목유형혼합음료","유통/소비기한12개월","제품명파워에이드 퍼플 스톰","분류식품","업체명","주식회사 한국음료","소재지","전라북도 남원시 덕과면 덕과남길 115","1","2","3","4","5","6","7","8","9","정제수","기타과당","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","","액상","파워에이드 마운틴 블라스트 이온4 원제 제1A부(구연산,제삼인산칼륨,구연산칼륨)","파워에이드 퍼플 스톰 원제 제1E부(구연산,식용색소적색제40호,식용색소청색제1호)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(염화마그네슘,염화칼슘)","파워에이드 마운틴 블라스트 이온4 원제 제1D부(식염,구연산삼나트륨)","파워에이드 마운틴 블라스트 원제 제1E부(판토텐산칼슘,니코틴산아미드,비타민B6염산염)","파워에이드 마운틴 블라스트 이온4 원제 제3부(수크랄로스,아세설팜칼륨)","파워에이드 퍼플 스톰 원제 제2부(합성향료,천연향료,초산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호710","품목보고번호20070443110606","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명파워에이드 프로틴 10g","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","혼합제제","타르색소제제","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","","분리유청단백","파워에이드 프로틴 원제 제1A부","파워에이드 퍼플 스톰 원제 제1E부","파워에이드 마운틴 블라스트 이온4 원제 제1C부","파워에이드 프로틴 원제 제1E부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 퍼플 스톰 원제 제2부","아와브레이크","10","11","12","13","혼합제제","혼합제제","인산","혼합제제","슈퍼에멀젼 TSX-3CL","산에어 NO.36255","","파워에이드 프로틴 원제 제3부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호709","품목보고번호19970464172299","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명파워젠","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","액상과당","과라나추출물분말","마카농축액분말","비타민 B1염산염(고시형)","비타민B6염산염혼합제제","니코틴산아미드","판토텐산칼슘","타우린","DL-사과산","","","","","","","","","","10","11","12","13","구연산","구연산삼나트륨","L-페닐알라닌","수크랄로스","","","","","14","15","16","17","18","정제소금","블루베리향","파인애플향","코치닐추출색소","정제수","","삼정1201135","가향13P117","C Red No.1F","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호708","품목보고번호19920624042701","업소명(주)상일","품목유형혼합음료","유통/소비기한24개월","제품명파워텐","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","액상과당","시클로덱스트린","구연산","타우린","합성착향료","주석산수소콜린","L-카르니틴","과라나추출농축분말","DL-사과산","","","결정","","블루베리향 KBR-100608","중주석산콜린","","","","10","11","12","13","L-페닐알라닌","정제소금","이노시톨","동결건조로얄젤리분말","","","","","14","15","16","17","18","구연산삼나트륨","비타민B6염산염혼합제제","니코틴산아미드","수크랄로스","아세설팜칼륨","","염산피리독신","나이아신아미드","","","19","20","21","22","비타민B2혼합제제","비타민B12, 혼합제제","엽산","정제수","리보플라빈","시아노코발라민","",""
"5","번호707","품목보고번호2005007713111","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명파워프로젠탑","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","KHP피그태반액","올리고당","과라나추출물","감초엑기스","구연산","과일향","홍삼엑기스","잔탄검","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,"상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호706","품목보고번호19980308080422","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워프로틴 밸런스 딸기","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","정제수","유함유가공품","카제인나트륨","유청단백분말","향료","탄산칼슘","소르비탄지방산에스테르","과.채가공품","정제소금","","MPC85","","힐마8010 인스턴타이즈드","딸기향","","","딸기농축액","","10","11","12","13","탄산수소나트륨","혼합제제","수크랄로스","혼합제제","","바닐라향","","라르고","14","15","16",NA,NA,"아세설팜칼륨","향료","산화아연",NA,NA,"","밀크향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호705","품목보고번호19980308080421","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워프로틴 밸런스 바나나","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","정제수","유함유가공품","카제인나트륨","유청단백분말","향료","탄산칼슘","소르비탄지방산에스테르","과.채가공품","혼합제제","","MPC85","","힐마8010 인스턴타이즈드","바나나향","","","바나나농축액","바닐라향","10","11","12","13","정제소금","탄산수소나트륨","수크랄로스","향료","","","","밀크향","14","15","16",NA,NA,"혼합제제","아세설팜칼륨","산화아연",NA,NA,"라르고","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호704","품목보고번호19980308080420","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워프로틴 밸런스 초코","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","정제수","유함유가공품","카제인나트륨","유청단백분말","코코아분말","혼합제제","혼합제제","탄산칼슘","소르비탄지방산에스테르","","MPC85","","힐마8010 인스턴타이즈드","","다크초콜릿향","다크초콜릿향","","","10","11","12","13","탄산수소나트륨","정제소금","수크랄로스","아세설팜칼륨","","","","","14","15",NA,NA,NA,"혼합제제","산화아연",NA,NA,NA,"라르고","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호703","품목보고번호20010515081469","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명파워프로틴 초코맛","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","코코아분말","농축유단백","분리유단백","분리대두단백","젤란검","구연산삼나트륨","구연산칼륨","셀룰로오스혼합제제","수크랄로스","","엠피씨85","미셀라카제인","","","","","","","10","11","12",NA,"아세설팜칼륨","정제수","초콜릿향",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호702","품목보고번호19810606006543","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명파워프로틴 플러스 월넛","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","유함유가공품","두류가공품","유청단백분말","땅콩 또는 견과류가공품","합성향료","폴리인산칼륨","합성향료","","","유단백농축분말","분리대두단백","분리유청단백","호두페이스트","호두향","","곡물향","10","11","12","13","식품첨가물혼합제제","기타가공품","수크랄로스","효소처리스테비아","라르고BS-15","밀크베이스","","","14",NA,NA,NA,NA,"식품첨가물혼합제제",NA,NA,NA,NA,"폼크린200(실리콘소포제)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
