"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호671","품목보고번호20050440004162","업소명(주)내츄럴팜","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명패상한고","분류식품","업체명","(주)내츄럴팜","소재지","충청북도 옥천군 군북면 비야대정로 293-20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","모창출뿌리줄기","칡뿌리","작약뿌리","참당귀뿌리","천궁뿌리줄기","지황","황기뿌리","계피줄기껍질","인삼뿌리","민들레","사철쑥지상부","형개꽃대","박하지상부","도라지뿌리","광귤나무열매","영지버섯","복령균핵","동출뿌리줄기","감초","옥수수수염","맥문동뿌리","기타설탕","올리고당","구연산","잔탄검","안식향산나트륨","(창출)뿌리줄기(제한적원료)","(갈근)뿌리","뿌리(제한적원료)","(당귀)뿌리","뿌리줄기(제한적원료)","(숙지황)포제가공한뿌리(제한적원료)","뿌리","줄기껍질","뿌리","(포공영)전초","(인진)지상부","꽃대","지상부","(길경)뿌리","(지각)열매(제한적원료)","자실체","균핵(제한적원료)","(백출)주피제거한뿌리줄기(제한적원료)","뿌리및뿌리줄기","암술대(제한적원료)","뿌리(제한적원료)","(흑당)","","","",""
"2","번호670","품목보고번호202002801479","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명퍼르 아몬드 쑥","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","아몬드","캐슈견과","설탕","정제소금","젤란검","로커스트빈검","구연산칼륨","레시틴","쑥가루","유산균",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","미국산","미얀마,베트남","","","","","","","국내산100%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호669","품목보고번호20110084489511","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명퍼스트이너 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산","체리농축액","Red grape농축액","효소처리스테비아","오르니틴염산염","타우린","체리향","청포도향","L-카르니틴","기타가공품","쌀배아추출물","혼합제제","혼합제제","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","함수구연산","몽모랑시타트체리주스농축액","적포도주스농축액","","","","혼합제제","혼합제제","","복합황금추출물","쌀배아추출액","아미노산혼합제제/아미노믹스","비타민혼합제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호668","품목보고번호20110084489444","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명퍼펙트 아르기닌 피치 5000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산","복숭아농축액","사과농축액","효소처리스테비아","비타민C","향료","타우린","곡류가공품","기타가공품","혼합제제","오르니틴염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","함수구연산","","사과농축과즙액","","","천연복숭아향","","프루트맥스브라운900더블유에스","복합황금추출물","아미노산믹스-BCAAG","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호667","품목보고번호20130415052144","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명퍼펙트 콜라겐 5000","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,NA,"정제수","콜라겐가수분해물","자몽농축액","프락토올리고당","이소말토올리고당","구연산","서양자두농축액","자몽향","히알루론산혼합제제","자몽향","엘라스틴가수분해물","비타민C","황금혼합추출물","스테비올배당체","효소처리스테비아","비오틴 혼합","식용달팽이추출물분말","L-시스틴","과.채가공품",NA,NA,NA,NA,NA,NA,NA,"","베리솔","적자몽농축액","","","","푸룬농축액","향료, AF-2137","","향료제제, #50","","","","","","혼합제제","달팽이추출분말","","베리주스",NA,NA,NA,NA,NA,NA,NA
"6","번호666","품목보고번호2020042406549","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명퍼펙트 파워 아르기닌 6200","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21",NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산","벌꿀","효소처리스테비아","블루베리향","글루콘산아연","세븐베리농축액","황금추출물","L-카르니틴","오르니틴염산염","말태반분말","맥아추출액","건조수박열매껍질","수크랄로스","엽산","건조효모","비타민미네랄혼합제제","석류농축분말","타우린","당근추출분말",NA,NA,NA,NA,NA,"","","무수구연산","사양꿀","","천연블루베리향","","","복합황금추출물","","","말태반추출물분말","맥아추출물","수박과피(껍질)추출물분말","","","건조효모(셀렌)","","석류농축액분말","","",NA,NA,NA,NA,NA
"7","번호665","품목보고번호19960443047111","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명퍼펙트프로틴","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"원유","두류가공품","유함유가공품","유함유가공품","혼합분유","설탕","올리고당","곡류가공품","식품첨가물","식품첨가물","혼합제제","기타가공품","기타가공품","식품첨가물","향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","분리대두단백분말","산양유단백분말","분리유단백분말","탈염유청혼합탈지분유","설탕(정백당)","프락토올리고당","오곡미숫가루분말","탄산칼슘","탄산수소나트륨","비타민미네랄프리믹스","오씨티11 및 40 혼합물","비에프 QA","자당지방산에스테르","씨리얼향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호664","품목보고번호20060392223260","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명펄워터","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"진주","DL-사과산","탄산수소나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"진주추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호663","품목보고번호20080358277245","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명펌킨식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","쌀","백설탕","호박농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호662","품목보고번호2014037208215","업소명개성홍삼농산","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명페르시아 석류미인","분류식품","업체명","개성홍삼농산","소재지","경기도 포천시 가산면 정금로 406(가,나,다동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","사과농축액","스테비아추출물","과당","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 brix이상/이란산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
