"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","성분 및 원료20","성분 및 원료21","비고20","비고21"
"1","번호611","품목보고번호20110084489385","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명풀업 아르기닌 5250","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산(무수)","Red grape농축액","레몬농축액","효소처리스테비아","비타민C","세븐베리농축액","타우린","아미드펙틴","천연향료","글루콘산아연","혼합제제","기타가공품","체리농축분말","니코틴산아미드","비타민B1염산염","혼합제제","엽산","","","","적포도주스농축액","","","","","","","천연레몬향","","","복합황금추출물","몽모랑시타트체리농축분말","","","","",NA,NA,NA,NA,NA,NA
"2","번호610","품목보고번호20140395066236","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명풋사과 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"정제수","사과분말","사과농축액","혼합제제","구연산삼나트륨","구연산","곤약분말","사과향","수크랄로스","비타민C","치자청색소","치자황색소",NA,NA,NA,NA,NA,NA,NA,"","(풋사과추출분말)","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호609","품목보고번호20090473152274","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명풋사과 와일드 망고 클렌즈","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"사과농축액","프락토올리고당","과.채가공품","고형차","구연산","비타민 C(고시형)","기타가공품","타우린","생선콜라겐","프로바이오틱스(고시형)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","풋사과추출분말","와일드 망고 씨 추출 분말","","","화이브로우즈 에프90","","피쉬콜라겐","5종혼합유산균","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호608","품목보고번호201704337951","업소명예뜰영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명풋사과를 품은 사과식초음료","분류식품","업체명","예뜰영농조합법인","소재지","충청북도 충주시 살미면 용천길 28","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"사과즙","사과발효액","과채주스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"예뜰생사과즙","예슬이네사과식초","예뜰풋사과주스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호607","품목보고번호2021055909221","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명풋사과액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"사과농축분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"풋사과농축분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호606","품목보고번호2016008443213","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터24개월까지","제품명퓨더마 화이트 제이드 콜라겐","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","기타가공품","당류가공품","자일리톨(기능성원료인정제2004-2호)","혼합제제","식품첨가물","프락토올리고당","글리신","L-시스틴","과.채가공품","구연산","과.채가공품","비타민 C(고시형)","혼합제제","잔탄검","효모식품","히알루론산","알로에아보레센스분말","자몽종자추출물","","저분자피쉬콜라겐","레몬맛분말","","레몬향분말H","엘-글루탐산","썬올리고P2","","","27종과일야채혼합농축분말","구연산(무수)","석류농축액","","효소처리스테비아-50","","엥게비타지에스에이치","","","","20","21","홍삼(고시형)","효모식품","퍼스트홍삼농축액10","건조효모분말(BT)"
"7","번호605","품목보고번호2012057308032","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명퓨리에워터(Purea Water)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호604","품목보고번호19970464172532","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명퓨어 저분자 콜라겐(Drink collagen)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"생선콜라겐분말","사과농축액","비타민C","기타과당","구연산","구연산삼나트륨","효소처리스테비아","베타인","정제수","복숭아향","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,"저분자피쉬콜라겐","70 Brix","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호603","품목보고번호2022048107928","업소명미네스팩토리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명퓨어에이드","분류식품","업체명","미네스팩토리","소재지","경기도 용인시 기흥구 지삼로 153(1층 지곡동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","자몽향","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","백자몽향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호602","품목보고번호19920624042891","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명퓨어포커스","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","프락토올리고당","기타가공품","타우린","비타민C","구연산","향료","L-테아닌(고시형)","기타가공품","기타가공품","비타민B6염산염",NA,NA,NA,NA,NA,NA,NA,NA,"","","S.LAB formula 과일혼합농축액","","","결정","자몽향","","유근피추출액","파인엑솔A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
