"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호551","품목보고번호2016052105348","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프로틴고스트 그린프레쉬","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","라임향","구연산","식품첨가물혼합제제","수크랄로스","아세설팜칼륨","천연향료","혼합제제","","클리어WPI","합성향료","","그린 앤케이-1","감미료","감미료","천연민트향","아와컷cp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호550","품목보고번호2016052105349","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프로틴고스트 핑크위치","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","복숭아향","혼합제제","구연산","적무색소","수크랄로스","아세설팜칼륨","혼합제제","","클리어WPI","합성향료","화이트크라우디미크론 엠","","레드AJ","감미료","감미료","아와컷-cp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호549","품목보고번호2015051802379","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한365일(12개월, 1년)","제품명프로틴기프트 사과","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","사과농축액","백설탕","구연산","사과향","글리세린지방산에스테르","자몽종자추출물","비타민C","","유청분리단백","","","","","","","","10","11","12","13","수크랄로스","비타민B6염산염","비타민B12","비타민D3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호548","품목보고번호20150518023114","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한365일(12개월, 1년)","제품명프로틴기프트 제주감귤","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","감귤농축액","설탕","감귤향","글리세린지방산에스테르","자몽종자추출물","수크랄로스","비타민C","","유청분리단백","제주감귤","","감귤향1","","","","","10","11","12","13","감귤향","구연산","비타민D3","비타민B12혼합제제분말","감귤향2","","","","14","비타민B6염산염","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호547","품목보고번호2015051802381","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한365일(12개월, 1년)","제품명프로틴기프트 포도","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","포도농축액","백설탕","포도향","적양배추색소","구연산","글리세린지방산에스테르","자몽종자추출물","","유청분리단백","","","","","","","","10","11","12","13","비타민C","수크랄로스","비타민B6염산염","비타민B12혼합제제분말","","","","","14","비타민D3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호546","품목보고번호20070443110666","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명프로틴드롭","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","정제수","두류가공품","향료","구연산","향료","향료제제","인산","기타가공품","DL-사과산","","","블러드오렌지향 SK","","블러드오렌지향 MM","티 모디파이어 플레이버","","식물성콜라겐부스터-H","","10","11","12","13","향료","과.채가공품","자주색고구마색소","아세설팜칼륨","천연블러드오렌지향","당근추출액","","","14","수크랄로스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호545","품목보고번호2020040143930","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴맥스","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","원유","백설탕","분리대두단백","카제인칼슘","탈지분유","탄산칼슘","땅콩버터","곡류가공품","혼합제제","","","","","","","","","BCAA(L-로이신, L-이소로이신, L-발린)","10","11","12","13","혼합제제","혼합제제","혼합제제","정제소금","혼합견과향(글리세린, 프로필렌글리콜, 잣향, 크래커향))","레코단","","","14","구연산철암모늄","","15","16","17","18","19","20","21","22","파라다이스넛추출물분말","혼합제제","과.채가공품","과.채가공품","탄산수소나트륨","혼합제제","과.채가공품","정제수","","땅콩향(프로필렌글리콜, 피넛후레바)","당귀타라곤추출복합물","레드비트추출분말","","비타민D3(아라비아검, 자당, 옥수수전분, 가공유지{팜유}, 이산화규소, 비타민D3, 비타민E)","세븐베리농축혼합분말(블루베리, 아로니아, 다크스위트체리, 블랙커런트, 라즈베리, 크랜베리, 블랙베리))",""
"8","번호544","품목보고번호20070464094448","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴어스 프로틴 20 워터 레드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","유청단백분말","인산","폴리덱스트로스","아세설팜칼륨","수크랄로스","혼합제제","딸기향","식용색소적색제40호","정제소금","유청분리단백질","","","","","폼크린 200","","","정제염","10",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호543","품목보고번호20110355999127","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴어스 프로틴 20 워터 레드","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","유청단백분말","인산","폴리덱스트로스","아세설팜칼륨","수크랄로스","혼합제제","딸기향","식용색소적색제40호","정제소금","유청분리단백질","","","","","폼크린200","","","정제염","10",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호542","품목보고번호20110445029122","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프로틴어스 프로틴20워터 레드","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","폴리덱스트로스","혼합제제","인산","수크랄로스","정제소금","아세설팜칼륨","혼합제제","","유청분리단백질 미국산","폴리덱스트로스P","딸기향 AH-F-2088","","","정제염 국산","","폼크린 200","10",NA,NA,NA,"식용색소적색제40호",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
