"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호521","품목보고번호19860443015522","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 레스베라 콜라겐 13000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","생선콜라겐","자일리톨","프락토올리고당","분말결정포도당","석류농축액","혼합제제","기타가공품","DL-사과산","구연산(무수)","비타민C","과.채가공품","황금혼합추출물","효소처리스테비아","엘라스틴가수분해물","비오틴 혼합분말","우유단백질","히알루론산","비타민B6염산염","비타민B2","글리신","아미노산혼합제제","정제수","피쉬콜라겐펩타이드","","","무수분말결정포도당","","석류향 H101154, 석류향","땅콩새싹추출분말","","","","화이트토마토추출분말","복합황금추출물","","","비오틴1%","우유단백질농축, 밀크세라마이드","","","","","필수아미노산8종 혼합제제",""
"2","번호520","품목보고번호19800415004224","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한18개월","제품명프리미엄 레시피","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,"백설탕","비타민C","타우린","베타인","비타민B12, 혼합제제","비타민B2인산에스테르나트륨","비타민B6염산염","니코틴산아미드","이노시톨","과라나추출물분말","EDTA칼슘2나트륨","구연산삼나트륨","구연산","수크랄로스","효소처리스테비아","정제소금","드링크향","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호519","품목보고번호20040275056765","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한24개월","제품명프리미엄 블루베리","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","블루베리과즙","레몬농축액","환자용 식품","블루베리농축액","에리스리톨","천연향료","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","블루베리액","","소프티아S","","","천연블루베리향(BK2-6231)","스테비텐후레쉬",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호518","품목보고번호20020623009484","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명프리미엄 비스비타 망고","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","망고농축액","갈색설탕","구연산","젤란검","구연산삼나트륨","비타민C","젖산칼슘","β-카로틴","스테비올배당체","망고향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","유기농설탕","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호517","품목보고번호20020623009481","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명프리미엄 비스비타 석류","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","석류농축액","갈색설탕","구연산","젤란검","구연산삼나트륨","비타민C","젖산칼슘","스테비올배당체","β-카로틴","레드색소","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","유기농설탕","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호516","품목보고번호20020623009483","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명프리미엄 비스비타 알로에 오리지널","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","갈색설탕","구연산","젤란검","구연산삼나트륨","비타민C","젖산칼슘","스테비올배당체","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","유기농설탕","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호515","품목보고번호20020623009482","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명프리미엄 비스비타 코코넛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"갈색설탕","젤란검","구연산삼나트륨","구연산","비타민C","젖산칼슘","스테비올배당체","코코넛향","정제수","알로에베라겔즙액함유절편","코코넛추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농설탕","","","","","","","","","","코코넛워터",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호514","품목보고번호19860443015276","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 비타 콜라겐 (PREMIUM VITA COLLAGEN)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","생선콜라겐","에리스리톨","자일리톨","구연산(무수)","요구르트향","히알루론산혼합제제","레몬향","엘라스틴가수분해물","황금혼합추출물","효소처리스테비아","혼합비타민제제","글루콘산아연","장미꽃잎추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,"","피쉬콜라겐","","","","","","","","복합황금추출물","","비타믹스 혼합제제","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호513","품목보고번호1988060702187","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 빌베리100","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"건조빌베리추출물","빌베리추출물분말","이소말토올리고당","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호512","품목보고번호20110527046103","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명프리미엄 생강식혜 1˚茶(냉동)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","기타엿","생강","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농,국산","유기농","생강조청","국산","유기농,국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
