"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호461","품목보고번호20040445073298","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명피로엔","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","액상과당","구연산","타우린","농축사과과즙","드링크향","구연산삼나트륨","이노시톨","정제소금","효소처리스테비아","니코틴산아미드","비타민C","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호460","품목보고번호20130358242285","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명피쉬콜라겐","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"석류농축액","생선콜라겐분말","정제수","아로니아주스농축액","유자과즙","밀오일","비타민C","레시틴","히알루론산(고시형)","기타가공품",NA,NA,NA,"열매(열매껍질, 씨앗 제외)","분말","","열매","열매, 씨앗","","분말","대두레시틴 / 분말","분말","프로라스틴 / 분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호459","품목보고번호19980308080403","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명피엘 헬스 마이키즈 딸기맛","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","프락토올리고당","덱스트린","옥수수기름(옥배유)","유함유가공품","카제인나트륨","분리대두단백","혼합제제","과.채가공품","탄산칼슘","소르비탄지방산에스테르","향료","향료","","","","","MPC85","EM7","supro661","비타민미네랄프리믹스","딸기농축액","","","딸기향","딸기향","14","15","16","17","18","19","EPA 및 DHA 함유 유지(고시형)","정제소금","젤란검","카라기난","수크랄로스","기타가공품","","","","","","식물성유산균 사균체"
"4","번호458","품목보고번호19980308080404","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명피엘 헬스 마이키즈 바닐라맛","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","프락토올리고당","덱스트린","옥수수기름(옥배유)","유함유가공품","카제인나트륨","분리대두단백","혼합제제","탄산칼슘","소르비탄지방산에스테르","향료","향료","정제소금","","","","","MPC85","EM7","supro661","비타민미네랄프리믹스","","","바닐라향","바닐라향","","14","15","16","17","18","19","EPA 및 DHA 함유 유지(고시형)","향료","젤란검","카라기난","수크랄로스","기타가공품","","천연 바닐라 추출물","","","","식물성유산균사균체"
"5","번호457","품목보고번호19980308080402","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명피엘 헬스 마이키즈 초코맛","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","프락토올리고당","덱스트린","옥수수기름(옥배유)","유함유가공품","카제인나트륨","분리대두단백","혼합제제","코코아분말","탄산칼슘","소르비탄지방산에스테르","혼합제제","향료","","","","","MPC85","EM7","supro661","비타민미네랄프리믹스","","","","초코향","초코향","14","15","16","17","18","19","EPA 및 DHA 함유 유지(고시형)","정제소금","젤란검","카라기난","수크랄로스","기타가공품","","","","","","유산균사균체분말"
"6","번호456","품목보고번호202005592835","업소명농업회사법인(주)동서건강","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명피오니 워터  (Peony Water)","분류식품","업체명","농업회사법인(주)동서건강","소재지","경상북도 영천시 한방로 269(주1동 작산동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","작약추출액","인동추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","(백,적)작약 뿌리사용, 고형분함량 3%","인동초 꽃,잎,줄기사용, 고형분함량 3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호455","품목보고번호20110084489209","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명피츠에이","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","자몽농축액","L-아르지닌","프락토올리고당","구연산","대추야자농축액","자몽향","효소처리스테비아","수크랄로스","병풀잎추출물분말","혼합제제",NA,NA,"","자몽과즙농축액","","","함수구연산","","","","","병풀추출분말","비타민혼합제제/비타프로CEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호454","품목보고번호20000614238482","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명피치 못할 달콤함 복숭아에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,"복숭아농축액","홍차추출분말","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","혼합제제","혼합제제","합성향료","혼합제제","정제수",NA,"","","","","","","","정제수, 규소수지, 글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","프로필렌글리콜,주정,정제수,합성향료,트리아세틴,천연향료","","프로필렌글리콜,주정,합성향료,천연향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호453","품목보고번호2018049104487","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명피치에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","백설탕","혼합제제","구연산","과.채가공품","비타민C","구연산삼나트륨","수크랄로스","자주색고구마색소","혼합제제",NA,NA,NA,"","","복숭아향","중국산","백도농축액(백도100%)/중국산","","","","","베타카로틴-엘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호452","품목보고번호20000614238416","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명피치우롱티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","우롱차추출물","과.채가공품","복숭아농축액","설탕","구연산","비타민C","수크랄로스","아세설팜칼륨","혼합제제","천연향료","안식향산나트륨","혼합제제","혼합제제","우롱차추출액","","","","","","","","주정, 정제수, 천연향료, 합성향료, 트리아세틴, 프로필렌글리콜","","","프로필렌글리콜, 주정, 천연향료, 정제수, 글리세린, 합성향료","정제수, 규소수지, 글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","14",NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
