"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32"
"1","번호381","품목보고번호20200401439115","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명하이뮨 프로틴 밸런스 액티브 초코","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","농축유단백질","탈지분유","유크림","산양유분말","혼합제제","코코아분말","탄산칼륨(무수)","자당지방산에스테르","아세설팜칼륨","L-카르니틴","글리세린디아세틸주석산지방산에스테르","카라기난","수크랄로스","아미노산혼합제제","알룰로오스","향료","산화아연","수산화마그네슘","인산철","정제소금","향료","혼합제제","혼합제제","정제수","농축유단백분말","","","산양혼합전지분유","비타민프리믹스","","","","","","","","","BCAA믹스","액상","정제수, 에탄올, 코코넛에센스, 오렌지껍질추출물, 말토덱스트린, 감마-노날락톤, 프로필렌글리콜","","","","","프로필렌글리콜, 발효유증류액, 코코아껍질추출물, N-글루코닐에타놀아민, 바닐린, 정제수, 감마-운데카락톤, 아세토인","정제수, 효모, 천연향료, 프로필렌글리콜, 주정, 합성향료, 코코아분말, 잔탄검","프로필렌글리콜, 합성향료, 정제수, 몽크후르츠농축과즙, 천연향료, 주정","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호380","품목보고번호2020040143983","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이뮨 프로틴 밸런스 저당","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","원유","카제인칼슘","분리대두단백","분리대두단백분말","산양유분말","채종유(유채유 또는 카놀라유)","덱스트린","프락토올리고당(고시형)","알룰로오스","산화아연","수산화마그네슘","인산철","두류가공품","탄산칼슘","젤란검","탄산수소나트륨","치커리식이섬유","수용성비타민혼합제제","분말비타민A혼합제제","비타민D3혼합제제","비타민E혼합제제분말","비타민B1염산염","비타민B6염산염","비타민C","","","","","산양혼합전지분유","","말토덱스트린","분말","액상","","","","검은콩농축액","","","","","수용성비타민프리믹스","","","","","","","25","26","27","28","29","30","31","32","정제소금","합성향료","합성향료","글리세린지방산에스테르","글리세린디아세틸주석산지방산에스테르","L-로이신","아미노산혼합제제","정제수","","","","","","","BCAA믹스",""
"3","번호379","품목보고번호20080395120593","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이뮨 프로틴 밸런스 저당","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","원유","카제인칼슘","분리대두단백","분리대두단백분말","산양유분말","채종유(유채유 또는 카놀라유)","덱스트린","프락토올리고당(고시형)","알룰로오스","산화아연","수산화마그네슘","인산철","두류가공품","탄산칼슘","젤란검","탄산수소나트륨","치커리식이섬유","수용성비타민혼합제제","분말비타민A혼합제제","비타민D3혼합제제","비타민E혼합제제분말","비타민B1염산염","비타민B6염산염","비타민C","","","","","산양혼합전지분유","카놀라유","말토덱스트린","","","","","","검은콩농축액","","","","","","","","","","","","25","26","27","28","29","30","31","32","정제소금","합성향료","합성향료","글리세린지방산에스테르","글리세린디아세틸주석산지방산에스테르","L-로이신","아미노산혼합제제","정제수","","","","","","","BCAA믹스",""
"4","번호378","품목보고번호200703582241228","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명하이브리드 닥터 비마기닌 7000","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산(무수)","비트레드","기타가공품","효소처리스테비아","혼합제제","과.채가공품","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","말태반분말(발효말태반추출분말)","","청포도향","청포도농축액(청포도농축과즙액)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호377","품목보고번호20010464038105","업소명주식회사 하이세븐","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명하이세븐 탑클래식 레드","분류식품","업체명","주식회사 하이세븐","소재지","충청남도 논산시 광석면 사계로 594-4","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","딸기농축액","주정","사과농축액","구연산","DL-사과산","딸기향","구연산삼나트륨","안식향산나트륨","수크랄로스","천연카라멜색소","식용색소적색제40호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","알콜","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호376","품목보고번호20150403012201","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명하이수","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","칼슘분말(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호375","품목보고번호19920624042761","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명하이시스(HYSIS)","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호374","품목보고번호20010515081411","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이오트","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"귀리페이스트","고올레산해바라기유","귀리분말","정제소금","탄산칼슘","제3인산칼슘","제이인산칼륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","오트밀분말","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호373","품목보고번호20130415052261","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명하이퍼 아르기닌 6000 오르니틴 500","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산","오렌지농축액","오르니틴염산염","γ-시클로덱스트린","오렌지향","구연산삼나트륨","황금혼합추출물","수크랄로스","타우린","비타민B6염산염","비타민B1질산염","비타민C","과라나추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","오렌지농축액(BRIX:62%)","","감마시클로덱스트린","오렌지향 F-21013, 향료","","복합황금추출물-2","","","","","","과라나추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호372","품목보고번호20080395120479","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명하이프로틴15","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,"탈지분유","백설탕","카제인칼슘","분리유단백분말","코코아분말","분리대두단백","탄산칼슘","혼합제제","셀룰로오스혼합제제","정제소금","탄산수소나트륨","젤란검","글리세린지방산에스테르","비타민D3혼합제제","수크랄로스","분말비타민A혼합제제","비타민E혼합제제","정제수",NA,NA,NA,NA,NA,NA,"","","","","","","","다크초콜릿향(프로필렌글리콜, 합성향료, 코코아가공품류, 천연향료)","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
