"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17","번호18","번호19","번호20","번호21","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고18","비고19","비고20","비고21"
"1","번호351","품목보고번호20110441029111","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명한남불루베리에프","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","액상과당","구연산","타우린","비타민B1염산염","안식향산나트륨","적양배추색소","정제수","블루베리농축액","블루베리향","수크랄로스","사카린나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호350","품목보고번호20110441029128","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명한남홍삼에프","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","대추엑기스","참당귀농축액","구연산","구연산삼나트륨","카라멜색소","안식향산나트륨","액상과당","식염","사카린나트륨","허브향","고형분60%국산","65bix,국산","55bix국산","","","","합성보존료","","","합성감미료","합성착향료","12","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호349","품목보고번호19890445014786","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36개월","제품명한녹삼K골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","식물혼합추출액","녹용추출액","이소말토올리고당","액상과당","구연산","카르복시메틸셀룰로오스","비타민B2혼합제제","카라멜색소비에이","안식향산나트륨","인삼향","정제수","(한녹삼K혼합추출액,고형분1.2%기준)","(고형분0.1%,뉴질랜드산)","","","","(CMC)","","","합성보존료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호348","품목보고번호201104410296","업소명명성제약식품","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명한독비타레몬","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","액상과당","레몬엑기스","사과즙","구연산","비타민C","비타민B2","비타민 B6(고시형)","스테비안","안식향산나트륨","삭카린나트륨","파인향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호347","품목보고번호200106277632","업소명(주)대승","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명한라기","분류식품","업체명","(주)대승","소재지","제주특별자치도 제주시 남조로3길 13","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"스모크향","과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호346","품목보고번호20140493171128","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명한라봉녹차블렌딩티","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","과.채가공품","액상차","구연산","합성향료","합성향료","비타민 C(고시형)","합성향료","카로틴",NA,"","","한라봉농축액","녹차추출농축액","","한라봉향","감귤향","","녹차향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호345","품목보고번호20000614238401","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명한라봉에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","한라봉농축액","레몬농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","한라봉향","레몬향","혼합제제","","","","","","","","","SK-20-11477","12974","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","12","식용색소황색제4호","","13","14","식용색소황색제5호","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호344","품목보고번호201502941107","업소명나노텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명한모금(HANMOGUM)","분류식품","업체명","나노텍","소재지","경기도 부천시 송내대로 388(약대동, 202동 906호일부)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호343","품목보고번호19970464172319","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명한미 비타민B1B2B6액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","비타민B1염산염","비타민B2인산에스테르나트륨","니코틴산아미드","비타민B6염산염","글리신","L-아르지닌","L-아스파라진","타우린","L-라이신염산염","DL-사과산","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","기타과당",NA,"13","14","드링크향","파인애플향",NA,NA,"15","16","17","효소처리스테비아","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호342","품목보고번호20020623009765","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명한미 풀린애 밀크씨슬골드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","밀크씨슬추출물","기타가공품","기타가공품","구기자농축액","기타가공품","효모추출물제품","액상과당","구연산","DL-사과산","L-아스파라긴","구연산삼나트륨","","수용성 커큐민","과라나추출분말","","미배아복합발효추출액","효모추출물 하이치온 와이에이치-8","","","","","","12","비타민C","","13","14","비타민B1염산염","비타민B2","","","15","16","17","비타민B6염산염","이노시톨","타우린","","","","18","19","20","21","제이인산칼륨","수크랄로스","합성향료","정제수","","합성감미료","허브믹스향",""
