"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","성분 및 원료11","비고11"
"1","번호311","품목보고번호201705010019","업소명해달촌전통식품","품목유형혼합음료","유통/소비기한12개월","제품명해달촌식혜","분류식품","업체명","해달촌전통식품","소재지","전라북도 부안군 하서면 내변산로 1647","1","2","3","4","엿기름","멥쌀","설탕","정제수","우리밀엿기름","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호310","품목보고번호1995061107397","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명해담드리 복분자","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","복분자농축액","사과농축액","액상과당","구연산","","","","","5","6","7","8","비타민C","복분자향","포도과피색소","정제수","","","에노칼라","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호309","품목보고번호19950611073107","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명해담드리 식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","멥쌀","엿기름","백설탕","물엿","","겉보리엿기름","","맥아물엿","5","6","7","8","DL-사과산","안식향산나트륨","α-아밀라아제","셀룰라아제","","","","","9","10","가드엠253","정제수","혼합제제","",NA,NA,NA
"4","번호308","품목보고번호19940543023179","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명해담드리대추생강쌍화","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","쌍화추출액","기타과당","구연산","글리신","고형분2.555%(정제수,작약31.황기12.당귀12.천궁12.대추3.건강1.산약1:국산).(숙지황15.계피8.감초5:수입산)","","","","5","6","7","8","정제소금","안식향산나트륨","혼합제제","쌍화향","","보존료","(효소처리.텍스트린)","합성향료","9","10","대추농축액","생강농축액","국산.100%","국산.고형분64.9%","11","정제수",""
"5","번호307","품목보고번호19950611073149","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한1년","제품명해담드리대추식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","멥쌀","대추추출액","엿기름","백설탕","","","겉보리엿기름","","5","6","7","8","물엿","DL-사과산","안식향산나트륨","α-아밀라아제","맥아물엿","","","","9","10","셀룰라아제","혼합제제","","가드엠-53(신)","11","정제수",""
"6","번호306","품목보고번호19940543023175","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한2년(24개월)","제품명해담드리블루베리","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","기타과당","올리고당","혼합제제","블루베리농축액","","","효소처리스테비아.덱스트린","블루베리100%.국산","5","6","7","8","사과농축액","아로니아농축액","혼합제제","구연산","사과100%.국산","아로니아100%.폴란드산","합성향료(블루베리향)","","9","10","혼합제제","정제수","덱스트린90%.비타민B1라우릴황산염","",NA,NA,NA
"7","번호305","품목보고번호19940543023172","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명해담드리비타골드","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","기타과당","사과농축액","비타민C","타우린","","사과100%.국산","","","5","6","7","8","혼합제제","구연산","니코틴산아미드","염화칼슘","합성착향료(혼합과일향)","","","","9","10","비타민B2","혼합제제","","비타에프엠(덱스트린90%.비타민B1라우릴황산염)","11","정제수",""
"8","번호304","품목보고번호19710570001619","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한2년","제품명해담드리식혜플러스","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","멥쌀","엿기름","설탕","생강농축액","","겉보리엿기름","","","5",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호303","품목보고번호19950611073145","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로 부터 2년","제품명해담드리알로에가족","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","기타가공품","기타과당","젖산칼슘","구연산","알로에베라겔","","","","5","6","7","8","구연산삼나트륨","알로에향","청포도향","치자청색소","","","","","9","10","정제수","홍화황색소","","","11","젤란검",""
"10","번호302","품목보고번호19950611073150","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한1년","제품명해담드리울금식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","멥쌀","엿기름","백설탕","물엿","","겉보리엿기름","","맥아물엿","5","6","7","8","울금덩이뿌리분말","DL-사과산","안식향산나트륨","α-아밀라아제","","","","","9","10","셀룰라아제","혼합제제","","가드엠-53(신)","11","정제수",""
