"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고17","비고18","비고19","비고20","비고21"
"1","번호221","품목보고번호1999061119336","업소명동아메딕스","품목유형혼합음료","유통/소비기한2년","제품명헛개맥문동굿모닝","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","헛개나무열매추출액","맥문동농축액","감초추출액","대추추출액","설탕","액상과당","구연산","구연산삼나트륨","타우린","DL-사과산","니코틴산아미드","비타민C","허브향","안식향산나트륨","카라멜액","정제수","","","","","정백당","","함수구연산","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호220","품목보고번호1997046417233","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개모닝마일드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"히솝엑기스","헛개나무열매","농축액","오리나무농축액","감초엑기스","액상과당","구연산","구연산삼나트륨","효소처리스테비아","비타민B2","안식향산나트륨","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호219","품목보고번호1997046417295","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개모닝해피타임","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","액상과당","헛개나무농축액","칡꽃농축액","대추엑기스","감초엑기스","L-아스파라긴","타우린","구연산","구연산삼나트륨","비타민B1염산염","비타민B2","니코틴산아미드","카라멜색소","황금복합추출물","허브향","정제수","","","갈화농축액","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호218","품목보고번호19970464172311","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개보일때","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","액상과당","헛개나무열매농축액","사양벌꿀","배농축액","밀크씨슬추출물","효모추출분말","DL-사과산","구연산","구연산삼나트륨","타우린","비타민C","비타민 B1염산염(고시형)","니코틴산아미드","판토텐산칼슘","비타민B6염산염","황산마그네슘","기타과당","","","","","","","","","","","","","","","","17","18","19","20","21","염화칼륨","젖산칼슘","꿀향","혼합과일향","정제수","","","","",""
"5","번호217","품목보고번호19970464172222","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개세븐콜","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"복분자농축액","헛개나무열매농축액","기타가공품","L-아스파라긴","타우린","니코틴산아미드","벌꿀","구연산","벌꿀향","드링크향","효소처리스테비아","액상과당","백설탕","정제수",NA,NA,"","","미배아대두발효추출물","","","","","","","","","","정백당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호216","품목보고번호19920624042544","업소명(주)상일","품목유형혼합음료","유통/소비기한18개월","제품명헛개오케이플러스","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"액상과당","배농축과즙","헛개나무열매농축액","칡농축액","구연산","솔향","천궁농축액","구연산삼나트륨","글리신","L-아스파라긴","오렌지네센스","허니향","비타민B2","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호215","품목보고번호1983024201792","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월(실온)","제품명헛개칡즙","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,"정제수","칡착즙액","설탕","카라멜색소 Ⅲ","칡향","기타가공품","자몽종자추출물","정제소금","스테비오사이드혼합분말",NA,NA,NA,NA,NA,NA,NA,"","","","","","헛개나무농축액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호214","품목보고번호19970464172318","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개칸","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","농축사과과즙","기타과당","감추출농축액","강황추출액","구연산","구연산삼나트륨","타우린","L-아스파라진","니코틴산아미드","비타민B2","정제소금","혼합과일향","허브향","정제수","헛개나무농축액","비타민B1염산염","","","","수용성커큐민(사용부위:뿌리줄기)","","","","","","","","","","","","","17","18",NA,NA,NA,"비타민B6염산염","비타민C",NA,NA,NA,"","",NA,NA,NA
"9","번호213","품목보고번호19940474018562","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개해취굿모닝","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","액상차","댕댕이나무열매추출액","액상차","액상차","액상차","액상차","액상차","타우린","L-아스파라긴","니코틴산아미드","비타민B1염산염","구연산삼나트륨","구연산","DL-사과산","아세설팜칼륨","안식향산나트륨","헛개나무열매농축액","댕댕이나무열매농축액","칡농축액F","계피농축액","감초농축액F","영지농축액F","진피농축액F","","","","","","","","","","17","18","19","20",NA,"액상과당","정제소금","합성향료","정제수",NA,"","","칡향","",NA
"10","번호212","품목보고번호1997046417271","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개후레쉬","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"액상과당","헛개열매농축액","농축사과과즙","구연산","구연산삼나트륨","DL-사과산","타우린","L-아스파라긴","니코틴산아미드","비타민B2","정제염","혼합과일향","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
