"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호181","품목보고번호201904103992","업소명설악만복식혜","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 6개월","제품명호박식혜","분류식품","업체명","설악만복식혜","소재지","강원도 속초시 청호로 113(청호동)","1","2","3","4","5","정제수","설탕","호박","엿기름","찹쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호180","품목보고번호201605974544","업소명조은팥식품","품목유형혼합음료","유통/소비기한60일","제품명호박식혜","분류식품","업체명","조은팥식품","소재지","경상남도 창원시 마산회원구 양덕천길 64-1(양덕동)","1","2","3","4","5","정제수","엿기름","단호박쌀","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호179","품목보고번호20130080027200","업소명한양전통식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명호박식혜","분류식품","업체명","한양전통식품","소재지","경기도 김포시 양촌읍 금포로 1755(가,나동)","1","2","3","4","5","정제수","호박","멥쌀","백설탕","엿기름","","국산","국산","","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호178","품목보고번호2007062004764","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24개월","제품명호박팥 콜라겐젤리스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","호박농축액","프락토올리고당","생선콜라겐","덱스트린","혼합제제","고형분5%이상/국산","","저분자피쉬콜라겐(500DA이하)/중국산","말토덱스트린(국산)","로커스트콩검, 잔탄검, 포도당, 한천, 타마린드검)","6","7","8","9","10","11","팥농축액","호박향","구연산","한천","시클로덱스트린시럽","혼합제제","고형분60%이상/국산","합성향료","","","","덱스트린, 스테비올배당체",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호177","품목보고번호20050440004161","업소명(주)내츄럴팜","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명호백원","분류식품","업체명","(주)내츄럴팜","소재지","충청북도 옥천군 군북면 비야대정로 293-20","1","2","3","4","5","퉁퉁마디","지황뿌리","질경이씨앗껍질","굴껍질분말","전복껍질분말","줄기/잎","(생지황)뿌리(제한적원료)","씨앗껍질","굴껍질분말","전복껍질분말","6","7","8","9","10","11","짚신나물잎","황금뿌리","패각분말","기타설탕","올리고당","염화마그네슘","잎","뿌리","패각분말","흑당","","","12","13","14","구연산","잔탄검","안식향산나트륨","","",""
"6","번호176","품목보고번호20020623009755","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명호산 A+ 알로에 파인애플","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","알로에베라겔크러쉬","액상과당","구연산","비타민C","구연산삼나트륨","알로에베라겔즙액함유절편","","","","","6","7","8","9","10","11","젤란검","젖산칼슘","수크랄로스","아스파탐","β-카로틴","파인애플향","","","합성감미료","","합성착색료","합성착향료","12",NA,NA,"정제수",NA,NA,"",NA,NA
"7","번호175","품목보고번호20020623009668","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명호연당 아카시아 꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","사양벌꿀","벌꿀","대추농축액","액상과당","효소처리스테비아","","아카시아벌꿀","68brix","","","6","7","8","9",NA,NA,"아세설팜칼륨","카라멜색소","허니향","정제수",NA,NA,"합성감미료","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호174","품목보고번호20080614259722","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한18개월","제품명호연당 아카시아 꿀물","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","정제수","기타과당","사양벌꿀","벌꿀","대추농축액","","","","아카시아꿀","","6","7","8","9",NA,NA,"향료","효소처리스테비아","카라멜색소비에이","아세설팜칼륨",NA,NA,"허니향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호173","품목보고번호20040445073181","업소명(주)대일","품목유형혼합음료","유통/소비기한24월(실온)","제품명호연당꿀물후레쉬","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","벌꿀","백설탕","액상과당","구연산","효소처리스테비아","","","","함수구연산","","6","7","8","9","10",NA,"덱스트린","글리신","카라멜색소","허니향","정제수",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호172","품목보고번호20160333356349","업소명주식회사 감동식혜","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명호텔수정과","분류식품","업체명","주식회사 감동식혜","소재지","경기도 남양주시 오남읍 양지로319번길 25(나,다동)","1","2","3","4","5","정제수","기타설탕","계피","생강","설탕","","흑설탕","","","갈색설탕","6","7","8",NA,NA,NA,"곶감농축액","이소말토올리고당","정제소금",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
