"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","성분 및 원료5","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호5542","품목보고번호200704672223","업소명자연누리","품목유형혼합음료","유통/소비기한12개월","제품명구운통마늘진액","분류식품","업체명","자연누리","소재지","충청남도 금산군 제원면 구억리 83-20","1","2","3","4","마늘","배","대추","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5541","품목보고번호2004037235668","업소명포천식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명구절초식혜","분류식품","업체명","포천식품","소재지","경기도 포천시 소흘읍 죽엽산로 684(외2필지)","1","2","3","4","정제수","구절초","설탕","엿기름",NA,NA,NA,NA,"5","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5540","품목보고번호20050440004150","업소명(주)내츄럴팜","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명구체원","분류식품","업체명","(주)내츄럴팜","소재지","충청북도 옥천군 군북면 비야대정로 293-20","1","2","3","4","보리씨앗","산사나무열매","무씨앗","사철쑥지상부","","산사","내복자","","5","황금뿌리","","6","7","8","9","10","11","12","13","14","작약뿌리","모창출뿌리줄기","감초뿌리줄기","시금치잎","기타설탕","올리고당","구연산","잔탄검","안식향산나트륨","","창출","","","흑당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5539","품목보고번호2020042406533","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명국대아르기닌","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","정제수","L-아르지닌","구연산(무수)","프락토올리고당","","","","","5","혼합제제","콜라향혼합제제/콜라향SJ-AE","6","7","8","9","10","11","12","13","14","비타민C","효소처리스테비아","곡류가공품","L-카르니틴","타우린","L-글루타민","기타가공품","밀배아추출물","기타가공품","","","맥아추출물","","","","복합황금추출물","밀배아추출분말","과라나추출분말","15","16","17","18","19","20","21","22","기타 농산가공품","혼합제제","미역추출물","수크랄로스","비타민B1염산염","비타민B6염산염","비타민B2","비타민 B12 혼합제제분말","씨트러스 추출분말","아미노산혼합제제/아미노믹스","미역추출분말","","","","",""
"5","번호5538","품목보고번호1994044003083","업소명옥천농협농산물 가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명국화꽃꿀물","분류식품","업체명","옥천농협농산물 가공공장","소재지","충청북도 옥천군 동이면 옥천동이로 576-40","1","2","3","4","벌꿀","국화꽃추출액","액상과당","대추농축액",NA,NA,NA,NA,"5","글리신",NA,"6","7","8",NA,NA,NA,NA,NA,NA,"스테비올배당체","합성착향료","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5537","품목보고번호20020623009125","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명국화향기를 담은 꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","사양벌꿀","국화추출액","로얄젤리추출물","대추농축액","","","","68brix","5","액상과당","","6","7","8","9","10","11","12","13",NA,"수크랄로스","폴리소르베이트80","구연산","카라멜색소","허니향","허브향","정제수","효소처리스테비아",NA,"합성감미료","","산도조절제","","합성착향료","합성착향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5536","품목보고번호2017014715513","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명굼모닝 진액","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","흰점박이꽃무지유충","비트레드","비수리","대추",NA,NA,NA,NA,"5","생강",NA,"6","7",NA,NA,NA,NA,NA,NA,NA,"감초추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5535","품목보고번호19890449002167","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7개월","제품명굿넛 프로틴 아몬드","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","기타가공품","두류가공품","설탕","땅콩 또는 견과류가공품","아몬드액(아몬드고형분2.0%이상)","완두단백분말(독일산)","","아몬드단백분말(미국산)","5","탄산칼슘","탄산칼슘(독일산)","6","7","8","9","10","11","12","13",NA,"정제소금","구연산칼륨","젤란검","구연산삼나트륨","고형차","효모추출분말","합성향료","정제수",NA,"","","","","레몬밤추출분말(프랑스산)","효모추출분말(비타민D3)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5534","품목보고번호19890449002152","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7개월","제품명굿넛햇아몬드","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","설탕","정제소금","젤란검","칼슘혼합제제","","","","","5","비타민D3","분말비타민D3","6","7","8","9","10","11","12","13","14","비타민E","정제수","고형차","구연산칼륨","구연산삼나트륨","덱스트린","혼합제제","혼합제제","혼합제제","분말비타민E","","레몬밤추출분말","","","","바닐라향","아몬드향","호두향","15",NA,NA,NA,NA,NA,NA,NA,"기타가공품",NA,NA,NA,NA,NA,NA,NA,"아몬드액",NA,NA,NA,NA,NA,NA,NA
"10","번호5533","품목보고번호19890449002153","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7개월","제품명굿넛햇오트","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","귀리페이스트","곡류가공품","설탕","정제소금","","현미페이스트","","","5","L-메티오닌","","6","7","8","9","10","11","12","13","14","미강유(현미유)","젤란검","칼슘혼합제제","비타민D3","비타민E","혼합제제","혼합제제","정제수","곡류가공품","미강유","","","분말비타민D3","분말비타민E","현미향","씨리얼향","","발효귀리분말","15","16","17","18","19",NA,NA,NA,"고형차","구연산삼나트륨","구연산칼륨","자당지방산에스테르","혼합제제",NA,NA,NA,"레몬밤추출분말","","","","셀룰로스혼합제제",NA,NA,NA
