"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16","번호17","번호18","번호19","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고17","비고18","비고19"
"1","번호171","품목보고번호2021041701455","업소명성신푸드","품목유형혼합음료","유통/소비기한1년","제품명혼밥친구들 한잔씩혜","분류식품","업체명","성신푸드","소재지","강원도 철원군 김화읍 외골길 17-31","1","2","3","4","정제수","설탕","엿기름","멥쌀","","","(국내산)","(철원유기농쌀)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호170","품목보고번호19930461022243","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 3일간","제품명혼합견과액","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","아몬드페이스트","호두페이스트","땅콩페이스트","당류가공품","","호두페이스트","","잣믹스페이스트","5","6","7","8","당류가공품","땅콩 또는 견과류가공품","땅콩 또는 견과류가공품","정제수","마카다미아믹스페이스트","캐슈넛페이스트","피스타치오분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호169","품목보고번호2012027528685","업소명농업회사법인(주)건강한채소","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명혼합과일야채수(원재료용)","분류식품","업체명","농업회사법인(주)건강한채소","소재지","충청북도 괴산군 괴산읍 자연식품1길 25","1","2","3","4","매실농축액","한라봉농축액","배농축액","사과농축액","매실(국산)","한라봉(국산)","배(국산)","사과(국산)","5","6",NA,NA,"정제수","액상차",NA,NA,"먹는해양심층수","유기농야채수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호168","품목보고번호19970464172225","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명홀가분","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","헛개나무열매농축액","브로콜리농축액","타우린","L-아스파르트산",NA,NA,NA,NA,"5","6","7","8","비타민C","구연산삼나트륨","DL-사과산","자몽종자추출물",NA,NA,NA,NA,"9","10","11","12","13","14","허니향","수크랄로스","프락토올리고당","백설탕","벌꿀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호167","품목보고번호19810227007490","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 2개월","제품명홀그레인 오트베이스","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","정제수","설탕","귀리페이스트","귀리페이스트","","","필리핀산","오트분말:캐나다산","5","6","7","8","곡류가공품","볶은율무분말","기타가공품","물엿","귀리앙금페이스트(오트분말:캐나다산)","국산","혼합인절미파우더","","9","10","11","12","13","14","채종유(유채유 또는 카놀라유)","레시틴","덱스트린","탄산칼슘","제이인산칼륨","제삼인산칼슘","","","","","","","15","16","젤란검","식염","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호166","품목보고번호20030211151132","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명홀라이프 타트체리 콜라겐","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3",NA,"체리농축액","생선콜라겐펩타이드","식품첨가물혼합제제분말",NA,"타트체리100%,터키산","중국산","검믹스(로커스트콩검, 잔탄검, 카라기난, 글루코만난, 염화칼륨)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호165","품목보고번호19890445014365","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한18월","제품명홈에버비타충전","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","액상과당","농축사과과즙","비타민C","파인애플향",NA,NA,NA,NA,"5","6","7","8","구연산","오렌지농축액","타우린","효소처리스테비아",NA,NA,NA,NA,"9","10","11","12","13",NA,"DL-사과산","구연산삼나트륨","니코틴산아미드","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호164","품목보고번호19920624042329","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명홈플러스 비타마임","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","액상과당","사과농축액","비타민C","구연산",NA,NA,NA,NA,"5","6","7","8","드링크향(k-080756","합성착향료","드링크향","합성착향료",NA,NA,NA,NA,"9","10","11","12","13","14","천연착향료(Orange leaf)","구연산삼나트륨","타우린","DL-사과산","수크랄로스","합성감미료",NA,NA,NA,NA,NA,NA,"15","16","니코틴산아미드","비타민B",NA,NA,"17","18","19","비타민B2","비타민B염산염","정제수",NA,NA,NA
"9","번호163","품목보고번호20010443091285","업소명(주)정원","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명홍대음","분류식품","업체명","(주)정원","소재지","충청북도 진천군 진천읍 장관2길 59-20","1","2","3","4","정제수","액상과당","대추농축액","홍삼농축액",NA,NA,NA,NA,"5","6",NA,NA,"구연산","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호162","품목보고번호19890445014520","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명홍대추","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","대추농축액","사과농축액","숙지황농축액","당귀농축액",NA,NA,NA,NA,"5","6","7","8","액상과당","구연산","구연산삼나트륨","효소처리스테비아",NA,NA,NA,NA,"9","10","11","12","13",NA,"정제염","대추향","합성착향료","화인FAC-76651","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
