"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호41","품목보고번호19890445014429","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명흑마늘","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","흑마늘혼합추출액","액상과당","카르복시메틸셀룰로오스나트륨","구연산","카라멜색소","안식향산나트륨","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호40","품목보고번호19890445014351","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명흑마늘","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","흑마늘추출액","액상과당","구연산","카라멜색소","안식향산나트륨","인삼향","카르복시메틸셀룰로오스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호39","품목보고번호20050355533130","업소명디웰푸드(DWell Food)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명흑마늘달인진액","분류식품","업체명","디웰푸드(DWell Food)","소재지","경기도 파주시 평화로342번길 96(검산동,10동,11동,12동)","1","2","3","4",NA,NA,NA,NA,"흑마늘농축액","백설탕","구연산","정제수",NA,NA,NA,NA,"2brix","정백당","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호38","품목보고번호20110618121167","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 3개월까지","제품명흑마늘라떼","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2",NA,NA,NA,NA,NA,NA,"흑마늘","우유",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호37","품목보고번호2014037208238","업소명개성홍삼농산","품목유형혼합음료","유통/소비기한24개월","제품명흑마늘진액","분류식품","업체명","개성홍삼농산","소재지","경기도 포천시 가산면 정금로 406(가,나,다동)","1","2","3","4","5","6","7","8","흑마늘추출물","마늘","홍삼청","대추","가시오갈피줄기","계피","헛개나무열매","칡뿌리","5Brix","","홍삼성분5.8mg/g이상, 고형분5%이상, 과당,정백당,벌꿀","","","","","갈근뿌리","9","10","11","12","13","14","15","16","17","18","19","20","21","감초","천궁","황기","참당귀","산수유","마","쑥","지황","올리고당","과당","허브향","구연산","정제수","","","","","","","인진쑥","숙지황","","고과당","홍삼허브향","",""
"6","번호36","품목보고번호201106144092","업소명(주)미리내","품목유형혼합음료","유통/소비기한제조일로부터24개월(실온)","제품명흑마늘진액","분류식품","업체명","(주)미리내","소재지","경상남도 양산시 명곡음지마을길 95(명곡동)","1","2","3",NA,NA,NA,NA,NA,"흑마늘추출액","숙지황농축액","대추농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호35","품목보고번호201106144099","업소명(주)미리내","품목유형혼합음료","유통/소비기한24개월(실온)","제품명흑마늘진액","분류식품","업체명","(주)미리내","소재지","경상남도 양산시 명곡음지마을길 95(명곡동)","1","2","3",NA,NA,NA,NA,NA,"흑마늘추출액","숙지황농축액","대추농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호34","품목보고번호202205202402","업소명주식회사 개성홍삼","품목유형혼합음료","유통/소비기한2년","제품명흑마늘진액","분류식품","업체명","주식회사 개성홍삼","소재지","경기도 포천시 가산면 마현3길 85(가동 1층,2층 나동1층)","1","2","3","4","5","6","7","8","흑마늘추출액","마늘","홍삼청","대추","가시오갈피줄기","계피","헛개나무열매","칡뿌리","5Brix","","홍삼성분5.8mg/g이상,과당,정백당,벌꿀","","","","","갈근뿌리","9","10","11","12","13","14","15","16","17","18","19","20","21","감초","천궁뿌리줄기","황기","참당귀","산수유열매","마","사철쑥","지황","올리고당","과당","허브향","구연산","정제수","","","","","","","인진쑥","숙지황","","고과당","홍삼허브향","",""
"9","번호33","품목보고번호201106144098","업소명(주)미리내","품목유형혼합음료","유통/소비기한24개월(실온)","제품명흑마늘진액골드","분류식품","업체명","(주)미리내","소재지","경상남도 양산시 명곡음지마을길 95(명곡동)","1","2","3",NA,NA,NA,NA,NA,"흑마늘추출액","숙지황농축액","대추농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호32","품목보고번호2017014715538","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명흑마늘프리미엄진액골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","흑마늘추출액","가시오가피숙지황 복합추출물농축액","쌍화농축액","효소처리스테비아","대추농축액","과당","구연산","구연산삼나트륨","고형분12%이상 (흑마늘0.75)","숙지황농축액","","","","","","","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수크랄로스","혼합제제","마늘향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","비타에프엠","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
