"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","005930","삼성전자",84700,-900,-1.05,"KOSPI","전기전자",505640581985000,3166,26.75,37528,2.26,1416,1.67
"2","000660","SK하이닉스",144000,500,0.35,"KOSPI","전기전자",104832340560000,2943,48.93,65836,2.19,1000,0.69
"3","035420","NAVER",381500,-3000,-0.78,"KOSPI","서비스업",62666485192500,4006,95.23,35223,10.83,376,0.1
"4","051910","LG화학",810000,-1000,-0.12,"KOSPI","화학",57179797830000,4085,198.29,217230,3.73,2000,0.25
"5","207940","삼성바이오로직스",763000,-2000,-0.26,"KOSPI","의약품",5.0483895e+13,3067,248.78,65812,11.59,0,0
"6","005380","현대차",231500,1500,0.65,"KOSPI","운수장비",49464185290500,11310,20.47,253001,0.92,4000,1.73
"7","035720","카카오",548000,6000,1.11,"KOSPI","서비스업",48633198176000,NA,NA,60603,9.04,127,0.02
"8","006400","삼성SDI",657000,3000,0.46,"KOSPI","전기전자",45178296210000,5331,123.24,175114,3.75,1000,0.15
"9","068270","셀트리온",311500,5500,1.8,"KOSPI","의약품",42061138206500,2196,141.85,20421,15.25,0,0
"10","000270","기아",87100,1800,2.11,"KOSPI","운수장비",35307147523700,4556,19.12,71487,1.22,1150,1.32
"11","012330","현대모비스",317500,17000,5.66,"KOSPI","운수장비",30096807345000,24234,13.1,339207,0.94,4000,1.26
"12","005490","POSCO",331500,2500,0.76,"KOSPI","철강금속",28902435802500,22823,14.52,510076,0.65,10000,3.02
"13","066570","LG전자",156500,-2000,-1.26,"KOSPI","전기전자",25610882891000,169,926.04,79245,1.97,750,0.48
"14","051900","LG생활건강",1585000,36000,2.32,"KOSPI","화학",24754842245000,46431,34.14,234042,6.77,11000,0.69
"15","028260","삼성물산",128500,-500,-0.39,"KOSPI","유통업",24014989908500,6366,20.19,125948,1.02,2000,1.56
"16","017670","SK텔레콤",280000,-1000,-0.36,"KOSPI","통신업",22608799080000,12144,23.06,284310,0.98,10000,3.57
"17","096770","SK이노베이션",243500,11000,4.73,"KOSPI","화학",22515364834000,NA,NA,186398,1.31,3000,1.23
"18","105560","KB금융",52800,-800,-1.49,"KOSPI","기타금융",21954658176000,8451,6.25,92672,0.57,2210,4.19
"19","036570","엔씨소프트",899000,31000,3.57,"KOSPI","서비스업",19736665778000,17387,51.71,113836,7.9,5220,0.58
"20","034730","SK",279000,1000,0.36,"KOSPI","기타금융",19630522863000,12917,21.6,235255,1.19,5000,1.79
"21","091990","셀트리온헬스케어",129000,1200,0.94,"KOSDAQ","유통",19604277318000,427,302.11,10816,11.93,0,0
"22","055550","신한지주",37400,-300,-0.8,"KOSPI","기타금융",19320823319600,7000,5.34,79682,0.47,1850,4.95
"23","003550","LG",91400,100,0.11,"KOSPI","기타금융",15771721773400,6143,14.88,107050,0.85,2200,2.41
"24","032830","삼성생명",77300,-100,-0.13,"KOSPI","보험",1.546e+13,5443,14.2,178335,0.43,2650,3.43
"25","015760","한국전력",23850,-200,-0.83,"KOSPI","전기가스업",15310843236450,NA,NA,105140,0.23,0,0
"26","090430","아모레퍼시픽",257000,-1000,-0.39,"KOSPI","화학",15023831930000,3477,73.91,65050,3.95,1000,0.39
"27","018260","삼성에스디에스",189000,-1000,-0.53,"KOSPI","서비스업",14624404200000,9521,19.85,84595,2.23,2400,1.27
"28","009150","삼성전기",192500,-4000,-2.04,"KOSPI","전기전자",14378536480000,6806,28.28,68106,2.83,1100,0.57
"29","086790","하나금융지주",41650,-650,-1.54,"KOSPI","기타금융",12505081882300,7898,5.27,93673,0.44,2100,5.04
"30","003670","포스코케미칼",160000,-3000,-1.84,"KOSPI","비금속광물",12394115200000,1569,101.98,15352,10.42,400,0.25
"31","033780","KT&G",81200,200,0.25,"KOSPI","기타제조업",11148150756400,8208,9.89,63008,1.29,4400,5.42
"32","251270","넷마블",128000,-500,-0.39,"KOSPI","서비스업",11000349952000,1883,67.98,51919,2.47,0,0
"33","011200","HMM",30500,0,0,"KOSPI","운수창고업",10389770008500,NA,NA,3420,8.92,0,0
"34","011170","롯데케미칼",296500,6000,2.07,"KOSPI","화학",10162661733500,20860,14.21,385244,0.77,6700,2.26
"35","018880","한온시스템",18450,200,1.1,"KOSPI","기계",9.84861e+12,597,30.9,4153,4.44,320,1.73
"36","302440","SK바이오사이언스",125500,11000,9.61,"KOSPI","의약품",9.60075e+12,240,522.92,3803,33,0,0
"37","352820","빅히트",267000,-9000,-3.26,"KOSPI","서비스업",9511543920000,2951,90.48,6113,43.68,0,0
"38","003490","대한항공",27200,0,0,"KOSPI","운수창고업",9460726440000,NA,NA,17950,1.52,0,0
"39","009830","한화솔루션",48550,950,2,"KOSPI","화학",9286571029350,NA,NA,34147,1.42,200,0.41
"40","009540","한국조선해양",130000,2500,1.96,"KOSPI","운수장비",9200505080000,2183,59.55,163436,0.8,0,0
"41","000810","삼성화재",189500,1500,0.8,"KOSPI","보험",8977531611500,15126,12.53,282791,0.67,8500,4.49
"42","010950","S-Oil",79700,-400,-0.5,"KOSPI","화학",8972848522400,561,142.07,55715,1.43,200,0.25
"43","034220","LG디스플레이",25000,-600,-2.34,"KOSPI","전기전자",8945392500000,NA,NA,31694,0.79,0,0
"44","326030","SK바이오팜",105500,3000,2.93,"KOSPI","서비스업",8262047875000,NA,NA,NA,NA,0,0
"45","010130","고려아연",411000,-2500,-0.6,"KOSPI","철강금속",7.75557e+12,35811,11.48,355878,1.15,14000,3.41
"46","316140","우리금융지주",10600,-50,-0.47,"KOSPI","기타금융",7656037439800,2727,3.89,29782,0.36,700,6.6
"47","011780","금호석유",250000,4000,1.63,"KOSPI","화학",7616922750000,10549,23.7,78488,3.19,1500,0.6
"48","030200","KT",27900,-50,-0.18,"KOSPI","통신업",7285019443200,2526,11.05,52341,0.53,1100,3.94
"49","024110","기업은행",9160,-10,-0.11,"KOSPI","은행",6766165537600,2242,4.09,33567,0.27,670,7.31
"50","086280","현대글로비스",180000,-3000,-1.64,"KOSPI","운수창고업",6.75e+12,13395,13.44,124541,1.45,3500,1.94
"51","004020","현대제철",50500,1250,2.54,"KOSPI","철강금속",6739012142500,130,388.46,126631,0.4,750,1.49
"52","006800","미래에셋증권",10300,50,0.49,"KOSPI","증권",6543759002400,956,10.77,11236,0.92,260,2.52
"53","161390","한국타이어앤테크놀로지",49800,1300,2.68,"KOSPI","화학",6168978436200,3387,14.7,57774,0.86,550,1.1
"54","097950","CJ제일제당",405000,-3000,-0.74,"KOSPI","음식료품",6096945330000,9516,42.56,297949,1.36,3500,0.86
"55","002790","아모레G",67000,900,1.36,"KOSPI","화학",5524698060000,1444,46.4,35078,1.91,300,0.45
"56","032640","LG유플러스",12600,-100,-0.79,"KOSPI","통신업",5501303148600,1005,12.54,16218,0.78,400,3.17
"57","071050","한국금융지주",98400,4000,4.24,"KOSPI","기타금융",5483437612800,14467,6.8,81250,1.21,2900,2.95
"58","035250","강원랜드",25150,-450,-1.76,"KOSPI","서비스업",5380603575000,1651,15.23,17377,1.45,900,3.58
"59","000720","현대건설",46400,1400,3.11,"KOSPI","건설업",5166907496000,3656,12.69,59778,0.78,600,1.29
"60","068760","셀트리온제약",143500,700,0.49,"KOSDAQ","제약",5138929299000,236,608.05,7674,18.7,0,0
"61","011790","SKC",133500,0,0,"KOSPI","화학",5055417783000,1686,79.18,41542,3.21,1000,0.75
"62","271560","오리온",127500,-3000,-2.3,"KOSPI","음식료품",5040856830000,5454,23.38,41042,3.11,600,0.47
"63","034020","두산중공업",13400,450,3.47,"KOSPI","기계",5020141548600,NA,NA,11643,1.15,0,0
"64","011070","LG이노텍",209500,-4000,-1.87,"KOSPI","전기전자",4958258916500,4323,48.46,93151,2.25,300,0.14
"65","021240","코웨이",65300,-500,-0.76,"KOSPI","서비스업",4819115120700,4611,14.16,14611,4.47,2400,3.68
"66","010140","삼성중공업",7560,90,1.2,"KOSPI","운수장비",4.7628e+12,NA,NA,8324,0.91,0,0
"67","139480","이마트",170500,500,0.29,"KOSPI","유통업",4752827139500,7620,22.38,315997,0.54,2000,1.17
"68","019170","신풍제약",88900,3000,3.49,"KOSPI","의약품",4710365611000,35,2540,3782,23.51,0,0
"69","267250","현대중공업지주",283000,0,0,"KOSPI","화학",4471008611000,11848,23.89,490707,0.58,18500,6.54
"70","096530","씨젠",167000,27100,19.37,"KOSDAQ","제약",4381081340000,1026,162.77,5815,28.72,100,0.06
"71","000100","유한양행",62300,-400,-0.64,"KOSPI","의약품",4359315345700,616,101.14,23178,2.69,400,0.64
"72","263750","펄어비스",323100,-3400,-1.04,"KOSDAQ","디지털컨텐츠",4276422360000,13002,24.85,45229,7.14,0,0
"73","241560","두산밥캣",41200,300,0.73,"KOSPI","기계",4130265639200,2716,15.17,39692,1.04,1200,2.91
"74","000120","CJ대한통운",179000,-4000,-2.19,"KOSPI","운수창고업",4083409576000,1349,132.69,131146,1.36,0,0
"75","293490","카카오게임즈",54600,200,0.37,"KOSDAQ","디지털컨텐츠",4070981405400,197,277.16,7443,7.34,0,0
"76","008930","한미사이언스",59000,300,0.51,"KOSPI","기타금융",3970972049000,467,126.34,9607,6.14,200,0.34
"77","029780","삼성카드",34150,-350,-1.01,"KOSPI","기타금융",3956581127650,3225,10.59,59525,0.57,1600,4.69
"78","128940","한미약품",327500,-1500,-0.46,"KOSPI","의약품",3955637355000,4352,75.25,60099,5.45,500,0.15
"79","006360","GS건설",45400,2750,6.45,"KOSPI","건설업",3881285407200,5590,8.12,49623,0.91,1000,2.2
"80","003410","쌍용C&E",7610,130,1.74,"KOSPI","비금속광물",3834371517950,259,29.38,3566,2.13,42,0.55
"81","006280","녹십자",327000,-500,-0.15,"KOSPI","의약품",3821497926000,NA,NA,89738,3.64,1000,0.31
"82","028300","에이치엘비",35900,500,1.41,"KOSDAQ","운송장비·부품",3807972953000,NA,NA,1920,18.7,0,0
"83","016360","삼성증권",41800,0,0,"KOSPI","증권",3.73274e+12,4388,9.53,55423,0.75,1700,4.07
"84","047810","한국항공우주",37950,350,0.93,"KOSPI","운수장비",3699180310650,1748,21.71,11714,3.24,400,1.05
"85","078930","GS",39050,150,0.39,"KOSPI","기타금융",3628345510900,5745,6.8,93746,0.42,1900,4.87
"86","023530","롯데쇼핑",127000,-3000,-2.31,"KOSPI","유통업",3592671885000,NA,NA,376333,0.34,3800,2.99
"87","039490","키움증권",137000,-1500,-1.08,"KOSPI","증권",3566300293000,14017,9.77,87976,1.56,2000,1.46
"88","180640","한진칼",53700,2200,4.27,"KOSPI","운수창고업",3558304519800,NA,NA,20882,2.57,255,0.47
"89","004990","롯데지주",33500,0,0,"KOSPI","기타금융",3514459439500,NA,NA,63267,0.53,1100,3.28
"90","247540","에코프로비엠",165700,-700,-0.42,"KOSDAQ","일반전기전자",3485527006200,1750,94.69,18010,9.2,150,0.09
"91","036490","SK머티리얼즈",327800,-3800,-1.15,"KOSDAQ","반도체",3457527209400,13507,24.27,44730,7.33,3850,1.17
"92","005940","NH투자증권",12250,150,1.24,"KOSPI","증권",3447258865750,1585,7.73,17934,0.68,500,4.08
"93","020150","일진머티리얼즈",74400,2700,3.77,"KOSPI","전기전자",3430646124000,1016,73.23,12390,6,50,0.07
"94","008770","호텔신라",85100,-500,-0.58,"KOSPI","유통업",3340015097100,4483,18.98,22979,3.7,350,0.41
"95","112610","씨에스윈드",79100,3600,4.77,"KOSPI","기계",3335757977300,978,80.88,9360,8.45,460,0.58
"96","028670","팬오션",6190,30,0.49,"KOSPI","운수창고업",3308985279280,284,21.8,5400,1.15,0,0
"97","336260","두산퓨얼셀",50000,1200,2.46,"KOSPI","전기전자",3274686300000,162,308.64,2277,21.96,0,0
"98","005830","DB손해보험",46250,0,0,"KOSPI","보험",3.2745e+12,5966,7.75,84026,0.55,1500,3.24
"99","253450","스튜디오드래곤",108000,1400,1.31,"KOSDAQ","오락·문화",3240469260000,941,114.77,15242,7.09,0,0
"100","026960","동서",31750,-200,-0.63,"KOSPI","유통업",3.165475e+12,1388,22.87,13419,2.37,700,2.2
"101","036460","한국가스공사",33900,250,0.74,"KOSPI","전기가스업",3129410700000,395,85.82,85073,0.4,380,1.12
"102","008560","메리츠증권",4610,-10,-0.22,"KOSPI","증권",3116183561470,924,4.99,5695,0.81,200,4.34
"103","204320","만도",66200,600,0.91,"KOSPI","운수장비",3108561344000,2360,28.05,32193,2.06,550,0.83
"104","012750","에스원",81700,100,0.12,"KOSPI","서비스업",3104532842600,4337,18.84,34937,2.34,2500,3.06
"105","035760","CJ ENM",140600,100,0.07,"KOSDAQ","방송서비스",3083239052400,5310,26.48,134364,1.05,1400,1
"106","042660","대우조선해양",28300,150,0.53,"KOSPI","운수장비",3036325932700,NA,NA,35025,0.81,0,0
"107","285130","SK케미칼",255000,5000,2,"KOSPI","화학",2994055980000,802,317.96,54214,4.7,450,0.18
"108","010060","OCI",124000,2500,2.06,"KOSPI","화학",2957322004000,NA,NA,110515,1.12,0,0
"109","009240","한샘",125500,8500,7.26,"KOSPI","유통업",2953507964000,2423,51.8,25215,4.98,1200,0.96
"110","047040","대우건설",7000,510,7.86,"KOSPI","건설업",2909358466000,508,13.78,5916,1.18,0,0
"111","014680","한솔케미칼",256000,3500,1.39,"KOSPI","화학",2901809920000,7798,32.83,39713,6.45,1500,0.59
"112","007070","GS리테일",37650,150,0.4,"KOSPI","유통업",2.89905e+12,1729,21.78,28232,1.33,750,1.99
"113","088350","한화생명",3320,55,1.68,"KOSPI","보험",2883519600000,18,184.44,14606,0.23,30,0.9
"114","004170","신세계",279500,-4000,-1.41,"KOSPI","유통업",2751728089500,52658,5.31,398826,0.7,2000,0.72
"115","282330","BGF리테일",159000,-2000,-1.24,"KOSPI","유통업",2748141054000,8763,18.14,36022,4.41,2700,1.7
"116","028050","삼성엔지니어링",14000,50,0.36,"KOSPI","서비스업",2.744e+12,1493,9.38,6749,2.07,0,0
"117","001040","CJ",92900,300,0.32,"KOSPI","기타금융",2710543114200,8240,11.27,126448,0.73,1850,1.99
"118","240810","원익IPS",55200,-800,-1.43,"KOSDAQ","반도체",2709431335200,899,61.4,11543,4.78,0,0
"119","012510","더존비즈온",87300,1700,1.99,"KOSPI","서비스업",2643486340500,1684,51.84,11427,7.64,470,0.54
"120","010620","현대미포조선",65700,200,0.31,"KOSPI","운수장비",2624199189300,1335,49.21,58022,1.13,350,0.53
"121","081660","휠라홀딩스",43100,300,0.7,"KOSPI","유통업",2618420768200,4382,9.84,20448,2.11,219,0.51
"122","030000","제일기획",21900,400,1.86,"KOSPI","서비스업",2519402827500,1363,16.07,8229,2.66,820,3.74
"123","307950","현대오토에버",119000,0,0,"KOSPI","서비스업",2.499e+12,2673,44.52,24259,4.91,710,0.6
