"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",4870,-150,-2.99,228024576650
"2","006840","AK홀딩스","KOSPI","기타금융",28800,900,3.23,381529756800
"3","027410","BGF","KOSPI","기타금융",7620,20,0.26,729361947420
"4","282330","BGF리테일","KOSPI","유통업",159000,-2000,-1.24,2748141054000
"5","138930","BNK금융지주","KOSPI","기타금융",6760,-40,-0.59,2203322262960
"6","001460","BYC","KOSPI","섬유의복",381500,1500,0.39,238290622500
"7","001465","BYC우","KOSPI","섬유의복",162500,1000,0.62,35000062500
"8","001040","CJ","KOSPI","기타금융",92900,300,0.32,2710543114200
"9","079160","CJ CGV","KOSPI","서비스업",26900,-100,-0.37,9.4419e+11
"10","00104K","CJ4우(전환)","KOSPI","기타금융",74000,-500,-0.67,312761888000
"11","000120","CJ대한통운","KOSPI","운수창고업",179000,-4000,-2.19,4083409576000
"12","011150","CJ씨푸드","KOSPI","음식료품",5050,200,4.12,181450403650
"13","011155","CJ씨푸드1우","KOSPI","음식료품",37900,150,0.4,7.58e+09
"14","001045","CJ우","KOSPI","기타금융",57300,-100,-0.17,129510777900
"15","097950","CJ제일제당","KOSPI","음식료품",405000,-3000,-0.74,6096945330000
"16","097955","CJ제일제당 우","KOSPI","음식료품",185500,1000,0.54,246238821500
"17","000590","CS홀딩스","KOSPI","기타금융",66400,1900,2.95,76657604800
"18","012030","DB","KOSPI","서비스업",920,-3,-0.33,185080018360
"19","016610","DB금융투자","KOSPI","증권",6680,-120,-1.76,283541878520
"20","005830","DB손해보험","KOSPI","보험",46250,0,0,3.2745e+12
"21","000990","DB하이텍","KOSPI","전기전자",56100,200,0.36,2490760786800
"22","000995","DB하이텍1우","KOSPI","전기전자",110500,-3000,-2.64,12410918000
"23","139130","DGB금융지주","KOSPI","기타금융",8220,-50,-0.6,1390378747260
"24","001530","DI동일","KOSPI","유통업",165500,3500,2.16,408058289500
"25","000210","DL","KOSPI","기타금융",86700,1300,1.52,1338757415400
"26","001880","DL건설","KOSPI","건설업",36950,1150,3.21,814868843800
"27","000215","DL우","KOSPI","기타금융",43550,450,1.04,73430308250
"28","375500","DL이앤씨","KOSPI","건설업",127000,4000,3.25,2458559726000
"29","37550K","DL이앤씨우","KOSPI","건설업",75400,1700,2.31,159386929000
"30","004840","DRB동일","KOSPI","기타금융",6700,70,1.06,1.33531e+11
"31","155660","DSR","KOSPI","철강금속",6150,110,1.82,9.84e+10
"32","069730","DSR제강","KOSPI","철강금속",5930,180,3.13,8.5392e+10
"33","017940","E1","KOSPI","유통업",44700,-150,-0.33,3.06642e+11
"34","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",6060,-40,-0.66,868149540000
"35","007700","F&F","KOSPI","섬유의복",145500,0,0,2.2407e+12
"36","114090","GKL","KOSPI","서비스업",16050,-300,-1.83,992783503500
"37","078930","GS","KOSPI","기타금융",39050,150,0.39,3628345510900
"38","006360","GS건설","KOSPI","건설업",45400,2750,6.45,3881285407200
"39","001250","GS글로벌","KOSPI","유통업",2535,-30,-1.17,209223091740
