locCd,typeCd,지역,지점
131611,1,가평군,가평
131612,1,가평군,설악면
131383,1,고양시,백마로
131382,1,고양시,식사동
131383,1,고양시,신원동
131385,1,고양시,주엽동
131381,1,고양시,행신동
131202,1,과천시,과천동
131201,1,과천시,별양동
131163,1,광명시,소하동
131161,1,광명시,철산동
131392,1,광주시,경안동
131395,1,광주시,곤지암
131394,1,광주시,오포읍
131211,1,구리시,교문동
131212,1,구리시,동구동
131501,1,군포시,당동
131502,1,군포시,산본동
131472,1,김포시,고촌읍
131471,1,김포시,사우동
131473,1,김포시,월곶면
131475,1,김포시,한강로
131474,1,김포시,한강신도시
131245,1,남양주시,경춘로
131241,1,남양주시,금곡동
131243,1,남양주시,별내동
131242,1,남양주시,오남읍
131246,1,남양주시,와부읍
131247,1,남양주시,진접읍
131244,1,남양주시,화도읍
131571,1,동두천시,보산동
831152,1,부천시,내동
831151,1,부천시,소사본동
831155,1,부천시,송내대로
831154,1,부천시,오정동
831153,1,부천시,중2동
131121,1,성남시,단대동
131120,1,성남시,대왕판교로
131126,1,성남시,복정동
131129,1,성남시,상대원동
131125,1,성남시,성남대로
131124,1,성남시,수내동
131128,1,성남시,운중동
131123,1,성남시,정자동
131116,1,수원시,경수대로
131117,1,수원시,고색동
131113,1,수원시,광교동
131111,1,수원시,신풍동
131114,1,수원시,영통동
131112,1,수원시,인계동
131115,1,수원시,천천동
131118,1,수원시,호매실동
131233,1,시흥시,대야동
131234,1,시흥시,목감동
131232,1,시흥시,시화산단
131235,1,시흥시,장현동
131231,1,시흥시,정왕동
131191,1,안산시,고잔동
131196,1,안산시,대부동
131193,1,안산시,본오동
131195,1,안산시,부곡동
131194,1,안산시,원곡동
131192,1,안산시,원시동
131198,1,안산시,중앙대로
131197,1,안산시,호수동
131583,1,안성시,공도읍
131581,1,안성시,봉산동
131584,1,안성시,죽산면
131142,1,안양시,부림동
131145,1,안양시,안양2동
131141,1,안양시,안양6동
131144,1,안양시,호계동
131562,1,양주시,고읍
131561,1,양주시,백석읍
131622,1,양평군,양평읍
131621,1,양평군,용문면
131593,1,여주시,가남읍
131592,1,여주시,대신면
131591,1,여주시,중앙동
131601,1,연천군,연천
131532,1,오산시,금암로
131531,1,오산시,오산동
131413,1,용인시,기흥
131411,1,용인시,김량장동
131415,1,용인시,모현읍
131417,1,용인시,백암면
131412,1,용인시,수지
131416,1,용인시,이동읍
131414,1,용인시,중부대로
131223,1,의왕시,고천동
131222,1,의왕시,부곡3동
131133,1,의정부시,송산3동
131132,1,의정부시,의정부1동
131131,1,의정부시,의정부동
131444,1,이천시,부발읍
131443,1,이천시,장호원읍
131442,1,이천시,창천동
131371,1,파주시,금촌동
131372,1,파주시,운정
131374,1,파주시,파주읍
131341,1,평택시,비전동
131344,1,평택시,송북동
131342,1,평택시,안중
131345,1,평택시,청북읍
131343,1,평택시,평택항
131453,1,포천시,선단동
131454,1,포천시,일동면
131542,1,하남시,미사
131541,1,하남시,신장동
131551,1,화성시,남양읍
131553,1,화성시,동탄
131557,1,화성시,봉담읍
131556,1,화성시,새솔동
131558,1,화성시,서신면
131554,1,화성시,우정읍
131555,1,화성시,청계동
131552,1,화성시,향남읍
